n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,0.8,0.2,0.2855993321,1620,0.9753209006,0.001858375537
144,0.8,0.2,0.2855993321,1640,0.975052383,0.001881385267
144,0.8,0.2,0.2855993321,1660,0.974784716,0.001906020152
144,0.8,0.2,0.2855993321,1680,0.9745162668,0.001934102537
144,0.8,0.2,0.2855993321,1700,0.9742485401,0.001961637143
144,0.8,0.2,0.2855993321,1720,0.9739866021,0.001990311223
144,0.8,0.2,0.2855993321,1740,0.973711749,0.002016771706
144,0.8,0.2,0.2855993321,1760,0.9734363909,0.002043383575
144,0.8,0.2,0.2855993321,1780,0.9731666585,0.002073886714
144,0.8,0.2,0.2855993321,1800,0.9728909478,0.002099179138
144,0.8,0.2,0.2855993321,1820,0.9726060197,0.002119279557
144,0.8,0.2,0.2855993321,1840,0.9723227265,0.002146228346
144,0.8,0.2,0.2855993321,1860,0.9720508745,0.002175969757
144,0.8,0.2,0.2855993321,1880,0.9717871669,0.002205017882
144,0.8,0.2,0.2855993321,1900,0.9715268441,0.002229733993
144,0.8,0.2,0.2855993321,1920,0.9712667542,0.00225184669
144,0.8,0.2,0.2855993321,1940,0.9710052412,0.002273928383
144,0.8,0.2,0.2855993321,1960,0.9707367483,0.002304217221
144,0.8,0.2,0.2855993321,1980,0.9704767376,0.002334168757
144,0.8,0.2,0.2855993321,2000,0.9702129924,0.002362315927
144,0.8,0.2,0.2855993321,2020,0.969956576,0.002393879881
144,0.8,0.2,0.2855993321,2040,0.9696908711,0.002425711745
144,0.8,0.2,0.2855993321,2060,0.9694276526,0.002459888008
144,0.8,0.2,0.2855993321,2080,0.9691626108,0.002496077436
144,0.8,0.2,0.2855993321,2100,0.9688954711,0.002528640459
144,0.8,0.2,0.2855993321,2120,0.9686330203,0.002557404028
144,0.8,0.2,0.2855993321,2140,0.9683599511,0.002590065041
144,0.8,0.2,0.2855993321,2160,0.9680850073,0.002622775944
144,0.8,0.2,0.2855993321,2180,0.9678036298,0.002654662623
144,0.8,0.2,0.2855993321,2200,0.9675170429,0.002692175519
144,0.8,0.2,0.2855993321,2220,0.9672334159,0.002728611346
144,0.8,0.2,0.2855993321,2240,0.9669478064,0.002762443073
144,0.8,0.2,0.2855993321,2260,0.9666668365,0.00279720509
144,0.8,0.2,0.2855993321,2280,0.966385332,0.002828150336
144,0.8,0.2,0.2855993321,2300,0.9661080553,0.002859344137
144,0.8,0.2,0.2855993321,2320,0.9658271768,0.002891757479
144,0.8,0.2,0.2855993321,2340,0.9655449899,0.002921018058
144,0.8,0.2,0.2855993321,2360,0.965263876,0.002952775773
144,0.8,0.2,0.2855993321,2380,0.964974514,0.002988653644
144,0.8,0.2,0.2855993321,2400,0.9646786047,0.003026955974
144,0.8,0.2,0.2855993321,2420,0.9643872867,0.003060453564
144,0.8,0.2,0.2855993321,2440,0.9640950444,0.003088815407
144,0.8,0.2,0.2855993321,2460,0.9638019731,0.003124886683
144,0.8,0.2,0.2855993321,2480,0.9635184298,0.003157001007
144,0.8,0.2,0.2855993321,2500,0.9632319781,0.003195608962
144,0.8,0.2,0.2855993321,2520,0.962952335,0.003230104843
144,0.8,0.2,0.2855993321,2540,0.9626638293,0.003263160625
144,0.8,0.2,0.2855993321,2560,0.9623759986,0.003293976634
144,0.8,0.2,0.2855993321,2580,0.9620876523,0.003321304874
144,0.8,0.2,0.2855993321,2600,0.9617992848,0.003347263182
144,0.8,0.2,0.2855993321,2620,0.9615089999,0.003374181452
144,0.8,0.2,0.2855993321,2640,0.961228313,0.003398035246
144,0.8,0.2,0.2855993321,2660,0.9609455503,0.003422104019
144,0.8,0.2,0.2855993321,2680,0.9606709586,0.003448167361
144,0.8,0.2,0.2855993321,2700,0.9603928303,0.003479434815
144,0.8,0.2,0.2855993321,2720,0.9601176381,0.00350370221
144,0.8,0.2,0.2855993321,2740,0.9598435108,0.003532112086
144,0.8,0.2,0.2855993321,2760,0.9595828122,0.003551443305
144,0.8,0.2,0.2855993321,2780,0.9593179163,0.003568510171
144,0.8,0.2,0.2855993321,2800,0.9590429013,0.003597263562
144,0.8,0.2,0.2855993321,2820,0.9587708205,0.003626505844
144,0.8,0.2,0.2855993321,2840,0.9584987045,0.003651250228
144,0.8,0.2,0.2855993321,2860,0.9582284871,0.003678658932
144,0.8,0.2,0.2855993321,2880,0.9579611676,0.003709089675
144,0.8,0.2,0.2855993321,2900,0.9577040522,0.003735909968
144,0.8,0.2,0.2855993321,2920,0.9574391243,0.003763871731
144,0.8,0.2,0.2855993321,2940,0.9571802437,0.003788172396
144,0.8,0.2,0.2855993321,2960,0.9569190447,0.003813600607
144,0.8,0.2,0.2855993321,2980,0.9566595073,0.003843830013
144,0.8,0.2,0.2855993321,3000,0.9564009264,0.003876621159
144,0.8,0.2,0.2855993321,3020,0.9561415377,0.003917197422
144,0.8,0.2,0.2855993321,3040,0.9558872583,0.003959883193
144,0.8,0.2,0.2855993321,3060,0.955621737,0.004002247638
144,0.8,0.2,0.2855993321,3080,0.9553564071,0.004042789642
144,0.8,0.2,0.2855993321,3100,0.9550819137,0.004080284423
144,0.8,0.2,0.2855993321,3120,0.9548012732,0.004118989322
144,0.8,0.2,0.2855993321,3140,0.9545201875,0.004156550468
144,0.8,0.2,0.2855993321,3160,0.9542478462,0.004194625294
144,0.8,0.2,0.2855993321,3180,0.9539790657,0.004230595791
144,0.8,0.2,0.2855993321,3200,0.953715193,0.004264791291
144,0.8,0.2,0.2855993321,3220,0.953441715,0.004305161507
144,0.8,0.2,0.2855993321,3240,0.9531746162,0.004344667906
144,0.8,0.2,0.2855993321,3260,0.9529015751,0.004381539811
144,0.8,0.2,0.2855993321,3280,0.952636654,0.004417156978
144,0.8,0.2,0.2855993321,3300,0.9523710687,0.00444902278
144,0.8,0.2,0.2855993321,3320,0.9521076127,0.004478143829
144,0.8,0.2,0.2855993321,3340,0.9518390841,0.004505724705
144,0.8,0.2,0.2855993321,3360,0.9515800871,0.00453545208
144,0.8,0.2,0.2855993321,3380,0.9513173142,0.004565953305
144,0.8,0.2,0.2855993321,3400,0.9510525856,0.004598077459
144,0.8,0.2,0.2855993321,3420,0.9507935324,0.00462613337
144,0.8,0.2,0.2855993321,3440,0.9505319128,0.004657976379
144,0.8,0.2,0.2855993321,3460,0.9502685372,0.004691721249
144,0.8,0.2,0.2855993321,3480,0.9500034259,0.004723504708
144,0.8,0.2,0.2855993321,3500,0.9497405828,0.00476405715
144,0.8,0.2,0.2855993321,3520,0.949469368,0.004805471177
144,0.8,0.2,0.2855993321,3540,0.949200825,0.004845635087
144,0.8,0.2,0.2855993321,3560,0.9489276613,0.004888226797
144,0.8,0.2,0.2855993321,3580,0.9486603784,0.004932525282
144,0.8,0.2,0.2855993321,3600,0.9483923352,0.004973640806
144,0.8,0.2,0.2855993321,3620,0.9481260754,0.00500792175
144,0.8,0.2,0.2855993321,3640,0.9478709788,0.005039226055
144,0.8,0.2,0.2855993321,3660,0.9476150211,0.005076348029
144,0.8,0.2,0.2855993321,3680,0.9473641939,0.005113191208
144,0.8,0.2,0.2855993321,3700,0.9471128739,0.005145120218
144,0.8,0.2,0.2855993321,3720,0.9468594522,0.005181651295
144,0.8,0.2,0.2855993321,3740,0.94660701,0.005220111001
144,0.8,0.2,0.2855993321,3760,0.9463483244,0.005265245915
144,0.8,0.2,0.2855993321,3780,0.9460837828,0.005310704335
144,0.8,0.2,0.2855993321,3800,0.9458209559,0.005352475775
144,0.8,0.2,0.2855993321,3820,0.9455532064,0.005391937474
144,0.8,0.2,0.2855993321,3840,0.9452987961,0.005423687734
144,0.8,0.2,0.2855993321,3860,0.9450414759,0.005460057649
144,0.8,0.2,0.2855993321,3880,0.9447828786,0.005493413034
144,0.8,0.2,0.2855993321,3900,0.9445310696,0.005534429753
144,0.8,0.2,0.2855993321,3920,0.944279378,0.005575459815
144,0.8,0.2,0.2855993321,3940,0.9440209922,0.005615306771
144,0.8,0.2,0.2855993321,3960,0.9437625403,0.005652895014
144,0.8,0.2,0.2855993321,3980,0.9434965464,0.005701695068
144,0.8,0.2,0.2855993321,4000,0.943233325,0.005746643719
144,0.8,0.2,0.2855993321,4020,0.9429655639,0.005789796196
144,0.8,0.2,0.2855993321,4040,0.9427081665,0.005826891678
144,0.8,0.2,0.2855993321,4060,0.9424503742,0.005867491584
144,0.8,0.2,0.2855993321,4080,0.9422004719,0.005902817673
144,0.8,0.2,0.2855993321,4100,0.9419402007,0.005939120824
144,0.8,0.2,0.2855993321,4120,0.9416715242,0.005974829975
144,0.8,0.2,0.2855993321,4140,0.9414050842,0.006007805119
