eps_BB,kappa,f_A,k_off,k_fb,k_on,n_seeds,f_B_runaway_fraction,f_B_mean,f_B_sem,largest_B_cluster_fraction_mean,largest_B_cluster_fraction_sem,n_B_clusters_mean,n_B_clusters_sem,dense_B_fraction_mean,dense_B_fraction_sem,mean_BB_coordination_mean,mean_BB_coordination_sem,mean_A_coordination_mean,mean_A_coordination_sem,mean_B_coordination_mean,mean_B_coordination_sem,B_cluster_size_second_moment_mean,B_cluster_size_second_moment_sem,mean_coordination_mean,mean_coordination_sem,mean_Rg_mean,mean_Rg_sem,S_BB_peak_mean,S_BB_peak_sem,q_BB_peak_mean,q_BB_peak_sem,S_BB_kmin_mean,S_BB_kmin_sem,tau_BB_peak_mean,tau_BB_peak_sem,plateau_BB_peak_mean,plateau_BB_peak_sem,S_psi_peak_mean,S_psi_peak_sem,f_B_final_mean,f_B_final_sem,f_B_drift_mean,f_B_drift_sem,mark_memory_time_mean,mark_memory_time_sem,mark_persistence_mean,mark_persistence_sem,largest_cluster_time_std_mean,largest_cluster_time_std_sem,f_B_time_std_mean,f_B_time_std_sem
0.5,0.0,0.5,0.0,0.0,0.0,4,0.0,0.5,0.0,0.03271944444444444,0.0011988960703711742,150.891,1.6399946138122932,0.016710416666666665,0.0009694486727860673,2.122575,0.02032044952072363,3.6044454861111115,0.0017842699541340944,3.953557291666667,0.004194569817195161,18.40213125,0.740815742829686,3.779001388888889,0.0013738738139608719,3.7887883940888667,0.005687760794194843,1.281606912799147,0.06788558167259841,0.3449872934258421,0.048430763239357924,1.1268319842307237,0.03351272806413779,164.9138172787078,35.424424535753964,0.06189207347904668,0.02360823722904909,1.3900242225152237,0.13687470288959264,0.5,0.0,0.0,0.0,,,,,0.009820552803273219,0.00033945657105648863,0.0,0.0
0.5,0.0,0.7,0.0,0.0,0.0,4,0.0,0.3,0.0,0.011420717592592593,0.00014381805845497007,71.339,0.6184332354156475,0.0011383101851851851,0.00011918627218288126,1.2437835648148148,0.007535561784738298,3.5516428571428573,0.0007345988446734938,3.749872685185185,0.0010427793268787502,4.001715277777778,0.037184211948254775,3.6111118055555558,0.0003539162604246462,3.846681771681659,0.006634973680914164,0.4895457962759674,0.018223639620921075,0.338002701478889,0.06273495278312138,0.40768815977595785,0.043176835562997916,506.54021455300773,205.1295360268123,0.23089041634834467,0.08032985562885613,1.2778081733881876,0.06340891426974524,0.3,0.0,0.0,0.0,,,,,0.0025508839643895,0.00014240785407184961,0.0,0.0
0.5,0.25,0.5,0.0,0.0,0.0,4,0.0,0.5,0.0,0.057301736111111105,0.001935672955014132,127.56400000000001,1.0796419159455932,0.02923888888888889,0.0007093819398783095,2.2874326388888893,0.008913999642603945,3.5905180555555556,0.00258834719783954,4.012472916666666,0.0033989310503798795,34.06376875,1.2771844109106638,3.801495486111111,0.002338897230936032,3.7626485301932733,0.004179026934314089,2.219741462382093,0.10281139194303074,0.2262085704663123,0.02122658011177054,2.092766097860812,0.21269841558467267,880.8162548418916,343.0804614179297,0.4635331131717999,0.093888030376139,3.286437630124212,0.1567103057241729,0.5,0.0,0.0,0.0,,,,,0.022186642734075675,0.001269437458027544,0.0,0.0
0.5,0.25,0.7,0.0,0.0,0.0,4,0.0,0.3,0.0,0.01847511574074074,0.000615426198755184,77.66499999999999,1.2076405370252639,0.004589699074074074,0.00040034628532007344,1.4229918981481482,0.010597734316698033,3.5469308035714286,0.002123571687081604,3.796810763888889,0.004651045890954576,5.7106157407407405,0.110739580504704,3.621894791666667,0.0018659242260260517,3.830073866196777,0.012053031321368582,1.1360557002119018,0.113521276126194,0.24249629824857127,0.03751430789402952,1.1268067472016046,0.12197561380494615,371.08752160852714,,0.5420611076531962,0.13022878222565615,2.9451596382590806,0.21658022559801932,0.3,0.0,0.0,0.0,,,,,0.0048965285928417555,0.0002589392948604401,0.0,0.0
0.5,0.5,0.5,0.0,0.0,0.0,4,0.0,0.5,0.0,0.3026090277777778,0.0337065315184974,65.357,1.977359434532158,0.08233715277777777,0.0038750285150533858,2.7869131944444443,0.02999105169990894,3.5533038194444444,0.0037223234238159685,4.225103125,0.014401332300663617,360.93804305555557,55.378089677465255,3.8892034722222224,0.005374272264473196,3.7118538196815933,0.0036017965887050088,10.05487851094555,1.7700447989801553,0.24743515057808285,0.024510343483011756,9.743829538465727,1.8307754483054541,864.323745606798,,0.6362389169912798,0.11071792866429507,18.985212586076123,3.1821035686101116,0.5,0.0,0.0,0.0,,,,,0.104518174442846,0.005510140142323455,0.0,0.0
0.5,0.5,0.7,0.0,0.0,0.0,4,0.0,0.3,0.0,0.06441956018518519,0.0027922226619047186,66.782,0.8898576665212637,0.03206365740740741,0.0004324828471017851,2.018105324074074,0.011869306111979571,3.5362621527777782,0.0014486551093961847,3.9728188657407406,0.006049464406341238,23.07558449074074,1.1047308941203,3.6672291666666665,0.0017482936456146264,3.782141818584431,0.008161287469901655,3.664016126968145,0.431390223623355,0.20498199035454176,0.0,3.664016126968145,0.431390223623355,,,0.6171525218297625,0.015192009776677914,9.644002310417788,1.3065264201519862,0.3,0.0,0.0,0.0,,,,,0.022493138179783972,0.002147431333118902,0.0,0.0
0.5,0.75,0.5,0.0,0.0,0.0,4,0.0,0.5,0.0,0.7636343749999999,0.009255371007240868,20.627,1.6391439839135558,0.23551076388888886,0.013112720242384034,3.893922222222222,0.06694141007607504,3.464264583333333,0.004924964928407037,4.791016666666668,0.04965697555423022,1709.1169583333335,39.33198549518231,4.127640625,0.022401758944587253,3.6594842754219843,0.006376272680246906,58.89014844258289,8.249274461279894,0.22620857046631232,0.02122658011177054,58.31668430974168,8.143190674630116,,,0.9051149953363767,0.015577022824821806,110.16080864956561,14.42792341921371,0.5,0.0,0.0,0.0,,,,,0.06418205126570117,0.012170277808618776,0.0,0.0
0.5,0.75,0.7,0.0,0.0,0.0,4,0.0,0.3,0.0,0.46950231481481486,0.037096092470140465,27.549,1.6310098099030559,0.14807233796296296,0.0035480661358596173,3.209920138888889,0.02860636942902761,3.4987118055555557,0.001349736956286037,4.476984953703704,0.016999982099365422,445.9189606481482,55.35018400950064,3.7921937499999996,0.004304275702101434,3.748125997443849,0.003961532917384061,25.944313281475672,5.5132189666880835,0.22620857046631232,0.02122658011177054,24.12944663911164,6.5621173275199,,,0.8841733241500992,0.012014377914108698,59.69764736024656,12.060537530466732,0.3,0.0,0.0,0.0,,,,,0.09919761376930857,0.01829925547705424,0.0,0.0
0.5,1.0,0.5,0.0,0.0,0.0,4,0.0,0.5,0.0,0.9779357638888888,0.002119224205145447,6.243,0.4876484389393654,0.5664190972222223,0.00721743681326584,5.930688888888889,0.03517082816858029,3.27488125,0.002995771223321244,6.0309888888888885,0.03528261544094179,2754.8837534722225,11.908037720398722,4.652935069444444,0.016342712139963165,3.6517478458890196,0.01395525006617839,321.13691130897496,24.53214910004553,0.20498199035454176,0.0,321.13691130897496,24.53214910004553,,,0.9802363229812355,0.009027438275101354,577.3390319470518,36.140819244337806,0.5,0.0,0.0,0.0,,,,,0.00850567641199632,0.0012260384609694744,0.0,0.0
0.5,1.0,0.7,0.0,0.0,0.0,4,0.0,0.3,0.0,0.7873796296296297,0.08113627562723123,7.827999999999999,0.9728816303470152,0.5163576388888889,0.006025394376290374,5.677587962962962,0.03273260410921649,3.396043898809524,0.001447297691285197,5.851326967592593,0.029916337093525067,1239.4536192129628,147.25213970941027,4.132628819444444,0.00819932059046697,3.729551150800635,0.004756695971985843,104.7591214093431,16.064975749837828,0.24743515057808285,0.024510343483011756,84.87226854139035,25.27465282113394,,,0.9252973941658189,0.023209920788901436,215.08072683274503,32.45141533543472,0.3,0.0,0.0,0.0,,,,,0.1035871754858246,0.04473044182319155,0.0,0.0
