run_id,eps_BB,kappa,f_A,k_off,k_on,k_fb,seed,f_B,largest_B_cluster_fraction,n_B_clusters,dense_B_fraction,mean_BB_coordination,mean_A_coordination,mean_B_coordination,B_cluster_size_second_moment,mean_coordination,mean_Rg,S_BB_peak,q_BB_peak,S_BB_kmin,tau_BB_peak,plateau_BB_peak,S_psi_peak,f_B_final,f_B_drift,mark_memory_time,mark_persistence,largest_cluster_time_std,f_B_time_std
epsBB0p5_kappa0_fA0p7_seed1,0.5,0.0,0.7,0.0,0.0,0.0,1,0.3,0.011773148148148147,69.536,0.0013333333333333333,1.2235185185185184,3.550359126984127,3.7495787037037034,3.9612962962962963,3.610125,3.8621458487487157,0.5283138238357926,0.2898883108016239,0.348068827725697,888.9610132091619,0.37191376295620454,1.4290458770009054,0.3,0.0,,,0.0028671053712545245,0.0
epsBB0p5_kappa0_fA0p7_seed2,0.5,0.0,0.7,0.0,0.0,0.0,2,0.3,0.01152777777777778,72.196,0.0013263888888888889,1.2598703703703702,3.553128968253968,3.7476944444444444,4.112912037037037,3.611498611111111,3.84387520085557,0.473053842589117,0.20498199035454176,0.473053842589117,824.7146856787398,0.3517768187986895,1.1966012403089248,0.3,0.0,,,0.0022360440140228597,0.0
epsBB0p5_kappa0_fA0p7_seed3,0.5,0.0,0.7,0.0,0.0,0.0,3,0.3,0.01125,72.092,0.0008379629629629629,1.244601851851852,3.5526815476190476,3.7495023148148148,3.972990740740741,3.6117277777777774,3.830324216102773,0.5097299261029141,0.35503922193065984,0.49004180538859193,233.83121048377822,0.16564385009339164,1.3331496404390129,0.3,0.0,,,0.0026989192192411068,0.0
epsBB0p5_kappa0_fA0p7_seed4,0.5,0.0,0.7,0.0,0.0,0.0,4,0.3,0.011131944444444444,71.532,0.0010555555555555555,1.2471435185185187,3.550401785714285,3.752715277777778,3.9596620370370372,3.611095833333333,3.850381821019576,0.4470855925760459,0.5021012828287303,0.3195881634004254,78.65394884035105,0.0342272335450931,1.1524359358039078,0.3,0.0,,,0.002401467253039509,0.0
epsBB0p5_kappa0_fA0p5_seed1,0.5,0.0,0.5,0.0,0.0,0.0,1,0.5,0.033786111111111114,148.768,0.017294444444444446,2.1330249999999995,3.6011611111111113,3.9563916666666663,19.007191666666667,3.778776388888889,3.7992174816008086,1.4560116146989517,0.4099639807090835,1.093611764015215,129.8587379644408,0.09944755439509094,1.7754035491128062,0.5,0.0,,,0.0102822554060171,0.0
epsBB0p5_kappa0_fA0p5_seed2,0.5,0.0,0.5,0.0,0.0,0.0,2,0.5,0.030677777777777776,154.448,0.014575,2.080636111111111,3.6075749999999998,3.944438888888889,16.902272222222223,3.7760069444444446,3.778008938334796,1.2167822960909156,0.20498199035454176,1.2167822960909156,267.9607788082952,0.10562905437485014,1.1418179783589923,0.5,0.0,,,0.00917163754109293,0.0
epsBB0p5_kappa0_fA0p5_seed3,0.5,0.0,0.5,0.0,0.0,0.0,3,0.5,0.030812499999999996,152.828,0.015877777777777775,2.1023250000000004,3.607490277777778,3.9496208333333334,17.51355,3.7785555555555557,3.7979963951178926,1.14114803725666,0.4099639807090835,1.1350281338462398,109.70826332131459,0.0267511383111424,1.2700352532721708,0.5,0.0,,,0.009309599556603978,0.0
epsBB0p5_kappa0_fA0p5_seed4,0.5,0.0,0.5,0.0,0.0,0.0,4,0.5,0.03560138888888889,147.52,0.019094444444444445,2.174313888888889,3.6015555555555556,3.963777777777778,20.18551111111111,3.782666666666667,3.77993076130197,1.3124857031500603,0.35503922193065984,1.0619057429705245,152.12748902078067,0.015740546835103265,1.372840109316926,0.5,0.0,,,0.010518718709378868,0.0
epsBB0p5_kappa0p25_fA0p7_seed1,0.5,0.25,0.7,0.0,0.0,0.0,1,0.3,0.01817824074074074,80.6,0.004655092592592592,1.4529074074074073,3.5442996031746032,3.8102824074074073,5.887569444444445,3.6240944444444447,3.809744633170889,1.1236446600870778,0.20498199035454176,1.1236446600870778,,0.7267532697010053,3.3424320794426987,0.3,0.0,,,0.004588440032938325,0.0
epsBB0p5_kappa0p25_fA0p7_seed2,0.5,0.25,0.7,0.0,0.0,0.0,2,0.3,0.01738657407407407,78.268,0.003476851851851851,1.4028796296296295,3.543806547619048,3.789599537037037,5.399175925925926,3.617544444444445,3.8107814745293633,1.3573353514429798,0.20498199035454176,1.3573353514429798,,0.6776068226019426,3.2508277890808954,0.3,0.0,,,0.004700344769809493,0.0
epsBB0p5_kappa0p25_fA0p7_seed3,0.5,0.25,0.7,0.0,0.0,0.0,3,0.3,0.020243055555555556,74.832,0.00537037037037037,1.4184444444444446,3.553038690476191,3.795483796296296,5.847888888888889,3.6257722222222224,3.840586934057034,1.236210244894045,0.20498199035454176,1.236210244894045,,0.6052742583687578,2.7733595687071806,0.3,0.0,,,0.005670221458993724,0.0
