quantity,ensemble,epsilon,A,exponent,R_squared,std_err
t_star,iid,0.0,0.0021814069538335134,1.1102522721300292,0.686879637134783,0.43278916367509956
t_star,correlated,0.0,0.0021814069538335134,1.1102522721300292,0.686879637134783,0.43278916367509956
t_star,iid,3.0,0.005220193785155774,1.021282320698409,0.5051081535326458,0.5836441628828177
t_star,correlated,3.0,0.0003315187643403244,1.542443276782033,0.9280561915691035,0.24794659594124716
t_star,iid,6.0,7.787790897296002e-05,1.75038145588653,0.8457983705008315,0.43150232066767286
t_star,correlated,6.0,0.001038636331325029,1.1956824372447923,0.5090654704972146,0.6779227247167555
chi4_star_early,iid,0.0,0.00914903399039947,0.4880650385475636,0.728186238622294,0.21085173926937123
chi4_star_early,correlated,0.0,0.00914903399039947,0.4880650385475636,0.728186238622294,0.21085173926937123
chi4_star_early,iid,3.0,0.00387524089394232,0.6229868736583997,0.8509860004977815,0.18433857509740423
chi4_star_early,correlated,3.0,0.00911384380167358,0.4963750758535368,0.7027490835264926,0.2282739878362594
chi4_star_early,iid,6.0,0.010734245113558971,0.46096118488818516,0.7213100477737844,0.2026044705681549
chi4_star_early,correlated,6.0,0.004310711995132944,0.5856243399066576,0.7261143419157405,0.25432336375425973
