ensemble,epsilon,mu,mu_se,mu_n,mu_threshold,collapse_Qnorm,collapse_chi4
correlated,0.0,0.2627151871094949,0.07475632546276027,5.0,0.36787944117144233,0.04897595060890187,0.15865059964784597
correlated,3.0,0.8613049901304758,0.10883209646871483,5.0,0.6,,0.030007486418491422
correlated,6.0,1.1738849928331898,0.21295973439384203,4.0,0.6,,0.13799940438214947
iid,0.0,0.2627151871094949,0.07475632546276027,5.0,0.36787944117144233,0.04897595060890187,0.15865059964784597
iid,3.0,1.1499340342265971,0.206957632695385,4.0,0.6,,0.08882224803907642
iid,6.0,1.0327421477844718,0.23719437843884708,3.0,0.6,,0.07648464615040808
