n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
288,1,0,0.2266803401,3175.484345,901.3083853
288,1,0,0.3205744114,2370.56342,759.4336461
288,1,0,0.3926218662,1499.645669,269.8128111
288,1,0,0.4533606803,1402.673195,422.5591308
288,1,0,0.5068726497,782.2359208,49.45970213
288,1,0,0.5552511681,640.7137972,50.10882043
288,1,0,0.6411488227,421.0737895,46.09121201
288,1,0,0.6800410204,342.5234076,19.86670597
288,1,0,0.7168261756,258.2066521,2.573931674
288,1,0,0.7518136356,201.9975561,8.539441759
288,1,0,0.7852437324,202.6657297,8.798247984
288,1,0,0.8173075895,158.7229748,3.945028278
288,1,0,0.8481601691,136.6898715,6.253873005
288,1,0,0.9067213606,99.08336884,6.645544569
288,1,0,0.9346269857,92.42092883,1.615043766
288,1,0,0.9617232341,84.81009777,2.737824901
288,1,0,0.9880766952,79.42650669,3.786049363
288,1,0,1.013745299,64.48808092,1.10155397
288,1,0,1.038779817,61.50093773,0.7529943134
288,1,0,1.06322504,54.9859781,0.8991636985
288,1,0,1.110502336,47.92566736,0.5381855647
288,1,0,1.133401701,41.98809235,0.4632977459
288,1,0,1.155847478,39.50540317,0.6302314997
288,1,0,1.177865599,36.90509792,0.307893116
288,1,0,1.22071099,31.87244731,0.287894695
288,1,0,1.241579356,29.53944885,0.3777782077
288,1,0,1.282297645,25.73282283,0.3778270186
288,1,0,1.302179415,24.21592577,0.5728310007
288,1,0,1.321762159,23.15301392,0.2304892957
288,1,0,1.341058978,21.43941159,0.2853563002
288,1,0,1.360082041,21.02639675,0.1294349688
288,1,0,1.378842679,20.09945104,0.3935507484
288,1,0,1.397351463,18.37779658,0.1219235249
288,1,0,1.433652351,16.55087214,0.2086462047
288,1,0,1.45146238,15.76699068,0.09757897086
288,1,0,1.469056506,15.4044442,0.06241588365
288,1,0,1.486442395,13.87074185,0.341518872
