n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.85,0.15,0.8567979964,487.4527272,178.5873105
144,0.85,0.15,0.9031443878,492.2091059,94.83996232
144,0.85,0.15,0.9472258251,110.2135157,24.01962873
144,0.85,0.15,0.9893451078,56.86269147,10.06233662
144,0.85,0.15,1.029743036,73.94047002,4.631542406
144,0.85,0.15,1.068614851,47.70364487,1.107405042
144,0.85,0.15,1.142397329,55.6178161,9.971372599
144,0.85,0.15,1.177556213,32.49629433,1.369707159
144,0.85,0.15,1.211695347,29.12591113,2.128419078
144,0.85,0.15,1.244898627,20.93506674,1.110665246
144,0.85,0.15,1.277239042,21.17438145,0.2768735687
144,0.85,0.15,1.308780558,18.26934616,0.9204191683
144,0.85,0.15,1.339579608,14.85415132,0.7442227565
144,0.85,0.15,1.399145269,12.75758809,0.168554723
144,0.85,0.15,1.427996661,12.70030491,0.197785492
144,0.85,0.15,1.456276568,11.48907775,0.2021614272
144,0.85,0.15,1.484017662,10.78189159,0.3053379087
144,0.8,0.2,0.2855993321,,
144,0.8,0.2,0.4038984489,1212.167855,
144,0.8,0.2,0.4946725539,,
144,0.8,0.2,0.5711986643,,
144,0.8,0.2,0.638619521,802.1712332,69.61053051
144,0.8,0.2,0.6995726346,380.479933,95.77334944
144,0.8,0.2,0.8077968978,355.0210069,200.3578107
144,0.8,0.2,0.8567979964,636.7824784,208.8587897
144,0.8,0.2,0.9031443878,488.4940741,135.6303484
144,0.8,0.2,0.9472258251,185.8749632,40.73150848
144,0.8,0.2,0.9893451078,68.54783981,10.58166229
144,0.8,0.2,1.029743036,63.43462044,9.777403141
144,0.8,0.2,1.068614851,43.27438253,1.871828147
144,0.8,0.2,1.142397329,82.39597096,22.91205117
144,0.8,0.2,1.177556213,35.50018804,2.258057931
144,0.8,0.2,1.211695347,27.2566842,1.546626769
144,0.8,0.2,1.244898627,20.94274584,1.191984091
144,0.8,0.2,1.277239042,17.32087704,0.6633582183
144,0.8,0.2,1.308780558,17.66762731,0.2385601584
144,0.8,0.2,1.339579608,12.81008751,0.4858203387
144,0.8,0.2,1.399145269,11.28727654,0.4708602069
144,0.8,0.2,1.427996661,11.27451251,0.8032453947
144,0.8,0.2,1.456276568,10.2597453,0.3501120652
144,0.8,0.2,1.484017662,9.024315276,0.09315266236
144,0.7,0.3,0.2855993321,,
144,0.7,0.3,0.4038984489,,
144,0.7,0.3,0.4946725539,,
144,0.7,0.3,0.5711986643,976.381994,215.3207978
144,0.7,0.3,0.638619521,1010.294292,14.03350967
144,0.7,0.3,0.6995726346,357.73191,68.05073492
144,0.7,0.3,0.8077968978,350.9886225,54.05200722
144,0.7,0.3,0.8567979964,733.3909496,237.34234
144,0.7,0.3,0.9031443878,496.2856803,109.0180036
