run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,2000,-50392.79867553711,24506.3125,3.156444048345896,0.7090946903935185,0.27294121300591867,23.0202879146849,0.1132957648385706
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,4000,-51898.15786743164,24106.39453125,3.14237088610313,0.6975229899088542,0.27294121300591867,23.0202879146849,0.12969096787814893
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,6000,-52720.79571533203,24118.390625,3.1390136635230355,0.6978700991030092,0.27294121300591867,23.0202879146849,0.1402167257195846
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,8000,-53075.99609375,24165.140625,3.141592846997062,0.6992228190104166,0.27294121300591867,23.0202879146849,0.14725183336566217
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,10000,-53887.12487792969,24344.435546875,3.141157267687984,0.7044107507776332,0.27294121300591867,23.0202879146849,0.15917835468167485
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,12000,-53915.46661376953,24389.46875,3.1515667580408344,0.705713794849537,0.27294121300591867,23.0202879146849,0.16855302289980062
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,14000,-54209.79833984375,24265.0390625,3.151622229799216,0.7021133987991898,0.27294121300591867,23.0202879146849,0.1797435948937473
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,16000,-54252.71664428711,24196.73046875,3.1522972800860236,0.7001368769892939,0.27294121300591867,23.0202879146849,0.18958854116725285
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,18000,-54769.72619628906,24219.150390625,3.166227157425195,0.7007856015805844,0.27294121300591867,23.0202879146849,0.19462783277584036
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,20000,-54907.47579956055,24227.5078125,3.1670032707237805,0.7010274251302083,0.27294121300591867,23.0202879146849,0.20755902351760386
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,22000,-55020.34158325195,24317.44921875,3.1735449830231315,0.703629896375868,0.27294121300591867,23.0202879146849,0.21330204640557293
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,24000,-54959.74450683594,24044.87109375,3.1809369760697916,0.6957427978515625,0.27294121300591867,23.0202879146849,0.21906770277621382
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,26000,-55131.04165649414,24401.40625,3.1951251103742493,0.7060592086226852,0.27294121300591867,23.0202879146849,0.22645835576151166
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,28000,-55466.5266418457,24171.23828125,3.194812100880061,0.6993992558232061,0.27294121300591867,23.0202879146849,0.23435121263150244
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,30000,-55719.224212646484,24497.904296875,3.2041269029028814,0.708851397479022,0.27294121300591867,23.0202879146849,0.2421959468901504
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,32000,-55429.685485839844,23899.30078125,3.1984301346011557,0.6915306939019097,0.27294121300591867,23.0202879146849,0.24854653058980813
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,34000,-55666.7487487793,24119.71484375,3.2016219986720724,0.6979084156177662,0.27294121300591867,23.0202879146849,0.25305142988678575
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,36000,-55799.43533325195,24039.31640625,3.2093809674087166,0.6955820719401041,0.27294121300591867,23.0202879146849,0.2556650270073628
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,38000,-56194.01086425781,24447.40625,3.2201463421349223,0.7073902271412037,0.27294121300591867,23.0202879146849,0.2611073772304454
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,40000,-55479.970703125,24234.96484375,3.2292260189656457,0.7012431957103588,0.27294121300591867,23.0202879146849,0.2713839080132343
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,42000,-56179.83724975586,24008.400390625,3.2348800401806383,0.6946875113028067,0.27294121300591867,23.0202879146849,0.2813592287939604
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,44000,-56138.3740234375,24240.72265625,3.242981822938352,0.7014097990813078,0.27294121300591867,23.0202879146849,0.2953910822422396
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,46000,-56206.20974731445,24221.80859375,3.2484359599251045,0.7008625171802663,0.27294121300591867,23.0202879146849,0.3011995178006494
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,48000,-56300.376525878906,24093.85546875,3.246195093774228,0.6971601698133681,0.27294121300591867,23.0202879146849,0.3049666088650685
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,50000,-56213.8225402832,24319.95703125,3.250371594141141,0.7037024603949652,0.27294121300591867,23.0202879146849,0.304830338782856
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,52000,-56339.982666015625,24269.09375,3.2443396742056634,0.7022307219328703,0.27294121300591867,23.0202879146849,0.31512618794515895
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,54000,-56435.49072265625,24242.8828125,3.2486164643721103,0.7014723036024305,0.27294121300591867,23.0202879146849,0.32480316603589265
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,56000,-56492.56622314453,24261.072265625,3.245217054953082,0.7019986187970197,0.27294121300591867,23.0202879146849,0.3294634391428126
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,58000,-56647.11413574219,24195.833984375,3.2545388078507553,0.7001109370478876,0.27294121300591867,23.0202879146849,0.3332671493390358
