ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs,MSD_mean,alpha2_mean,energy_mean,Rg_mean,n_contacts_mean
iid,0.0,30,0.0,0.0,0,0,0,0.003284072249589491,0.003831417624521072,0.0,0.0,6,406,0.0,0.0,781.2809835403182,6.261497200782504,1.3333333333333333
iid,0.0,30,0.0,0.0,0,0,1,0.0016420361247947454,0.0030103995621236996,7.479562503316225,1.7153115934393675,6,406,0.0393937686703254,1.4622944900203736,760.4067685292447,6.240770549629126,0.8333333333333334
iid,0.0,30,0.0,0.0,0,0,2,0.0012315270935960591,0.0014367816091954023,17.301825418894477,7.759796561258969,6,406,0.07884575526322711,0.8686375287931991,746.7976338525036,6.2121001320984695,0.5
iid,0.0,30,0.0,0.0,0,0,3,0.0016420361247947454,0.0030103995621236996,27.59622438293213,12.05622802176816,6,406,0.12451695262394685,0.4842643310930764,734.9779821015969,6.194901196861047,0.8333333333333334
iid,0.0,30,0.0,0.0,0,0,4,0.0016420361247947454,0.0013683634373289552,36.4499707408332,14.20168213258024,6,406,0.16575451872568345,0.30541112033295353,717.36634879338,6.17004653418775,0.8333333333333334
iid,0.0,30,0.0,0.0,0,0,6,0.0012315270935960591,0.0014367816091954023,71.96297680951845,28.60082674230089,6,406,0.29466821782674496,0.23877747479461522,683.4592706708592,6.11264255606203,1.0
iid,0.0,30,0.0,0.0,0,0,8,0.0016420361247947454,0.0030103995621236996,108.81065503791693,40.77889565363474,6,406,0.4111963697308259,0.26650774695925983,644.6695375451336,6.053331161785181,1.1666666666666667
iid,0.0,30,0.0,0.0,0,0,11,0.0012315270935960591,0.0014367816091954023,182.6005529032361,84.16700928802041,6,406,0.6342855225523849,0.18070274318472523,596.1124769522108,5.984488162290745,1.0
iid,0.0,30,0.0,0.0,0,0,15,0.0008210180623973727,0.0013683634373289548,302.730820670843,130.33122172354214,6,406,0.9885230291575419,0.023601915826187,532.0385044910664,5.878719358162182,1.1666666666666667
iid,0.0,30,0.0,0.0,0,0,22,0.00041050903119868636,0.0003420908593322387,511.84773038102554,161.182373436528,6,406,1.720643313173386,-0.03076189770741185,443.3379986332456,5.738847529671825,1.5
iid,0.0,30,0.0,0.0,0,0,30,0.0008210180623973727,0.0005473453749315821,789.1699464110771,186.97689259591746,6,406,2.654600590619701,-0.05252805677979233,360.30796875110804,5.590135624452306,2.5
iid,0.0,30,0.0,0.0,0,0,43,0.0008210180623973727,0.0005473453749315821,1249.5630640979564,335.8717870685308,6,406,4.154450212978696,-0.07372827117159923,267.01904580330296,5.364896553888086,3.8333333333333335
iid,0.0,30,0.0,0.0,0,0,60,0.0,0.0,1773.2075496672903,459.8143607195511,6,406,6.197609296384747,-0.11619826188792527,193.68219287423997,5.155405394287316,4.5
iid,0.0,30,0.0,0.0,0,0,84,0.0,0.0,2427.497799747672,791.0570306130425,6,406,8.399295502013905,-0.15877903867778137,128.74601338671928,4.876395716908828,6.5
iid,0.0,30,0.0,0.0,0,0,119,0.00041050903119868636,0.0003420908593322387,3223.3660975311577,992.2086789201975,6,406,10.614799105899403,-0.14870521544014698,85.25046773827977,4.587316717585538,8.333333333333334
