ensemble,epsilon,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
iid,0.0,0.0,0.0,0,0,1,0.0040024630541871924,0.004271859605911329,7.464042714639257,2.121709582981487,8,406
iid,0.0,0.0,0.0,0,0,2,0.004618226600985221,0.004579741379310347,17.740031450019977,4.772643707518018,8,406
iid,0.0,0.0,0.0,0,0,3,0.004002463054187192,0.004271859605911332,30.106137727666113,8.888066962243593,8,406
iid,0.0,0.0,0.0,0,0,4,0.0030788177339901475,0.0023091133004926115,39.932788705922604,13.084483144657662,8,406
iid,0.0,0.0,0.0,0,0,6,0.002770935960591133,0.002116687192118226,62.495821348616076,15.657029721475627,8,406
iid,0.0,0.0,0.0,0,0,8,0.0021551724137931034,0.002116687192118226,86.12179262740403,21.670722344639067,8,406
iid,0.0,0.0,0.0,0,0,11,0.0012315270935960591,0.0012315270935960593,135.36751348442363,18.306360497383366,8,406
iid,0.0,0.0,0.0,0,0,15,0.0021551724137931034,0.002116687192118226,208.6639890611185,31.732270043520508,8,406
iid,0.0,0.0,0.0,0,0,22,0.0012315270935960591,0.0012315270935960591,369.73590746334435,96.1307102533136,8,406
iid,0.0,0.0,0.0,0,0,30,0.0006157635467980296,0.001077586206896552,574.2282721091156,95.40954105654082,8,406
iid,0.0,0.0,0.0,0,0,43,0.0012315270935960591,0.0012315270935960591,956.0632366809039,183.1094715551407,8,406
iid,0.0,0.0,0.0,0,0,60,0.0012315270935960591,0.0006157635467980296,1477.2688161509186,349.57612906853325,8,406
iid,0.0,0.0,0.0,0,0,84,0.0012315270935960591,0.0012315270935960593,2061.604471448467,586.8000846278916,8,406
iid,0.0,0.0,0.0,0,0,119,0.0012315270935960591,0.0012315270935960593,2851.6099585201036,841.0105248328013,8,406
iid,0.0,0.0,0.0,0,0,167,0.0009236453201970443,0.0011930418719211823,3659.478222884349,1127.5646020861245,8,406
iid,0.0,0.0,0.0,0,0,235,0.0012315270935960591,0.002463054187192118,4454.171927502254,1424.7665878332102,8,406
iid,0.0,0.0,0.0,0,0,330,0.0015394088669950737,0.0024245689655172415,5213.577195668653,1826.1924960266292,8,406
iid,0.0,0.0,0.0,0,0,464,0.0012315270935960591,0.0006157635467980296,5970.328909553385,2336.9845485657293,8,406
iid,0.0,0.0,0.0,0,0,653,0.0003078817733990148,0.000269396551724138,6619.360025600586,2489.2797098124965,8,406
iid,0.0,0.0,0.0,0,0,918,0.0003078817733990148,0.000269396551724138,6968.419387402442,2358.0276679773497,8,406
iid,0.0,0.0,0.0,0,0,1292,0.0012315270935960591,0.0012315270935960593,7420.2147974115005,2523.904003962527,8,406
iid,0.0,0.0,0.0,0,0,1817,0.0012315270935960591,0.0012315270935960591,7606.3507212168615,2550.560797678656,8,406
iid,0.0,0.0,0.0,0,0,2555,0.0009236453201970443,0.0011930418719211823,8062.182355349375,2455.277479075945,8,406
iid,0.0,0.0,0.0,0,0,3594,0.0009236453201970443,0.0005772783251231529,8220.200404560837,2543.6787401092506,8,406
iid,0.0,0.0,0.0,0,0,5055,0.0012315270935960591,0.0012315270935960591,8608.681443124597,2870.579278992058,8,406
iid,0.0,0.0,0.0,0,0,7110,0.0012315270935960591,0.0012315270935960591,8987.496407278848,3638.706251891268,8,406
iid,0.0,0.0,0.0,0,0,10000,0.0003078817733990148,0.000269396551724138,9013.343412484306,3637.94176065236,8,406
iid,0.0,0.0,0.0,0,100,1,0.015701970443349755,0.0523014162561576,4.011767261787173,1.7177719688967121,8,406
iid,0.0,0.0,0.0,0,100,2,0.015701970443349755,0.0523014162561576,8.075864395871925,2.9411211959843264,8,406
iid,0.0,0.0,0.0,0,100,3,0.014778325123152709,0.05233990147783252,13.000072326368029,4.734416502946125,8,406
iid,0.0,0.0,0.0,0,100,4,0.015394088669950737,0.04356527093596062,16.278374028531406,6.621207792621018,8,406
iid,0.0,0.0,0.0,0,100,6,0.015701970443349752,0.060306342364532015,22.712396834643688,9.203708493728001,8,406
iid,0.0,0.0,0.0,0,100,8,0.014470443349753693,0.05445658866995074,34.24608827330444,16.536873180870042,8,406
iid,0.0,0.0,0.0,0,100,11,0.01416256157635468,0.055264778325123165,42.47204281385261,21.716701980127503,8,406
iid,0.0,0.0,0.0,0,100,15,0.012931034482758622,0.05280172413793102,62.167354149593756,29.30800271674485,8,406
iid,0.0,0.0,0.0,0,100,22,0.012007389162561574,0.06307727832512315,105.18993406038308,47.02095942273885,8,406
iid,0.0,0.0,0.0,0,100,30,0.010775862068965518,0.02274476600985221,128.13044990101446,58.22785750446557,8,406
iid,0.0,0.0,0.0,0,100,43,0.009852216748768473,0.043719211822660094,182.40702356267312,69.2876959487643,8,406
iid,0.0,0.0,0.0,0,100,60,0.01108374384236453,0.037561576354679826,284.3231871258602,125.6826128512375,8,406
