run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,2000,-12764.072476387024,6125.767578125,3.1300715773023557,0.7090008770978009,0.42839899821678995,14.666666666666668,0.1452505350386323
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,4000,-13308.720985412598,6027.591796875,3.128674960047185,0.697637939453125,0.42839899821678995,14.666666666666668,0.15295629217440437
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,6000,-13497.47831249237,6205.28076171875,3.137609789413853,0.7182037918655961,0.42839899821678995,14.666666666666668,0.15732216439434962
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,8000,-13425.404138565063,6034.19287109375,3.1305028132226562,0.6984019526728877,0.42839899821678995,14.666666666666668,0.15850981365332142
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,10000,-13418.11045742035,6113.4775390625,3.1420104828068345,0.7075784188729745,0.42839899821678995,14.666666666666668,0.16110092841563972
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,12000,-13516.33500289917,6134.537109375,3.1155824522312274,0.710015869140625,0.42839899821678995,14.666666666666668,0.1649342529251358
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,14000,-13694.601509094238,6084.9541015625,3.1153579200890467,0.7042770950882523,0.42839899821678995,14.666666666666668,0.16149692956099
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,16000,-13836.626194000244,6057.8173828125,3.145729677127294,0.7011362711588541,0.42839899821678995,14.666666666666668,0.1643514741755988
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,18000,-13715.553101539612,6087.00830078125,3.1243739945343307,0.7045148496274595,0.42839899821678995,14.666666666666668,0.16347657563506265
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,20000,-13753.404595375061,6136.224609375,3.143878362753831,0.7102111816406249,0.42839899821678995,14.666666666666668,0.1650533486305023
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,22000,-13906.932189941406,6027.7841796875,3.1517233321884053,0.6976602059823495,0.42839899821678995,14.666666666666668,0.16776395364352192
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,24000,-13954.526313781738,5950.69384765625,3.135065486145196,0.688737713849103,0.42839899821678995,14.666666666666668,0.1674061726870096
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,26000,-13834.344396591187,5932.3994140625,3.140727534698848,0.6866203025535301,0.42839899821678995,14.666666666666668,0.16912525018172325
M0144_N40_kappa1_pi0p990_seed4,correlated,144,40,0.5,1.0,0.99,28000,-13895.786566734314,6005.08447265625,3.1496116767415905,0.6950329250759548,0.42839899821678995,14.666666666666668,0.171380888583951
