n_chains,eps_AB,delta_eps,q_peak,lag_time,F_psi_mean,F_psi_sem
144,1,0,0.2855993321,230,0.9493420558,0.006987629433
144,1,0,0.2855993321,232.5,0.94894692,0.007044895752
144,1,0,0.2855993321,235,0.9485600064,0.007106651928
144,1,0,0.2855993321,237.5,0.9481940554,0.007160707965
144,1,0,0.2855993321,240,0.9478194702,0.007219188992
144,1,0,0.2855993321,242.5,0.9474640345,0.00727077577
144,1,0,0.2855993321,245,0.9471076881,0.007322148554
144,1,0,0.2855993321,247.5,0.9467436453,0.007378650423
144,1,0,0.2855993321,250,0.9463975375,0.007432336049
144,1,0,0.2855993321,252.5,0.9460566912,0.00748572861
144,1,0,0.2855993321,255,0.9457133539,0.007553230141
144,1,0,0.2855993321,257.5,0.9453630282,0.007611025127
144,1,0,0.2855993321,260,0.9449833442,0.007681901131
144,1,0,0.2855993321,262.5,0.9446151054,0.007752612212
144,1,0,0.2855993321,265,0.9442475676,0.007824202255
144,1,0,0.2855993321,267.5,0.9438829398,0.007894387946
144,1,0,0.2855993321,270,0.9435516207,0.007957766587
144,1,0,0.2855993321,272.5,0.9432162565,0.008021851367
144,1,0,0.2855993321,275,0.942903612,0.008082698625
144,1,0,0.2855993321,277.5,0.9425802249,0.008148672886
144,1,0,0.2855993321,280,0.942260443,0.008216444582
144,1,0,0.2855993321,282.5,0.9419490099,0.008282348039
144,1,0,0.2855993321,285,0.9416418032,0.008356689181
144,1,0,0.2855993321,287.5,0.9413387471,0.008426352592
144,1,0,0.2855993321,290,0.9410308142,0.008489472965
144,1,0,0.2855993321,292.5,0.9407288559,0.008546726865
144,1,0,0.2855993321,295,0.9404337921,0.008605992266
144,1,0,0.2855993321,297.5,0.9401344974,0.008673185142
144,1,0,0.2855993321,300,0.9398119834,0.008741198162
144,1,0,0.2855993321,302.5,0.9394867258,0.008827015811
144,1,0,0.2855993321,305,0.939166531,0.008908806754
144,1,0,0.2855993321,307.5,0.9388535561,0.008992536863
144,1,0,0.2855993321,310,0.9385191548,0.009079839484
144,1,0,0.2855993321,312.5,0.9381765315,0.009170787598
144,1,0,0.2855993321,315,0.9378516195,0.00924770547
144,1,0,0.2855993321,317.5,0.9375151092,0.009325291556
144,1,0,0.2855993321,320,0.9371740007,0.00941501994
144,1,0,0.2855993321,322.5,0.936847811,0.009489259902
144,1,0,0.2855993321,325,0.9365251545,0.009568172954
144,1,0,0.2855993321,327.5,0.936216108,0.009635172065
144,1,0,0.2855993321,330,0.9358991052,0.009705529327
144,1,0,0.2855993321,332.5,0.9356028618,0.009778882925
144,1,0,0.2855993321,335,0.935280311,0.009859172484
144,1,0,0.2855993321,337.5,0.9349775175,0.009939242975
144,1,0,0.2855993321,340,0.9346702676,0.009997830965
144,1,0,0.2855993321,342.5,0.934375097,0.0100467025
144,1,0,0.2855993321,345,0.934045369,0.01012051348
144,1,0,0.2855993321,347.5,0.9337451761,0.01019808868
144,1,0,0.2855993321,350,0.9334704206,0.01025602693
144,1,0,0.2855993321,352.5,0.9331722356,0.01031788815
144,1,0,0.2855993321,355,0.9328737804,0.01037944744
144,1,0,0.2855993321,357.5,0.9325689395,0.01043887893
144,1,0,0.2855993321,360,0.9322760669,0.01050463967
144,1,0,0.2855993321,362.5,0.9319894076,0.01057405804
144,1,0,0.2855993321,365,0.931711444,0.01063163871
144,1,0,0.2855993321,367.5,0.9314106341,0.01070164976
144,1,0,0.2855993321,370,0.9311167005,0.01077338688
144,1,0,0.2855993321,372.5,0.9308354129,0.01085139917
144,1,0,0.2855993321,375,0.9305421542,0.01093470693
144,1,0,0.2855993321,377.5,0.9302429733,0.01100842084
144,1,0,0.2855993321,380,0.9299428836,0.01107967678
144,1,0,0.2855993321,382.5,0.9296260812,0.01115079844
144,1,0,0.2855993321,385,0.9293097592,0.01123485421
144,1,0,0.2855993321,387.5,0.9290025716,0.01131554443
144,1,0,0.2855993321,390,0.9286969834,0.01139638512
144,1,0,0.2855993321,392.5,0.9284016503,0.01148721231
144,1,0,0.2855993321,395,0.9280863982,0.01157593157
