n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.8,0.2,0.9472258251,289.7907167,17.99262138
144,0.8,0.2,0.9893451078,181.5086934,7.141833121
144,0.8,0.2,1.029743036,161.4814677,13.17553822
144,0.8,0.2,1.068614851,141.0079556,7.273657235
144,0.8,0.2,1.142397329,141.6045849,31.02480597
144,0.8,0.2,1.177556213,93.24493897,4.501209931
144,0.8,0.2,1.211695347,84.65094723,5.275223898
144,0.8,0.2,1.244898627,61.53699203,3.726217302
144,0.8,0.2,1.277239042,61.99431948,1.408696095
144,0.8,0.2,1.308780558,54.03269802,1.524170827
144,0.8,0.2,1.339579608,45.87676343,2.171277765
144,0.8,0.2,1.399145269,38.83140571,1.931272318
144,0.8,0.2,1.427996661,36.29550312,0.7594357465
144,0.8,0.2,1.456276568,32.39914402,0.3297563333
144,0.8,0.2,1.484017662,29.83565099,0.7014115887
144,0.75,0.25,0.2855993321,,
144,0.75,0.25,0.4038984489,,
144,0.75,0.25,0.4946725539,2337.643375,150.7941732
144,0.75,0.25,0.5711986643,3100.385108,
144,0.75,0.25,0.638619521,2410.513282,280.5720193
144,0.75,0.25,0.6995726346,1471.478352,291.097816
144,0.75,0.25,0.8077968978,592.6502289,113.2009269
144,0.75,0.25,0.8567979964,510.8664435,71.19198755
144,0.75,0.25,0.9031443878,439.7672235,83.60797308
144,0.75,0.25,0.9472258251,279.9078415,10.23877682
144,0.75,0.25,0.9893451078,158.790226,3.710009028
144,0.75,0.25,1.029743036,171.1953591,14.57431845
144,0.75,0.25,1.068614851,139.2895632,4.354298424
144,0.75,0.25,1.142397329,112.5905716,18.3493964
144,0.75,0.25,1.177556213,87.65563032,3.68653783
144,0.75,0.25,1.211695347,76.84212603,2.585558229
144,0.75,0.25,1.244898627,64.21422856,2.017465797
144,0.75,0.25,1.277239042,63.2519516,2.168816907
144,0.75,0.25,1.308780558,51.87260059,1.249427088
144,0.75,0.25,1.339579608,44.73342823,1.598157067
144,0.75,0.25,1.399145269,37.96151448,0.5686963543
144,0.75,0.25,1.427996661,36.2964611,1.639033664
144,0.75,0.25,1.456276568,32.46371734,0.3814123562
144,0.75,0.25,1.484017662,29.54344995,0.8875801155
144,0.7,0.3,0.2855993321,,
144,0.7,0.3,0.4038984489,,
144,0.7,0.3,0.4946725539,2427.27707,232.7848591
144,0.7,0.3,0.5711986643,1679.901262,359.9539523
144,0.7,0.3,0.638619521,1979.108625,541.0301676
144,0.7,0.3,0.6995726346,1507.715516,501.213399
144,0.7,0.3,0.8077968978,481.9087439,28.08345203
144,0.7,0.3,0.8567979964,502.1176884,50.87363953
144,0.7,0.3,0.9031443878,571.0907058,247.0167197
144,0.7,0.3,0.9472258251,271.3331662,28.66762602
144,0.7,0.3,0.9893451078,160.117971,21.2850155
144,0.7,0.3,1.029743036,164.5139262,7.767353649
144,0.7,0.3,1.068614851,133.5444032,10.99630915
144,0.7,0.3,1.142397329,93.62381475,7.05227827
144,0.7,0.3,1.177556213,84.03128235,4.099306954
144,0.7,0.3,1.211695347,78.00380116,3.514908792
144,0.7,0.3,1.244898627,60.35525261,1.994813486
144,0.7,0.3,1.277239042,61.61760126,2.074912128
144,0.7,0.3,1.308780558,51.27079992,2.613229358
144,0.7,0.3,1.339579608,44.09740698,0.7898059575
144,0.7,0.3,1.399145269,37.45939086,0.7545211665
144,0.7,0.3,1.427996661,35.6319873,0.2495829624
144,0.7,0.3,1.456276568,31.71214898,0.6351852152
144,0.7,0.3,1.484017662,29.53301072,0.8295723506
144,0.6,0.4,0.2855993321,,
144,0.6,0.4,0.4038984489,,
144,0.6,0.4,0.4946725539,1882.503617,946.754616
144,0.6,0.4,0.5711986643,825.0829891,21.53178468
144,0.6,0.4,0.638619521,1576.293092,
144,0.6,0.4,0.6995726346,1349.483846,139.7421784
144,0.6,0.4,0.8077968978,720.8043793,70.5695924
144,0.6,0.4,0.8567979964,417.5366676,33.28761147
144,0.6,0.4,0.9031443878,345.7321397,46.06640913
144,0.6,0.4,0.9472258251,269.4655372,26.23382924
144,0.6,0.4,0.9893451078,269.4500133,24.41373953
144,0.6,0.4,1.029743036,176.4974018,6.888977105
144,0.6,0.4,1.068614851,141.5055906,4.72523105
144,0.6,0.4,1.142397329,110.1621804,12.74047509
144,0.6,0.4,1.177556213,90.36291517,2.359690865
144,0.6,0.4,1.211695347,76.02633456,2.115932957
144,0.6,0.4,1.244898627,60.2465955,1.76239363
144,0.6,0.4,1.277239042,56.12883172,1.661670639
144,0.6,0.4,1.308780558,52.32396458,0.8037724995
144,0.6,0.4,1.339579608,47.46852536,1.085634976
144,0.6,0.4,1.399145269,37.88633578,1.224459107
144,0.6,0.4,1.427996661,34.29883941,0.6907600295
144,0.6,0.4,1.456276568,30.1036199,0.5901100996
144,0.6,0.4,1.484017662,29.53958139,0.8115894742
144,0.5,0.5,0.2855993321,,
144,0.5,0.5,0.4038984489,,
144,0.5,0.5,0.4946725539,2720.464849,
144,0.5,0.5,0.5711986643,,
144,0.5,0.5,0.638619521,2292.67405,252.6620589
144,0.5,0.5,0.6995726346,1484.429961,376.5998911
144,0.5,0.5,0.8077968978,651.3641331,42.19424589
144,0.5,0.5,0.8567979964,391.5236342,34.07404421
144,0.5,0.5,0.9031443878,397.714794,46.02983794
144,0.5,0.5,0.9472258251,273.4864375,21.85067996
144,0.5,0.5,0.9893451078,184.6263442,22.79449551
144,0.5,0.5,1.029743036,204.2034387,3.297337855
144,0.5,0.5,1.068614851,145.5657617,5.197316603
144,0.5,0.5,1.142397329,137.363379,27.37642149
144,0.5,0.5,1.177556213,88.84214596,2.461288933
144,0.5,0.5,1.211695347,78.54950733,2.719462522
144,0.5,0.5,1.244898627,66.29310524,1.772237245
144,0.5,0.5,1.277239042,56.64304404,3.142436386
144,0.5,0.5,1.308780558,52.21665068,2.270427415
144,0.5,0.5,1.339579608,43.52155768,0.9938049337
144,0.5,0.5,1.399145269,36.10687186,0.9101648325
144,0.5,0.5,1.427996661,33.92041337,0.6234510921
144,0.5,0.5,1.456276568,30.7271093,0.7113384234
144,0.5,0.5,1.484017662,27.57953196,0.8792518711
144,0.3,0.7,0.2855993321,,
144,0.3,0.7,0.4038984489,,
144,0.3,0.7,0.4946725539,,
144,0.3,0.7,0.5711986643,1778.174657,648.3339485
144,0.3,0.7,0.638619521,3090.148798,
144,0.3,0.7,0.6995726346,1587.219988,201.2582761
144,0.3,0.7,0.8077968978,733.2516447,97.61408209
144,0.3,0.7,0.8567979964,520.7618877,81.34652279
144,0.3,0.7,0.9031443878,394.3030167,27.03559077
144,0.3,0.7,0.9472258251,287.0500437,38.16060595
144,0.3,0.7,0.9893451078,195.5134933,20.72846565
144,0.3,0.7,1.029743036,201.1642488,16.45917496
144,0.3,0.7,1.068614851,154.0674013,1.528323352
144,0.3,0.7,1.142397329,118.6259356,21.28087742
144,0.3,0.7,1.177556213,97.04074763,6.242042284
144,0.3,0.7,1.211695347,81.30888915,1.798127155
144,0.3,0.7,1.244898627,73.01807147,1.77538941
144,0.3,0.7,1.277239042,55.49429766,2.517146603
144,0.3,0.7,1.308780558,51.93336851,1.643375484
144,0.3,0.7,1.339579608,44.52530509,1.249293864
144,0.3,0.7,1.399145269,34.83247792,0.8298191051
144,0.3,0.7,1.427996661,32.12150216,1.640441355
144,0.3,0.7,1.456276568,28.86004684,0.6104612838
144,0.3,0.7,1.484017662,26.60461588,0.5145582622
144,0.1,0.9,0.2855993321,,
144,0.1,0.9,0.4038984489,,
144,0.1,0.9,0.4946725539,,
144,0.1,0.9,0.5711986643,2685.682389,99.55258167
144,0.1,0.9,0.638619521,2545.317698,97.92260397
144,0.1,0.9,0.6995726346,1971.034659,265.6368298
144,0.1,0.9,0.8077968978,656.89884,29.33714371
144,0.1,0.9,0.8567979964,605.5324933,58.41422667
144,0.1,0.9,0.9031443878,371.0138692,30.54280841
144,0.1,0.9,0.9472258251,328.6006807,37.93292635
144,0.1,0.9,0.9893451078,253.1162441,38.75735277
144,0.1,0.9,1.029743036,182.1998466,13.36357721
144,0.1,0.9,1.068614851,159.173628,10.59443827
144,0.1,0.9,1.142397329,117.3067931,13.15316906
144,0.1,0.9,1.177556213,95.50303709,4.55115545
144,0.1,0.9,1.211695347,73.81312607,2.294758732
144,0.1,0.9,1.244898627,65.37102374,3.790912221
144,0.1,0.9,1.277239042,55.73512859,2.991707586
144,0.1,0.9,1.308780558,48.76332079,1.133895052
144,0.1,0.9,1.339579608,45.82413081,1.824666226
144,0.1,0.9,1.399145269,34.51864969,1.590813173
144,0.1,0.9,1.427996661,28.16705704,0.7013507943
144,0.1,0.9,1.456276568,27.32801297,0.6197181162
144,0.1,0.9,1.484017662,24.63067674,0.6875958215
