n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,1132.679147,
144,1,0,0.4038984489,996.3705307,123.0289312
144,1,0,0.4946725539,533.5348419,6.515103533
144,1,0,0.5711986643,428.0985527,105.3479128
144,1,0,0.638619521,268.0525795,41.17894004
144,1,0,0.6995726346,211.368144,15.11741302
144,1,0,0.8077968978,144.1019738,25.55503775
144,1,0,0.8567979964,88.55349046,11.78031121
144,1,0,0.9031443878,73.09098865,2.896249715
144,1,0,0.9472258251,63.94803199,1.962761034
144,1,0,0.9893451078,50.07093994,5.160885971
144,1,0,1.029743036,44.86124122,4.004010837
144,1,0,1.068614851,36.78424586,1.271356211
144,1,0,1.142397329,27.37286318,2.178643594
144,1,0,1.177556213,24.24057909,0.5562650969
144,1,0,1.211695347,22.00882112,0.4638225466
144,1,0,1.244898627,20.13819375,1.005270522
144,1,0,1.277239042,19.02088963,0.8152617058
144,1,0,1.308780558,16.7386702,0.3951833892
144,1,0,1.339579608,15.33396574,0.6150828435
144,1,0,1.399145269,13.04217953,0.2046135686
144,1,0,1.427996661,11.95841609,0.1303796448
144,1,0,1.456276568,10.98612117,0.1372551937
144,1,0,1.484017662,10.41399392,0.387123493
144,0.975,0.025,0.2855993321,,
144,0.975,0.025,0.4038984489,868.1780002,118.9476377
144,0.975,0.025,0.4946725539,666.5307197,69.68867156
144,0.975,0.025,0.5711986643,317.3772723,59.63985176
144,0.975,0.025,0.638619521,231.261197,10.27983877
144,0.975,0.025,0.6995726346,241.6366256,33.23587237
144,0.975,0.025,0.8077968978,142.7972225,18.18702454
144,0.975,0.025,0.8567979964,100.4994146,10.31394782
144,0.975,0.025,0.9031443878,65.99966528,1.438817661
144,0.975,0.025,0.9472258251,53.61204668,4.088719941
144,0.975,0.025,0.9893451078,59.47855741,7.546927984
144,0.975,0.025,1.029743036,40.35968629,1.812570777
144,0.975,0.025,1.068614851,34.86733925,1.028305595
144,0.975,0.025,1.142397329,23.42535536,1.084034012
144,0.975,0.025,1.177556213,25.90417667,0.2809156028
144,0.975,0.025,1.211695347,23.56492788,1.221344879
144,0.975,0.025,1.244898627,20.52672839,0.9290273438
144,0.975,0.025,1.277239042,18.31303425,0.4946297567
144,0.975,0.025,1.308780558,16.67121786,0.2969825766
144,0.975,0.025,1.339579608,15.07455805,0.7235685598
144,0.975,0.025,1.399145269,12.69737374,0.3037219119
144,0.975,0.025,1.427996661,11.76065521,0.2683208603
144,0.975,0.025,1.456276568,11.10957336,0.208983398
144,0.975,0.025,1.484017662,10.49396533,0.435643735
144,0.95,0.05,0.2855993321,898.0763871,142.2741584
144,0.95,0.05,0.4038984489,796.9907489,
144,0.95,0.05,0.4946725539,616.7955717,48.67743758
144,0.95,0.05,0.5711986643,293.7495255,57.76025414
144,0.95,0.05,0.638619521,288.3631947,33.7884978
144,0.95,0.05,0.6995726346,184.1691499,14.81981632
144,0.95,0.05,0.8077968978,100.9935676,7.13626383
144,0.95,0.05,0.8567979964,87.98432464,7.636762664
144,0.95,0.05,0.9031443878,63.43749225,3.900578545
144,0.95,0.05,0.9472258251,52.30093613,2.776446007
144,0.95,0.05,0.9893451078,51.12890845,7.835323302
144,0.95,0.05,1.029743036,45.16157326,1.227637259
144,0.95,0.05,1.068614851,36.99683536,0.9565959295
144,0.95,0.05,1.142397329,26.71745548,1.927384888
144,0.95,0.05,1.177556213,25.67173137,1.139252683
144,0.95,0.05,1.211695347,22.20663958,0.6449516221
144,0.95,0.05,1.244898627,20.15457115,0.4792383025
