run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,2000,-6404.699974060059,6109.3017578125,3.418287355600904,0.7070951108579282,0.42839899821678995,14.666666666666668,0.0024652985588064706
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,4000,-7149.2766036987305,6112.5859375,3.4263179844533154,0.7074752242476852,0.42839899821678995,14.666666666666668,0.005342848234246786
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,6000,-7396.771373748779,6044.77587890625,3.4231619095488868,0.6996268378363715,0.42839899821678995,14.666666666666668,0.007761431505294881
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,8000,-7991.767955780029,6108.318359375,3.412928151884025,0.7069812915943288,0.42839899821678995,14.666666666666668,0.013043099399512497
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,10000,-7991.758430480957,6102.47607421875,3.407499470812011,0.7063051011827257,0.42839899821678995,14.666666666666668,0.015833953523029028
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,12000,-8288.161922454834,6013.6171875,3.390461942707737,0.6960205078125,0.42839899821678995,14.666666666666668,0.018884028959101705
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,14000,-8415.106502532959,6038.43017578125,3.402097411746814,0.6988923814561633,0.42839899821678995,14.666666666666668,0.022728848847770714
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,16000,-8320.780529022217,6021.19921875,3.409549340418258,0.6968980577256945,0.42839899821678995,14.666666666666668,0.02415332748949637
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,18000,-8635.785306930542,6070.3837890625,3.417265660707984,0.7025907163266782,0.42839899821678995,14.666666666666668,0.024929478206382413
M0144_N40_kappa0_pi0p990_seed2,correlated,144,40,0.5,0.0,0.99,20000,-8627.76821899414,6068.7783203125,3.4153060781760587,0.7024048981843172,0.42839899821678995,14.666666666666668,0.02750631843249568
