n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.875,0.125,0.9472258251,,
144,0.875,0.125,0.9893451078,,
144,0.875,0.125,1.029743036,,
144,0.875,0.125,1.068614851,,
144,0.875,0.125,1.142397329,162.0031542,42.62542052
144,0.875,0.125,1.177556213,284.3317295,21.58971689
144,0.875,0.125,1.211695347,270.1243238,3.691349763
144,0.875,0.125,1.244898627,,
144,0.875,0.125,1.277239042,253.1769874,23.87534194
144,0.875,0.125,1.308780558,234.9525808,38.91519774
144,0.875,0.125,1.339579608,197.0815716,21.24858815
144,0.875,0.125,1.399145269,183.872569,26.61910169
144,0.875,0.125,1.427996661,186.2129676,28.00346582
144,0.875,0.125,1.456276568,167.0983161,8.569729117
144,0.875,0.125,1.484017662,175.3498453,4.88403782
144,0.85,0.15,0.2855993321,,
144,0.85,0.15,0.4038984489,,
144,0.85,0.15,0.4946725539,,
144,0.85,0.15,0.5711986643,,
144,0.85,0.15,0.638619521,,
144,0.85,0.15,0.6995726346,,
144,0.85,0.15,0.8077968978,,
144,0.85,0.15,0.8567979964,,
144,0.85,0.15,0.9031443878,,
144,0.85,0.15,0.9472258251,,
144,0.85,0.15,0.9893451078,177.08515,
144,0.85,0.15,1.029743036,,
144,0.85,0.15,1.068614851,,
144,0.85,0.15,1.142397329,293.6526856,
144,0.85,0.15,1.177556213,262.4652946,30.78179433
144,0.85,0.15,1.211695347,,
144,0.85,0.15,1.244898627,217.4931235,
144,0.85,0.15,1.277239042,217.8744511,
144,0.85,0.15,1.308780558,254.1144687,13.4500351
144,0.85,0.15,1.339579608,215.642703,28.82008513
144,0.85,0.15,1.399145269,136.9593194,18.33866814
144,0.85,0.15,1.427996661,171.6412247,14.15726754
144,0.85,0.15,1.456276568,170.3764655,15.75364074
144,0.85,0.15,1.484017662,126.9066924,6.964849561
144,0.825,0.175,0.2855993321,,
144,0.825,0.175,0.4038984489,,
144,0.825,0.175,0.4946725539,,
144,0.825,0.175,0.5711986643,,
144,0.825,0.175,0.638619521,,
144,0.825,0.175,0.6995726346,,
144,0.825,0.175,0.8077968978,,
144,0.825,0.175,0.8567979964,,
144,0.825,0.175,0.9031443878,,
144,0.825,0.175,0.9472258251,,
144,0.825,0.175,0.9893451078,271.1549897,
144,0.825,0.175,1.029743036,,
144,0.825,0.175,1.068614851,,
144,0.825,0.175,1.142397329,144.6054014,
144,0.825,0.175,1.177556213,,
144,0.825,0.175,1.211695347,,
144,0.825,0.175,1.244898627,266.3011291,24.15910421
144,0.825,0.175,1.277239042,272.9199103,22.46179352
144,0.825,0.175,1.308780558,215.8413072,16.19818803
144,0.825,0.175,1.339579608,217.1969774,36.57864677
144,0.825,0.175,1.399145269,226.3412198,27.78584279
144,0.825,0.175,1.427996661,141.8534768,30.17989088
144,0.825,0.175,1.456276568,163.5942529,19.00011836
144,0.825,0.175,1.484017662,146.8427703,23.53721789
144,0.8,0.2,0.2855993321,,
144,0.8,0.2,0.4038984489,,
144,0.8,0.2,0.4946725539,,
144,0.8,0.2,0.5711986643,,
144,0.8,0.2,0.638619521,,
144,0.8,0.2,0.6995726346,,
144,0.8,0.2,0.8077968978,,
144,0.8,0.2,0.8567979964,,
144,0.8,0.2,0.9031443878,,
144,0.8,0.2,0.9472258251,,
144,0.8,0.2,0.9893451078,273.2918142,
144,0.8,0.2,1.029743036,,
144,0.8,0.2,1.068614851,,
144,0.8,0.2,1.142397329,64.75830629,
144,0.8,0.2,1.177556213,,
144,0.8,0.2,1.211695347,,
144,0.8,0.2,1.244898627,266.9883896,9.298496572
144,0.8,0.2,1.277239042,256.660563,0.7223661803
144,0.8,0.2,1.308780558,214.3591395,20.84817874
144,0.8,0.2,1.339579608,211.8555058,49.84063449
144,0.8,0.2,1.399145269,150.6996936,30.31603224
144,0.8,0.2,1.427996661,158.7623805,26.60256247
144,0.8,0.2,1.456276568,153.4222166,8.87678078
144,0.8,0.2,1.484017662,139.2706712,33.34075235
144,0.775,0.225,0.2855993321,,
144,0.775,0.225,0.4038984489,,
144,0.775,0.225,0.4946725539,,
144,0.775,0.225,0.5711986643,,
144,0.775,0.225,0.638619521,,
144,0.775,0.225,0.6995726346,,
144,0.775,0.225,0.8077968978,,
144,0.775,0.225,0.8567979964,,
144,0.775,0.225,0.9031443878,,
144,0.775,0.225,0.9472258251,,
144,0.775,0.225,0.9893451078,,
144,0.775,0.225,1.029743036,,
144,0.775,0.225,1.068614851,303.1267086,
144,0.775,0.225,1.142397329,293.3732051,
144,0.775,0.225,1.177556213,,
144,0.775,0.225,1.211695347,192.4246048,
144,0.775,0.225,1.244898627,242.8803501,29.18992809
144,0.775,0.225,1.277239042,243.3820418,17.27691111
144,0.775,0.225,1.308780558,277.7060568,24.21452997
144,0.775,0.225,1.339579608,198.0155669,54.2819177
144,0.775,0.225,1.399145269,202.8527255,23.04953429
144,0.775,0.225,1.427996661,242.7841012,24.8861162
144,0.775,0.225,1.456276568,162.7687121,20.37090806
144,0.775,0.225,1.484017662,126.3653639,1.562866778
144,0.75,0.25,0.2855993321,,
144,0.75,0.25,0.4038984489,,
144,0.75,0.25,0.4946725539,,
144,0.75,0.25,0.5711986643,,
144,0.75,0.25,0.638619521,,
144,0.75,0.25,0.6995726346,,
144,0.75,0.25,0.8077968978,,
144,0.75,0.25,0.8567979964,,
144,0.75,0.25,0.9031443878,,
144,0.75,0.25,0.9472258251,,
144,0.75,0.25,0.9893451078,,
144,0.75,0.25,1.029743036,,
144,0.75,0.25,1.068614851,,
144,0.75,0.25,1.142397329,223.9118842,26.54321979
144,0.75,0.25,1.177556213,277.6662254,0.4594855181
144,0.75,0.25,1.211695347,,
144,0.75,0.25,1.244898627,,
144,0.75,0.25,1.277239042,217.1909104,80.38447454
