n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,0.95,0.05,0.2855993321,,
144,0.95,0.05,0.4038984489,,
144,0.95,0.05,0.4946725539,,
144,0.95,0.05,0.5711986643,,
144,0.95,0.05,0.638619521,,
144,0.95,0.05,0.6995726346,,
144,0.95,0.05,0.8077968978,1017.665986,73.15711969
144,0.95,0.05,0.8567979964,1178.931966,
144,0.95,0.05,0.9031443878,1095.785194,48.41447444
144,0.95,0.05,0.9472258251,968.8683282,96.56651981
144,0.95,0.05,0.9893451078,811.4065028,98.25379671
144,0.95,0.05,1.029743036,784.7805022,74.69994801
144,0.95,0.05,1.068614851,605.7556243,38.2029691
144,0.95,0.05,1.142397329,538.0973175,126.1173244
144,0.95,0.05,1.177556213,381.2413829,29.01813296
144,0.95,0.05,1.211695347,343.7534108,29.0077158
144,0.95,0.05,1.244898627,337.263852,31.93044404
144,0.95,0.05,1.277239042,315.1418384,44.02068188
144,0.95,0.05,1.308780558,263.6860132,18.24960815
144,0.95,0.05,1.339579608,210.2647199,16.05600208
144,0.95,0.05,1.399145269,197.5776424,16.48412096
144,0.95,0.05,1.427996661,182.6956398,6.629218633
144,0.95,0.05,1.456276568,154.5713687,8.029807446
144,0.95,0.05,1.484017662,145.6683602,11.13974311
144,0.9375,0.0625,0.2855993321,,
144,0.9375,0.0625,0.4038984489,,
144,0.9375,0.0625,0.4946725539,,
144,0.9375,0.0625,0.5711986643,,
144,0.9375,0.0625,0.638619521,,
144,0.9375,0.0625,0.6995726346,1147.131854,
144,0.9375,0.0625,0.8077968978,,
144,0.9375,0.0625,0.8567979964,962.4828206,234.1050925
144,0.9375,0.0625,0.9031443878,1124.226172,42.6488672
144,0.9375,0.0625,0.9472258251,852.9924571,85.89782826
144,0.9375,0.0625,0.9893451078,561.5602675,147.0395608
144,0.9375,0.0625,1.029743036,803.808487,99.07504708
144,0.9375,0.0625,1.068614851,683.4174179,75.96532128
144,0.9375,0.0625,1.142397329,468.4250211,87.38891572
144,0.9375,0.0625,1.177556213,395.7208025,22.90675465
144,0.9375,0.0625,1.211695347,395.6491594,55.1886505
144,0.9375,0.0625,1.244898627,322.3574092,20.61722736
144,0.9375,0.0625,1.277239042,370.3922337,43.7208398
144,0.9375,0.0625,1.308780558,289.0332226,30.40690415
144,0.9375,0.0625,1.339579608,246.1156102,18.90155611
144,0.9375,0.0625,1.399145269,209.658527,22.61427344
144,0.9375,0.0625,1.427996661,179.9570009,17.02421549
144,0.9375,0.0625,1.456276568,139.5880817,4.248491866
144,0.9375,0.0625,1.484017662,132.8770278,6.416618235
144,0.925,0.075,0.2855993321,,
144,0.925,0.075,0.4038984489,,
144,0.925,0.075,0.4946725539,,
144,0.925,0.075,0.5711986643,1132.411279,
144,0.925,0.075,0.638619521,,
144,0.925,0.075,0.6995726346,,
144,0.925,0.075,0.8077968978,765.4351633,
144,0.925,0.075,0.8567979964,,
144,0.925,0.075,0.9031443878,1023.648338,
144,0.925,0.075,0.9472258251,919.6826763,75.19537517
144,0.925,0.075,0.9893451078,587.6109832,85.24140075
144,0.925,0.075,1.029743036,719.8622352,92.5099874
144,0.925,0.075,1.068614851,676.8551628,78.62723646
144,0.925,0.075,1.142397329,433.4481606,69.44867625
144,0.925,0.075,1.177556213,396.7974669,39.83515073
144,0.925,0.075,1.211695347,355.7794835,34.53840775
144,0.925,0.075,1.244898627,347.5264906,48.45126117
144,0.925,0.075,1.277239042,298.1460785,22.48970056
144,0.925,0.075,1.308780558,245.101096,13.18085583
144,0.925,0.075,1.339579608,237.52784,28.68289335
144,0.925,0.075,1.399145269,188.9691409,10.41600297
