ensemble,epsilon,N,kappa,pi,disorder_idx,tw,lag,Q_mean,chi4,D4_mean,D4_std,n_traj,n_pairs
correlated,6.0,30,0.7,0.97,0,0,1,0.003284072249589491,0.0030103995621237004,6.511205073382862,2.713379884066935,6,406
correlated,6.0,30,0.7,0.97,0,0,2,0.0016420361247947454,0.0005473453749315822,14.5010207391675,3.465505055968231,6,406
correlated,6.0,30,0.7,0.97,0,0,3,0.002052545155993432,0.0003420908593322384,24.002491997844626,9.371715544639452,6,406
correlated,6.0,30,0.7,0.97,0,0,5,0.003284072249589491,0.0030103995621237004,42.3154341388081,15.26076906273855,6,406
correlated,6.0,30,0.7,0.97,0,0,7,0.0016420361247947454,0.0005473453749315822,66.12115848531307,10.775439105197346,6,406
correlated,6.0,30,0.7,0.97,0,0,11,0.0024630541871921183,0.0008210180623973724,111.79182795976355,21.050252984897504,6,406
correlated,6.0,30,0.7,0.97,0,0,16,0.0016420361247947454,0.0013683634373289546,199.07767586042533,38.39870025283969,6,406
correlated,6.0,30,0.7,0.97,0,0,25,0.0016420361247947454,0.0005473453749315822,398.3379076540318,78.34155287697034,6,406
correlated,6.0,30,0.7,0.97,0,0,37,0.0008210180623973727,0.0005473453749315821,602.9954596116957,83.05632456062402,6,406
correlated,6.0,30,0.7,0.97,0,0,55,0.0016420361247947454,0.0005473453749315822,976.3667655248028,99.27871173075232,6,406
correlated,6.0,30,0.7,0.97,0,0,82,0.0016420361247947454,0.0005473453749315822,1475.5192791199054,310.91445982706836,6,406
correlated,6.0,30,0.7,0.97,0,0,122,0.0012315270935960591,0.0006157635467980298,1955.05970043277,423.3097746666892,6,406
correlated,6.0,30,0.7,0.97,0,0,182,0.00041050903119868636,0.0003420908593322387,2461.905332561399,520.4539893031223,6,406
correlated,6.0,30,0.7,0.97,0,0,272,0.00041050903119868636,0.0003420908593322387,2908.0265329620856,758.7801116846749,6,406
correlated,6.0,30,0.7,0.97,0,0,406,0.0,0.0,3454.4943606871147,755.7236056860683,6,406
correlated,6.0,30,0.7,0.97,0,0,606,0.00041050903119868636,0.0003420908593322387,3570.283157203792,739.8271899442251,6,406
correlated,6.0,30,0.7,0.97,0,0,905,0.0012315270935960591,0.0006157635467980298,3806.036161354719,923.9912277424543,6,406
correlated,6.0,30,0.7,0.97,0,0,1350,0.0,0.0,4364.891121177459,1874.754620197125,6,406
correlated,6.0,30,0.7,0.97,0,0,2015,0.0008210180623973727,0.0005473453749315821,4884.9729908496265,2267.0568761378545,6,406
correlated,6.0,30,0.7,0.97,0,0,3008,0.00041050903119868636,0.0003420908593322387,5038.102350697179,2451.2577212848723,6,406
correlated,6.0,30,0.7,0.97,0,0,4489,0.0008210180623973727,0.0005473453749315821,5524.209157075911,3421.1645563397387,6,406
correlated,6.0,30,0.7,0.97,0,0,6700,0.0008210180623973727,0.0013683634373289548,5830.4549861250525,3886.747189425638,6,406
correlated,6.0,30,0.7,0.97,0,0,10000,0.0008210180623973727,0.0005473453749315821,6351.730927581342,5334.5078325076765,6,406
correlated,6.0,30,0.7,0.97,0,100,1,0.012315270935960592,0.010673234811165838,3.0928287416979607,2.4827835044930406,6,406
correlated,6.0,30,0.7,0.97,0,100,2,0.010673234811165846,0.012041598248494788,6.469384922136314,5.18355810579129,6,406
correlated,6.0,30,0.7,0.97,0,100,3,0.009852216748768471,0.009852216748768482,8.91266362717462,5.006756492473079,6,406
correlated,6.0,30,0.7,0.97,0,100,5,0.008620689655172414,0.012110016420361252,16.0995415784552,10.311981731631386,6,406
correlated,6.0,30,0.7,0.97,0,100,7,0.009441707717569785,0.010194307608100712,20.30898459592547,9.851514343754321,6,406
correlated,6.0,30,0.7,0.97,0,100,11,0.009031198686371101,0.007115489874110552,32.23048568300797,15.403304726235396,6,406
correlated,6.0,30,0.7,0.97,0,100,16,0.008620689655172414,0.00636288998357964,48.49903585097557,29.545929685275123,6,406
correlated,6.0,30,0.7,0.97,0,100,25,0.0049261083743842365,0.004105090311986864,68.07118886770186,40.900989270745534,6,406
