n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,1013.045266,26.40769625
144,1,0,0.4038984489,1204.875086,33.72368839
144,1,0,0.4946725539,609.1455067,150.9187911
144,1,0,0.5711986643,355.2736886,74.45897233
144,1,0,0.638619521,372.3289627,41.94506927
144,1,0,0.6995726346,285.010542,22.34677224
144,1,0,0.8077968978,189.5247511,21.00441299
144,1,0,0.8567979964,132.3936928,4.202105501
144,1,0,0.9031443878,120.0299064,5.807979863
144,1,0,0.9472258251,90.06570875,5.754165657
144,1,0,0.9893451078,96.06740386,16.34534659
144,1,0,1.029743036,85.73013871,8.078798939
144,1,0,1.068614851,58.32063449,1.133680254
144,1,0,1.142397329,41.27627347,3.355497985
144,1,0,1.177556213,47.89851889,2.179496487
144,1,0,1.211695347,37.15140508,1.04137355
144,1,0,1.244898627,36.89889181,1.059967978
144,1,0,1.277239042,30.64438653,1.035763219
144,1,0,1.308780558,28.66205804,0.6114461749
144,1,0,1.339579608,27.451923,0.6714116183
144,1,0,1.399145269,21.66338806,1.066599024
144,1,0,1.427996661,19.46155337,0.733600092
144,1,0,1.456276568,19.31840659,0.1401713582
144,1,0,1.484017662,17.57392586,0.3980531466
144,0.975,0.025,0.2855993321,,
144,0.975,0.025,0.4038984489,853.8272866,
144,0.975,0.025,0.4946725539,577.6628066,134.005591
144,0.975,0.025,0.5711986643,508.2867228,174.0090131
144,0.975,0.025,0.638619521,442.1961793,58.4005468
144,0.975,0.025,0.6995726346,353.3465403,38.43582189
144,0.975,0.025,0.8077968978,194.7837364,13.58002353
144,0.975,0.025,0.8567979964,155.427504,14.04062758
144,0.975,0.025,0.9031443878,132.2446178,1.740516878
144,0.975,0.025,0.9472258251,90.19865289,1.507355066
144,0.975,0.025,0.9893451078,73.79020335,9.242080681
144,0.975,0.025,1.029743036,67.79638221,1.809505612
144,0.975,0.025,1.068614851,62.64258341,3.976214743
144,0.975,0.025,1.142397329,56.34750259,5.437927377
144,0.975,0.025,1.177556213,44.55065726,0.5549016883
144,0.975,0.025,1.211695347,39.25191077,1.24570953
144,0.975,0.025,1.244898627,35.17239261,1.886666436
144,0.975,0.025,1.277239042,29.60305122,1.200337568
144,0.975,0.025,1.308780558,27.22869206,0.8828778012
144,0.975,0.025,1.339579608,24.69418271,0.6325855781
144,0.975,0.025,1.399145269,21.66009805,0.735977464
144,0.975,0.025,1.427996661,20.91951588,0.20756735
144,0.975,0.025,1.456276568,17.61859641,0.2762347193
144,0.975,0.025,1.484017662,17.05562945,0.4849490186
144,0.95,0.05,0.2855993321,,
144,0.95,0.05,0.4038984489,,
144,0.95,0.05,0.4946725539,705.111229,150.7616724
144,0.95,0.05,0.5711986643,515.5570502,148.559525
144,0.95,0.05,0.638619521,551.8411232,30.99541159
144,0.95,0.05,0.6995726346,364.3735006,24.20836085
144,0.95,0.05,0.8077968978,253.5512698,20.39100144
144,0.95,0.05,0.8567979964,146.1983671,10.11895454
144,0.95,0.05,0.9031443878,145.1884816,7.854793363
144,0.95,0.05,0.9472258251,103.4521645,9.754033713
144,0.95,0.05,0.9893451078,76.27801468,1.905126136
144,0.95,0.05,1.029743036,73.39230442,5.925257332
144,0.95,0.05,1.068614851,62.20953207,1.65630279
144,0.95,0.05,1.142397329,41.47134437,2.608001384
144,0.95,0.05,1.177556213,39.06398757,1.194564718
144,0.95,0.05,1.211695347,32.26944048,0.7997761652
144,0.95,0.05,1.244898627,34.09801871,0.6096839358
144,0.95,0.05,1.277239042,27.22599364,1.53912447
144,0.95,0.05,1.308780558,24.97717692,0.9266367688
144,0.95,0.05,1.339579608,23.32502767,0.9359097818
144,0.95,0.05,1.399145269,19.36975192,0.8419762805
144,0.95,0.05,1.427996661,17.33293725,0.5341760222
144,0.95,0.05,1.456276568,16.82157852,0.3689126982
144,0.95,0.05,1.484017662,15.41227753,0.3403730686
144,0.9,0.1,0.2855993321,,
144,0.9,0.1,0.4038984489,,
144,0.9,0.1,0.4946725539,1017.344187,184.5399483
144,0.9,0.1,0.5711986643,538.3588282,104.7455597
144,0.9,0.1,0.638619521,577.5551297,47.994261
144,0.9,0.1,0.6995726346,467.0689805,40.53024539
144,0.9,0.1,0.8077968978,242.858647,38.38658687
144,0.9,0.1,0.8567979964,138.4258642,4.631082553
144,0.9,0.1,0.9031443878,105.1349298,7.629942035
144,0.9,0.1,0.9472258251,98.84362814,3.745355473
144,0.9,0.1,0.9893451078,65.5982138,8.326000011
144,0.9,0.1,1.029743036,66.49388606,8.242798737
144,0.9,0.1,1.068614851,58.4917687,1.544103115
144,0.9,0.1,1.142397329,50.60386702,5.691702216
144,0.9,0.1,1.177556213,34.6864933,0.2629838253
144,0.9,0.1,1.211695347,31.02226795,0.939101686
144,0.9,0.1,1.244898627,24.21330168,0.4481946793
144,0.9,0.1,1.277239042,24.54780849,0.8815037132
144,0.9,0.1,1.308780558,22.11683079,0.7338717071
144,0.9,0.1,1.339579608,20.63842223,0.6964826921
144,0.9,0.1,1.399145269,16.74913412,0.2883979227
144,0.9,0.1,1.427996661,14.83022151,0.5971004782
144,0.9,0.1,1.456276568,13.69876335,0.4155871504
144,0.9,0.1,1.484017662,12.80187907,0.7065109014
144,0.85,0.15,0.2855993321,,
144,0.85,0.15,0.4038984489,,
144,0.85,0.15,0.4946725539,1051.494958,4.990405773
144,0.85,0.15,0.5711986643,672.3432663,262.6121188
144,0.85,0.15,0.638619521,569.5818391,140.4820997
