T_star,eps_AB,delta_eps,delta_eps_over_T,S_psi_peak_mean,S_psi_peak_sem,q_peak_mean,tau_psi_peak_mean,tau_psi_kmin_mean,plateau_psi_peak_mean,non_gaussian_ratio_peak_mean,shell_anisotropy_peak_mean,S_psi_peak_relative_drift_mean,mean_Rg_mean
0.7,1.0,0.0,0.0,9.874895367,1.815863305,0.3151741113,nan,nan,0.8588687699,1.248020222,1.9326059,0.2280559334,3.10211985
0.7,0.95,0.05,0.07142857142857144,14.33391811,1.856994743,0.4265919752,nan,nan,0.8217397707,1.381778684,2.825732739,0.1128407226,3.047057522
0.7,0.9,0.1,0.14285714285714288,44.63393851,4.173455787,0.397017196,nan,nan,0.9135850899,1.231727326,2.04355152,0.2820556345,3.049010516
0.7,0.85,0.15,0.2142857142857143,57.25584788,8.23332889,0.3743236697,nan,nan,0.9030202711,1.186834469,1.67128532,0.2062071128,3.021840657
0.7,0.8,0.2,0.28571428571428575,60.8549291,4.296587589,0.3743236697,nan,nan,0.9242496586,1.209988,3.07707692,0.1891427585,3.029684913
0.7,0.75,0.25,0.35714285714285715,50.88736622,2.816275762,0.4197107222,nan,nan,0.889014653,1.21608218,1.926136082,0.1403672711,3.008973013
0.7,0.7,0.3,0.4285714285714286,76.80101606,10.34926506,0.4424042484,nan,nan,0.8870812535,1.173460634,2.359462808,0.1491478138,3.049459775
0.7,0.6,0.4,0.5714285714285715,71.37296597,6.172273029,0.4265919752,nan,nan,0.9186923111,1.192471169,2.117239247,0.1021096615,3.083939558
0.7,0.5,0.5,0.7142857142857143,75.16975041,5.920063866,0.3674424168,nan,nan,0.9402800556,1.079284174,2.002786219,0.2368489852,3.046655707
0.7,0.3,0.7,1.0,58.32444961,3.04326717,0.4946725539,nan,nan,0.9035093311,1.195619,2.363439291,0.02680098474,3.092889014
0.7,0.1,0.9,1.2857142857142858,68.83633512,12.93771739,0.5462288246,nan,nan,0.8803187965,1.138303145,1.91864819,0.0003847986438,3.031719402
1.0,1.0,0.0,0.0,8.016219433,1.063662835,0.2855993321,nan,nan,0.7359393311,1.357625323,1.253836419,-0.06683057265,3.105770747
1.0,0.95,0.05,0.05,15.39620837,0.6039361383,0.461535776,2725.289971,nan,0.6387035529,1.551465873,1.724022423,0.1234037669,3.09498458
1.0,0.9,0.1,0.1,61.56135249,9.860756934,0.2855993321,nan,nan,0.9173448409,1.154036363,1.981029957,0.2428549846,3.072378757
1.0,0.85,0.15,0.15,75.45169582,9.322242712,0.3151741113,nan,nan,0.9051247739,1.252271085,1.62493086,0.117788108,3.077611559
1.0,0.8,0.2,0.2,115.5156963,12.15235393,0.2855993321,nan,nan,0.9546314094,1.078236963,1.803578456,0.1924291151,3.086083409
1.0,0.75,0.25,0.25,109.8540705,17.6918684,0.3151741113,nan,nan,0.9228840854,1.116806375,2.063567461,0.2236379731,3.097615108
1.0,0.7,0.3,0.3,149.5599525,18.11564885,0.2855993321,nan,nan,0.9522633241,1.13376117,2.273947604,0.1408316459,3.105115834
1.0,0.6,0.4,0.4,146.7389818,23.14349081,0.2855993321,nan,nan,0.9483120315,1.154782971,2.103570652,0.3116460308,3.120246819
1.0,0.5,0.5,0.5,133.1413741,14.06553222,0.2855993321,nan,nan,0.9396338575,1.191038686,1.934462926,0.275642215,3.130181605
1.0,0.3,0.7,0.7,110.7246925,13.83676959,0.3151741113,nan,nan,0.9271822208,1.208938672,1.934057545,0.1436731222,3.161108377
1.0,0.1,0.9,0.9,87.8926579,2.638390193,0.4265919752,nan,nan,0.8817821969,1.22750913,2.379743479,0.01551026263,3.122129131
1.5,1.0,0.0,0.0,9.244582787,2.06468784,0.3447488905,1243.310864,1707.576418,0.4645275264,1.633139642,1.703831064,0.0163664946,3.215412676
1.5,0.95,0.05,0.03333333333333333,14.14743158,2.733172789,0.3447488905,1940.578499,1912.793608,0.422059118,1.60436853,1.618403307,-0.1352860878,3.203833574
1.5,0.9,0.1,0.06666666666666667,20.13480634,2.961728996,0.3151741113,nan,nan,0.6917736906,1.412283215,1.653620346,0.29547625,3.192706694
1.5,0.85,0.15,0.09999999999999999,53.60388858,8.2104429,0.2855993321,nan,nan,0.8342278261,1.319456566,1.901132447,0.1324118811,3.197217938
1.5,0.8,0.2,0.13333333333333333,88.09949043,11.92090581,0.2855993321,nan,nan,0.852115972,1.219754984,1.647203428,-0.008009944307,3.214156928
1.5,0.75,0.25,0.16666666666666666,104.5182942,5.589058196,0.2855993321,nan,nan,0.931733797,1.259260031,1.8819924,-0.01061820349,3.227569844
1.5,0.7,0.3,0.19999999999999998,137.5320818,1.156946769,0.2855993321,nan,nan,0.9041431156,1.225006374,1.874194393,0.01013588599,3.241645682
1.5,0.6,0.4,0.26666666666666666,147.1251577,3.432359997,0.2855993321,nan,nan,0.892905431,1.257024245,2.269135555,0.01284167302,3.251431661
1.5,0.5,0.5,0.3333333333333333,148.570358,4.900880475,0.2855993321,nan,nan,0.8884720862,1.223389669,1.716412109,0.01903328687,3.286775197
1.5,0.3,0.7,0.4666666666666666,172.5914361,5.506455483,0.2855993321,nan,nan,0.903964985,1.220215526,2.313966468,0.05174540673,3.298624801
1.5,0.1,0.9,0.6,176.8820984,9.36810952,0.2855993321,nan,nan,0.9197710025,1.304071707,2.217931636,0.04695410273,3.313258728
2.0,1.0,0.0,0.0,6.733951251,0.8256320494,0.3151741113,1248.455499,1209.249441,0.1495395747,1.919425153,1.346335559,0.3129036415,3.336803843
2.0,0.95,0.05,0.025,8.370938877,0.8486567148,0.3447488905,1339.143106,1583.337824,0.2119302905,1.677495635,1.388411615,0.08649210712,3.325961697
2.0,0.9,0.1,0.05,12.56114062,1.367294598,0.3447488905,987.1813774,1225.61417,0.3612385541,1.690660752,1.488732851,0.04587298974,3.325245163
2.0,0.85,0.15,0.075,16.67754572,2.539730298,0.3447488905,1465.761411,1636.41787,0.2611453307,1.643438811,1.744597664,-0.1673863312,3.310764883
2.0,0.8,0.2,0.1,28.24739459,3.884246245,0.2855993321,2834.102951,2834.102951,0.5574814365,1.451494204,1.466568258,0.04921688683,3.302798668
2.0,0.75,0.25,0.125,41.24041937,7.605056388,0.2855993321,2544.410825,2544.410825,0.567764844,1.388227252,1.550475956,0.1018206594,3.298352911
2.0,0.7,0.3,0.15,59.1871564,6.653655385,0.2855993321,nan,nan,0.6912896286,1.322815041,1.942663481,0.1608885031,3.306207231
2.0,0.6,0.4,0.2,94.84682753,2.412928872,0.2855993321,nan,nan,0.869479485,1.250346517,1.56166458,-0.01715997569,3.308462907
2.0,0.5,0.5,0.25,110.8767188,8.705612312,0.2855993321,nan,nan,0.7868681405,1.444691126,2.125522311,0.1115812911,3.308823972
2.0,0.3,0.7,0.35,148.812953,8.86379196,0.2855993321,nan,nan,0.886457792,1.230742241,1.97995391,-0.01220031316,3.332477119
2.0,0.1,0.9,0.45,156.2978413,6.441129344,0.2855993321,nan,nan,0.8608528801,1.336776503,1.838228875,0.03729717836,3.340938388
