kappa,T_star,Rg_chi0,segment_length_b,S_peak_chi0,S_peak_max,delta_eps_half_rise,eps_AB_half_rise,delta_eps_R4_1p5,eps_AB_R4_1p5,delta_eps_max_intensity_variance,chi_spinodal_rpa,delta_eps_spinodal_rpa,eps_AB_spinodal_rpa,max_shell_anisotropy,delta_eps_at_max_anisotropy
0.0,1.5,3.203714177,1.2407931653529602,1.134552341,3.230722381,0.26350379656724077,0.7364962034327592,,,0.0,2.0,1.5,-0.5,1.735199803,0.7
0.25,1.5,3.201793923,1.2400494541767113,2.338384763,13.06225831,0.2725552929596674,0.7274447070403326,0.17616243441324694,0.823837565586753,0.1,0.8042348502129486,0.6031761376597115,0.39682386234028855,2.012254157,0.7
0.5,1.5,3.21106704,1.2436409169475546,6.124244318,121.4887918,0.19931498337098283,0.8006850166290171,0.03615619792574191,0.9638438020742581,0.0,0.2881944482674371,0.2161458362005778,0.7838541637994222,2.358705469,0.1
0.75,1.5,3.20362922,1.2407602616483457,15.42583198,501.5249505,0.1516008915242441,0.8483991084757558,0.01224231772777256,0.9877576822722275,0.0,0.1390999938077742,0.10432499535583062,0.8956750046441694,2.412805309,0.4
1.0,1.5,3.191361811,1.2360091145725343,24.50028229,1020.000689,0.1153083786400275,0.8846916213599725,0.015142316630557177,0.9848576833694428,0.0,0.08056891511701313,0.06042668633775983,0.9395733136622402,2.733049664,0.9
