n_chains,eps_AB,delta_eps,n_seeds,box_size,S_psi_peak_seed_relative_variance,S_psi_peak_mean,S_psi_peak_sem,S_psi_kmin_mean,S_psi_kmin_sem,S_rho_kmin_mean,S_rho_kmin_sem,non_gaussian_ratio_peak_mean,non_gaussian_ratio_peak_sem,shell_anisotropy_peak_mean,shell_anisotropy_peak_sem,peak_intensity_relative_variance_mean,peak_intensity_relative_variance_sem,cg_variance_1p5_mean,cg_variance_1p5_sem,cg_variance_2_mean,cg_variance_2_sem,cg_variance_3_mean,cg_variance_3_sem,tau_psi_peak_mean,tau_psi_peak_sem,gamma_psi_peak_mean,gamma_psi_peak_sem,kww_tau_peak_mean,kww_tau_peak_sem,kww_beta_peak_mean,kww_beta_peak_sem,plateau_psi_peak_mean,plateau_psi_peak_sem,S_psi_peak_relative_drift_mean,S_psi_peak_relative_drift_sem,energy_per_bead_mean,energy_per_bead_sem,mean_Rg_mean,mean_Rg_sem,q_peak_mean,q_peak_sem
144,1,0,4,22,0.00286277538,6.124244318,0.1638385701,5.123772188,0.7417249024,161.2245559,0.5730180936,1.614430656,0.1084422505,1.842331698,0.1472157246,0.1868055796,0.04786876077,0.04001087738,0.0001949776111,0.02028329711,0.0003632862997,0.006581559573,0.0003342242226,583.3958398,,0.002754260382,0.0007946247324,2011.64364,917.9695972,1.204569827,0.3829214549,0.4403320522,0.1414178995,-0.1431350368,0.2920726787,-1.531691826,0.001104103663,3.21106704,0.006222414928,0.390135943,0.06035424043
144,0.975,0.025,4,22,0.02487646538,7.783309196,0.6138024592,5.822474397,0.9648077774,153.6773828,0.2213524765,1.670091595,0.08545955833,2.06197155,0.255655576,0.1857170576,0.05232351866,0.04578902083,0.001749179975,0.02393883952,0.001107695089,0.007924464923,0.0005497802406,1110.501701,73.8141358,0.002310964972,0.0003753384629,1817.228837,362.4514119,0.956243695,0.1656627256,0.5263918435,0.04636804913,0.209596556,0.2698196675,-1.485584183,0.001166071687,3.188997832,0.008129756039,0.397017196,0.04286141679
144,0.95,0.05,4,22,0.08931278997,12.8059439,1.913543887,12.63272198,1.977045535,144.3319002,0.3978766265,1.28893218,0.05215188172,1.390086044,0.1374481034,0.07264760019,0.01487605965,0.05661789503,0.001617557143,0.03215796053,0.001250154253,0.01237241268,0.0008482944967,,,0.0009285198062,0.0002106742441,17795.54456,11623.60564,0.8014607647,0.2561397862,0.7831174758,0.04913378827,-0.1707940862,0.1240061503,-1.440368683,0.001317424611,3.195662087,0.0104548785,0.3151741113,0.02957477919
144,0.9,0.1,4,22,0.3502181281,19.50353225,5.771020118,17.2710781,6.560742292,127.6107763,1.309995717,1.487896652,0.105438459,2.358705469,0.39248078,0.0476722566,0.01334413618,0.07220273968,0.004538298262,0.04327222023,0.004167721864,0.01748428953,0.002979289649,,,0.0011744505,0.000275714472,10257.86712,7150.08175,0.9129583785,0.277491372,0.7278435511,0.06646054789,0.09936320402,0.1171389168,-1.350512166,0.002848742851,3.198446751,0.007689305853,0.3743236697,0.02957477919
144,0.85,0.15,4,22,0.04605390104,34.2936778,3.679741233,34.2936778,3.679741233,103.5466109,3.847915793,1.270566154,0.06954285744,1.776322338,0.2053500079,0.07418588085,0.02020564798,0.09558506409,0.00124548575,0.06224001886,0.001590669119,0.02848026472,0.001461846636,,,0.0003696537571,2.024275857e-05,5866.055938,2117.569896,1.523468523,0.3734537034,0.8823482,0.02451496063,0.1453664647,0.2127562518,-1.260326616,0.00567209514,3.201162351,0.009843551141,0.2855993321,0
144,0.8,0.2,4,22,0.118974316,57.28726158,9.879948379,57.28726158,9.879948379,84.7382502,2.576152655,1.204494112,0.06983096753,1.912576339,0.2413062019,0.05228734178,0.02576374402,0.1229224807,0.009013882289,0.08540622447,0.007849280958,0.04253286408,0.005111907207,,,0.0003345939391,8.325802243e-05,554379363.1,554365350.5,0.5456081237,0.1704131634,0.8782610866,0.02735110488,0.1127343637,0.1547085294,-1.18196293,0.006539668171,3.207094068,0.0136019607,0.2855993321,0
144,0.7,0.3,4,22,0.1378708573,87.43362991,16.23247533,86.06762814,17.58766672,50.90699883,1.578344076,1.139186199,0.04639658157,1.604214162,0.142896676,0.02268434434,0.0106225987,0.1561487654,0.009632834314,0.1140149739,0.009274677775,0.06030595615,0.007195229196,,,0.0002865087102,0.0001512173427,6402048069,6402037557,0.8655419994,0.3766089152,0.9046690886,0.03440936584,0.08008353344,0.1095208199,-1.037004647,0.006543502805,3.201700481,0.01213546409,0.3151741113,0.02957477919
144,0.6,0.4,4,22,0.07590867204,98.71911085,13.59931196,98.71911085,13.59931196,22.08058326,1.590206716,1.205704501,0.07497746177,1.703569952,0.1019496004,0.03617336108,0.007909447648,0.1709241622,0.00638450733,0.1266499125,0.006024968411,0.06813147867,0.004882913691,,,0.0002025111962,1.359967892e-05,6790456693,6790425165,0.5670415305,0.2243184216,0.9031607867,0.02266250377,0.225531508,0.04384308015,-0.8969099169,0.005828509129,3.254471681,0.008405950256,0.2855993321,0
144,0.5,0.5,4,22,0.03902687027,115.9426509,11.45236266,115.9426509,11.45236266,3.44785712,0.2471847409,1.095311466,0.01702571294,1.763882507,0.05218211334,0.01929260197,0.01004923376,0.1814762828,0.005406943026,0.1363922223,0.005110032189,0.07538689576,0.004108456578,,,0.00011715569,1.895674862e-05,1.530766702e+13,1.528115133e+13,0.7613373427,0.7224221498,0.9439920522,0.008984397529,0.08264020773,0.03994726012,-0.7775210478,0.004070269782,3.288252483,0.005236563062,0.2855993321,0
144,0.3,0.7,4,22,0.05519996737,115.5170133,13.57017244,115.5170133,13.57017244,1.576861004,0.08766708179,1.154370649,0.04123024993,1.584267423,0.1958672284,0.05924455959,0.01721180144,0.1951568716,0.005171631628,0.1455151937,0.004693221847,0.07893438946,0.004104432919,,,0.0001875570463,3.29493871e-05,1.230350046e+12,9.473836478e+11,0.4483740578,0.2396921631,0.9214569644,0.02275611673,0.3656824788,0.08503442389,-0.6361690246,0.00631464751,3.293454578,0.009152323323,0.2855993321,0
