run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,2000,-12498.312498092651,6163.4501953125,3.1561392909442043,0.713362291124132,0.42839899821678995,14.666666666666668,0.12023122072538944
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,4000,-13056.803782463074,6061.9228515625,3.1689318375554483,0.7016114411530672,0.42839899821678995,14.666666666666668,0.1309456916807537
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,6000,-13227.89819431305,5955.39501953125,3.1550579119439885,0.689281830964265,0.42839899821678995,14.666666666666668,0.1378257644674579
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,8000,-13307.357800483704,6068.68798828125,3.1504024640479837,0.7023944430881076,0.42839899821678995,14.666666666666668,0.1413660164176968
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,10000,-13437.127714157104,6105.9765625,3.1394231944807074,0.7067102502893519,0.42839899821678995,14.666666666666668,0.14718088166976687
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,12000,-13468.37438583374,6137.6474609375,3.1393958954902264,0.7103758635344328,0.42839899821678995,14.666666666666668,0.15057266993283433
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,14000,-13572.503329277039,6001.201171875,3.142448662037098,0.694583468967014,0.42839899821678995,14.666666666666668,0.1521463458294618
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,16000,-13559.211510658264,6062.068359375,3.1640597632118084,0.7016282823350695,0.42839899821678995,14.666666666666668,0.15847421667042164
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,18000,-13658.070080757141,5938.8857421875,3.1744989763551548,0.6873710349754051,0.42839899821678995,14.666666666666668,0.16087228261430997
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,20000,-13836.086310386658,6089.791015625,3.1687935408490135,0.7048369231047454,0.42839899821678995,14.666666666666668,0.15944531254370467
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,22000,-13879.114887237549,6058.3173828125,3.160039616665015,0.7011941415292245,0.42839899821678995,14.666666666666668,0.16294504883644925
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,24000,-13994.97162437439,6020.52734375,3.16387184256211,0.6968202944155093,0.42839899821678995,14.666666666666668,0.16348319685947327
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,26000,-13961.834774017334,5866.03125,3.1641671238375837,0.6789388020833333,0.42839899821678995,14.666666666666668,0.1660931825171438
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,28000,-13964.20146369934,6025.8671875,3.185254410892278,0.6974383318865741,0.42839899821678995,14.666666666666668,0.17238789226473872
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,30000,-14096.6146068573,6037.58740234375,3.190827883022892,0.6987948382342303,0.42839899821678995,14.666666666666668,0.170875221500701
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,32000,-13911.035824298859,6058.60302734375,3.207265705570027,0.7012272022388599,0.42839899821678995,14.666666666666668,0.17488937077624506
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,34000,-14142.650946617126,6006.7890625,3.19380269852907,0.6952302155671296,0.42839899821678995,14.666666666666668,0.17566852989585163
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,36000,-14100.832129478455,6045.79150390625,3.1935032605733276,0.6997443870261864,0.42839899821678995,14.666666666666668,0.17316904016267967
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,38000,-14107.988562583923,6090.5068359375,3.207808042419973,0.7049197726779514,0.42839899821678995,14.666666666666668,0.17649250708470093
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,40000,-14127.02476978302,5958.1357421875,3.224361099451522,0.6895990442346643,0.42839899821678995,14.666666666666668,0.17705652304229652
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,42000,-14061.724623680115,6088.3896484375,3.2246347214204825,0.7046747278284143,0.42839899821678995,14.666666666666668,0.17836593991528651
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,44000,-13965.091859817505,6039.884765625,3.2170507091737273,0.6990607367621527,0.42839899821678995,14.666666666666668,0.17853162214608714
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,46000,-14333.423735618591,6051.091796875,3.2310412529995274,0.7003578468605324,0.42839899821678995,14.666666666666668,0.1781917942403899
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,48000,-14147.833229064941,5975.498046875,3.22288351676883,0.6916085702401621,0.42839899821678995,14.666666666666668,0.18230810271488687
M0144_N40_kappa1_pi0p990_seed1,correlated,144,40,0.5,1.0,0.99,50000,-14156.510983467102,6144.31884765625,3.22974376436657,0.7111480147750289,0.42839899821678995,14.666666666666668,0.17928404899882738
