n_chains,kappa,n_seeds,k_star,peak,peak_sem,box_size
144,0,5,0.9472258250994828,6.228403148704276,1.2150016965687835,22.0
144,1,5,0.2855993321445266,540.9354404667926,13.372100607649761,22.0
288,0,5,1.0137452994487048,6.6002380436153185,0.7464886230790715,27.71826309768721
288,1,5,0.2266803401438184,773.3235128635937,58.59769524464712,27.71826309768721
576,0,5,1.0943881598748777,6.827050188200109,1.2530407597305615,34.922823143300384
576,1,5,0.2544400789092958,575.4220680182377,39.58690555495174,34.922823143300384
