n_chains,chain_length,n_beads,box_size,bead_density,kappa,pi,n_seeds,realized_f_A_mean,realized_f_A_sem,sequence_balance_attempts_mean,sequence_balance_attempts_sem,primary_selection_rule,primary_candidate_shell_count,primary_selected_shell_index,primary_k_star,primary_k_star_units,primary_boundary,primary_amplitude_seed_mean_at_selected_shell,primary_amplitude_seed_sem_at_selected_shell,primary_early_to_final_change_seed_mean_at_selected_shell,primary_early_to_final_change_seed_sem_at_selected_shell,primary_final_window_slope_seed_mean_per_step_at_selected_shell,primary_final_window_slope_seed_sem_per_step_at_selected_shell,secondary_per_seed_max_amplitude_mean,secondary_per_seed_max_amplitude_sem,secondary_per_seed_max_k_star_mean,secondary_per_seed_max_k_star_sem,secondary_per_seed_max_k_star_mode,common_bin_candidate_count,common_bin_selected_index,common_bin_selected_q_low,common_bin_selected_q_high,common_bin_selected_boundary,common_bin_amplitude_seed_mean,common_bin_amplitude_seed_sem,common_bin_early_to_final_change_seed_mean,common_bin_early_to_final_change_seed_sem,common_bin_final_window_slope_seed_mean_per_step,common_bin_final_window_slope_seed_sem_per_step,diagnostic_AA_minus_AB_peak_seed_mean,diagnostic_AA_minus_AB_peak_seed_sem,diagnostic_AA_minus_AB_k_star_seed_mean,diagnostic_AA_minus_AB_k_star_seed_sem
144,40,5760,22,0.54094665664913599,0,0.98999999999999999,5,0.5,0,72.200000000000003,31.826718335386072,maximum of across-seed mean final-window exact-shell spectrum,24,9,0.94722582509948294,nm^-1,none,6.2284031487042757,1.2150016965687833,0.25149497008498367,0.20922503906897397,-1.5425897461999663e-05,6.0321192460246396e-05,8.0945719065894792,0.76142746381711945,1.0643287271866571,0.047807059585445996,1.1423973285781066,9,5,0.90000000000000002,1.05,none,5.3227728494730107,0.48867227391985835,-0.05701036199116398,0.11448237255748205,-1.1415471989768831e-05,2.9962174489572797e-05,8.410564544748226,0.86051694604064388,1.0643287271866571,0.047807059585445996
144,40,5760,22,0.54094665664913599,1,0.98999999999999999,5,0.5,0,244.80000000000001,97.110967454762786,maximum of across-seed mean final-window exact-shell spectrum,24,0,0.28559933214452665,nm^-1,q_min,540.93544046679256,13.372100607649759,1.0609932203728931,1.8071568113436589,0.00042949243498552466,0.0004027541078264618,540.93544046679256,13.372100607649759,0.28559933214452665,0,0.28559933214452665,9,0,0.14999999999999999,0.29999999999999999,q_min,540.93544046679256,13.372100607649759,1.0609932203728931,1.8071568113436589,0.00042949243498552466,0.0004027541078264618,547.31770042760684,15.8488514804432,0.28559933214452665,0
288,40,11520,27.71826309768721,0.54094665664913599,0,0.98999999999999999,5,0.5,0,57.799999999999997,14.708500943332055,maximum of across-seed mean final-window exact-shell spectrum,37,17,1.0137452994487048,nm^-1,none,6.6002380436153185,0.74648862307907149,0.14400255260665648,0.43030557641683165,6.1788120228623944e-05,4.1325614609015471e-05,8.6596059813749733,0.95588739781169663,1.007243363318554,0.026756045501570128,1.0137452994487048,9,5,0.90000000000000002,1.05,none,5.8338225163630693,0.36133800140696304,0.076496562270068402,0.095368181535514879,2.0904849767513045e-06,1.2163217637177655e-05,8.4252458043891689,0.74969266317734962,0.96294891777070801,0.044490886776606911
288,40,11520,27.71826309768721,0.54094665664913599,1,0.98999999999999999,5,0.5,0,886.60000000000002,715.82809388846988,maximum of across-seed mean final-window exact-shell spectrum,37,0,0.22668034014381841,nm^-1,q_min,773.32351286359369,58.597695244647106,26.175656607612176,7.8215095681650517,0.0015768610557552495,0.00091543322183837872,773.32351286359369,58.597695244647106,0.22668034014381838,1.3877787807814457e-17,0.22668034014381841,9,0,0.14999999999999999,0.29999999999999999,q_min,773.32351286359369,58.597695244647106,26.175656607612176,7.8215095681650517,0.0015768610557552495,0.00091543322183837872,756.7218293290955,65.74828066343531,0.22668034014381838,1.3877787807814457e-17
576,40,23040,34.922823143300384,0.54094665664913621,0,0.98999999999999999,5,0.5,0,207.19999999999999,65.55562523536787,maximum of across-seed mean final-window exact-shell spectrum,59,31,1.0943881598748775,nm^-1,none,6.8270501882001087,1.2530407597305611,-0.32015822988838594,0.3942171559157413,-3.4281193010194455e-05,2.7987356463101429e-05,8.6982441818263396,0.71061667050352439,1.0609369248619525,0.014870749879199428,1.0794978312144199,9,5,0.90000000000000002,1.05,none,5.7922123217763133,0.20775722816794209,-0.10070370390416432,0.040900888670487259,-2.2134764076061763e-06,9.736380272418209e-06,8.6588375839239351,0.6931074478664403,1.0609369248619525,0.014870749879199428
576,40,23040,34.922823143300384,0.54094665664913621,1,0.98999999999999999,5,0.5,0,593.20000000000005,273.29460294707616,maximum of across-seed mean final-window exact-shell spectrum,59,1,0.25444007890929582,nm^-1,none,575.42206801823772,39.586905554951748,7.5350113776357377,4.2221587084373393,0.00124101385929105,0.00031054112548316369,746.21949576796021,98.136764693265505,0.22463056942653878,0.018254521928852789,0.25444007890929582,9,0,0.14999999999999999,0.29999999999999999,q_min,551.65716337021104,45.664451641019845,11.243241316346314,0.9870613411942033,0.0010879929735351655,0.00013572735788968797,781.90532087621409,105.80267575354627,0.22463056942653878,0.018254521928852789
