n_chains,eps_AB,delta_eps,shell_q,tau_psi_mean,tau_psi_sem
144,1,0,0.2855993321,1707.576418,448.8430397
144,1,0,0.4038984489,1564.685197,251.2855841
144,1,0,0.4946725539,1070.360392,199.510777
144,1,0,0.5711986643,645.7783547,105.8367543
144,1,0,0.638619521,380.6058349,20.70330408
144,1,0,0.6995726346,240.4182655,11.96652051
144,1,0,0.8077968978,149.5327514,11.01313632
144,1,0,0.8567979964,131.939851,3.583082939
144,1,0,0.9031443878,102.4499629,1.553979413
144,1,0,0.9472258251,83.02516812,3.719503716
144,1,0,0.9893451078,68.96039435,5.814929225
144,1,0,1.029743036,57.65241048,2.423984291
144,1,0,1.068614851,52.76102384,0.5925222785
144,1,0,1.142397329,42.11343183,3.870734041
144,1,0,1.177556213,35.04780846,1.051547406
144,1,0,1.211695347,31.95088755,0.948367417
144,1,0,1.244898627,28.15174427,0.9579985346
144,1,0,1.277239042,24.84255816,1.09604375
144,1,0,1.308780558,22.11209602,0.6560342415
144,1,0,1.339579608,20.32291298,0.564672329
144,1,0,1.399145269,17.9852943,0.6288407071
144,1,0,1.427996661,15.62115764,0.2284262465
144,1,0,1.456276568,14.75681403,0.1221499758
144,1,0,1.484017662,13.90792199,0.09441552766
144,0.95,0.05,0.2855993321,1912.793608,375.425818
144,0.95,0.05,0.4038984489,1571.133613,97.73839388
144,0.95,0.05,0.4946725539,746.6425929,130.9780424
144,0.95,0.05,0.5711986643,686.1906275,87.73512608
144,0.95,0.05,0.638619521,352.35718,45.38031404
144,0.95,0.05,0.6995726346,280.2613758,6.685280581
144,0.95,0.05,0.8077968978,188.2686941,16.65860469
144,0.95,0.05,0.8567979964,120.4230229,5.801621803
144,0.95,0.05,0.9031443878,106.6783687,2.987328769
144,0.95,0.05,0.9472258251,93.818913,1.203052446
144,0.95,0.05,0.9893451078,72.65057655,3.927928735
144,0.95,0.05,1.029743036,61.17421688,1.11022847
144,0.95,0.05,1.068614851,50.13370494,1.183144723
144,0.95,0.05,1.142397329,39.83899392,3.274558752
144,0.95,0.05,1.177556213,34.8775818,0.481279303
144,0.95,0.05,1.211695347,31.09546509,0.4907466628
144,0.95,0.05,1.244898627,25.8384862,0.2373687816
144,0.95,0.05,1.277239042,24.64448736,0.933876348
144,0.95,0.05,1.308780558,22.0156226,0.5135265709
144,0.95,0.05,1.339579608,19.80705546,0.5275258199
144,0.95,0.05,1.399145269,16.32280664,0.3818240482
144,0.95,0.05,1.427996661,15.18164773,0.1575931684
144,0.95,0.05,1.456276568,13.95694814,0.07446141869
144,0.95,0.05,1.484017662,12.68427574,0.1773445975
144,0.9,0.1,0.2855993321,,
144,0.9,0.1,0.4038984489,2165.581642,551.6387626
144,0.9,0.1,0.4946725539,1303.52202,321.2180305
144,0.9,0.1,0.5711986643,677.919263,116.4029548
144,0.9,0.1,0.638619521,521.7588548,66.92629888
144,0.9,0.1,0.6995726346,355.324947,38.09925669
144,0.9,0.1,0.8077968978,168.642836,8.420987302
144,0.9,0.1,0.8567979964,123.6876974,7.565578939
144,0.9,0.1,0.9031443878,104.9004432,3.027153675
144,0.9,0.1,0.9472258251,82.537781,3.009014686
144,0.9,0.1,0.9893451078,67.62348183,3.538832922
144,0.9,0.1,1.029743036,61.09729109,2.077132863
144,0.9,0.1,1.068614851,48.65761199,1.586754819
144,0.9,0.1,1.142397329,35.26370184,1.395486731
144,0.9,0.1,1.177556213,33.10593161,0.9653452009
144,0.9,0.1,1.211695347,28.64999476,1.133328388
144,0.9,0.1,1.244898627,25.15371865,0.7196394235
144,0.9,0.1,1.277239042,22.54290477,0.9576067848
144,0.9,0.1,1.308780558,20.21571571,0.3653806287
144,0.9,0.1,1.339579608,18.6932044,0.3846051217
144,0.9,0.1,1.399145269,14.93563042,0.5087707351
144,0.9,0.1,1.427996661,13.66304705,0.2200000947
144,0.9,0.1,1.456276568,12.76964529,0.2253091527
144,0.9,0.1,1.484017662,11.96518059,0.09180624769
144,0.85,0.15,0.2855993321,,
144,0.85,0.15,0.4038984489,2057.211127,453.8563949
144,0.85,0.15,0.4946725539,1324.210368,261.3878611
144,0.85,0.15,0.5711986643,412.3691459,33.1698193
144,0.85,0.15,0.638619521,482.0928904,39.35166268
144,0.85,0.15,0.6995726346,249.7208848,14.21341828
144,0.85,0.15,0.8077968978,142.9362298,12.02960433
144,0.85,0.15,0.8567979964,121.4974513,7.337390955
144,0.85,0.15,0.9031443878,99.45922061,4.785328935
144,0.85,0.15,0.9472258251,76.39634196,3.848745452
144,0.85,0.15,0.9893451078,70.63620022,4.958775493
144,0.85,0.15,1.029743036,50.93683984,0.4703175786
144,0.85,0.15,1.068614851,43.15590767,0.7209497146
144,0.85,0.15,1.142397329,33.00836504,1.564470468
144,0.85,0.15,1.177556213,29.13971175,0.8138203393
144,0.85,0.15,1.211695347,26.67412668,0.3474419875
144,0.85,0.15,1.244898627,22.55344989,0.4860647372
