run_index,run_id,n_chains,kappa,pi,seed,shell_index,shell_n2,degeneracy,q,q_units,S_AA,S_BB,S_AB,S_CC,S_psi_psi_over_2,S_psi_psi_over_2_early,S_psi_psi_over_2_early_to_final_change,S_psi_psi_over_2_final_window_slope_per_step,diagnostic_AA_minus_AB
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,0,1,6,0.28559933214452665,nm^-1,70.597994480532037,78.075563983649005,73.573262060432697,1.5270343433156368,0.76351717165781841,0.80186225298725233,-0.038345081329433928,-1.4737864368184739e-05,-2.9752675799006596
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,1,2,12,0.40389844892348786,nm^-1,7.3718205479220034,10.203310356086433,7.6259442012169645,2.3232425015745077,1.1616212507872539,1.2663226845311306,-0.10470143374387675,3.6859514101563717e-06,-0.25412365329496112
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,2,3,8,0.49467255388205938,nm^-1,3.7519964793867357,5.7577580967057651,3.8691108321254908,1.7715329118415184,0.8857664559207592,0.81545130652057729,0.070315149400181909,2.8934856263048836e-05,-0.11711435273875503
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,3,4,6,0.5711986642890533,nm^-1,2.0594008992407504,1.2114339133876268,-0.21791481220848152,3.7066644370453394,1.8533322185226697,2.0739398856297857,-0.22060766710711599,-4.5423316203450144e-05,2.2773157114492317
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,4,5,24,0.63861952100370245,nm^-1,2.3301248131595362,2.0007107814041247,-0.16774218093080867,4.6663199564252782,2.3331599782126391,2.6782670519219751,-0.34510707370933602,-2.7353213049404894e-05,2.4978669940903448
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,5,6,24,0.69957263463374397,nm^-1,2.0486913890710445,1.2509002553210042,-0.78036851265655227,4.8603286697051526,2.4301643348525763,2.1839003388188907,0.24626399603368565,3.4051314632370121e-05,2.8290599017275966
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,6,8,12,0.80779689784697573,nm^-1,1.19175773868079,2.1990376871051232,-0.95334302021451411,5.2974814662149416,2.6487407331074708,3.103437051809764,-0.45469631870229321,-9.1573123167593216e-05,2.1451007588953042
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,7,9,30,0.8567979964335799,nm^-1,3.8783739095034511,2.7090306429644238,-2.2831789571725394,11.153762466812953,5.5768812334064766,5.1849855491430841,0.3918956842633925,4.4621480690032787e-05,6.16155286667599
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,8,10,24,0.90314438779964556,nm^-1,4.4582748451926939,2.7071653619346856,-2.3747316030624566,11.914903413252292,5.9574517066261459,6.1163143947886969,-0.158862688162551,-6.1823103144158451e-05,6.8330064482551505
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,9,11,24,0.94722582509948294,nm^-1,2.5531806197546176,2.7454180266058632,-2.1738489215890651,9.6462964895386101,4.823148244769305,5.1731185815907637,-0.34997033682145862,-9.6061571111307789e-06,4.7270295413436827
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,10,12,8,0.98934510776411877,nm^-1,1.8276839050852061,1.5602725784421438,-1.4377520988191101,6.2634606811655704,3.1317303405827852,2.6772681116459482,0.45446222893683696,2.0134030020389309e-05,3.2654360039043162
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,11,13,24,1.0297430362853615,nm^-1,4.7874446932257886,3.7933181293683376,-3.9355099869601089,16.451782796514344,8.225891398257172,7.7318708509161764,0.49402054734099554,-6.2044395908744717e-05,8.7229546801858966
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,12,14,48,1.0686148507762725,nm^-1,3.1722391346351038,2.9709773457296769,-2.8460940257738709,11.83540453191252,5.9177022659562599,5.8914649711134555,0.026237294842804459,-0.00012702845628464411,6.0183331604089751
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,13,16,6,1.1423973285781066,nm^-1,1.9514974508152565,2.0557478958732873,-1.6922392335294858,7.3917238137475163,3.6958619068737582,2.9297236741424646,0.76613823273129356,3.5616910184108291e-05,3.6437366843447423
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,14,17,48,1.1775562130377446,nm^-1,1.9727512922330823,1.9838979121555937,-1.7321862179702525,7.4210216403291813,3.7105108201645907,4.2446911330500923,-0.53418031288550161,5.4875566105391865e-05,3.7049375102033348
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,15,18,36,1.2116953467704634,nm^-1,2.2535384548972517,2.5568266815886229,-2.1367759074042083,9.0839169512942917,4.5419584756471458,4.3501414481637175,0.19181702748342833,4.4632384961498065e-05,4.39031436230146
0,M0144_N40_kappa0_pi0p990_seed1,144,0,0.98999999999999999,1,16,19,24,1.2448986271606992,nm^-1,1.7478173148984439,2.108413851633455,-1.7610828992416956,7.3783969650152894,3.6891984825076447,3.9725348544293566,-0.2833363719217119,-0.00011342124311312655,3.5089002141401395
