n_chains,kappa,pi,n_seeds,bin_index,q_low,q_high,q_units,selected_as_sensitivity_peak,S_psi_psi_over_2_final_mean,S_psi_psi_over_2_final_sem,S_psi_psi_over_2_early_mean,S_psi_psi_over_2_early_sem,early_to_final_change_mean,early_to_final_change_sem,final_window_slope_mean_per_step,final_window_slope_sem_per_step
144,0,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,False,0.68114517732639956,0.091341511563580946,0.65710295718450706,0.10278866942230776,0.024042220141892445,0.027800284044689663,1.2307379783615786e-05,8.8538738510507849e-06
144,0,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,0.842557183010195,0.11624438390605528,0.83332479964432982,0.14182663775796517,0.0092323833658652932,0.032607942813964841,3.8318785876674967e-06,3.1407177279335047e-06
144,0,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,1.4091145993465948,0.14173696271088004,1.4047217634446301,0.13126503030742578,0.0043928359019646647,0.086613237147245656,9.5492280510646618e-06,2.4116742004476746e-05
144,0,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,2.0390629152048718,0.17909370224740509,2.0663567569500243,0.19382958712069159,-0.027293841745152925,0.028473534653058546,1.1274972229203981e-05,3.872910183322606e-06
144,0,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,3.2944503239763336,0.39784624490945797,3.1374877548746616,0.40681468419959932,0.15696256910167222,0.068363512428209233,3.7981273266172142e-06,1.730807392308518e-05
144,0,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,True,5.7124973338857234,0.58213756856782961,5.7329657081377974,0.52950411670589781,-0.020468374252073041,0.076718268263857151,-1.4477921762266105e-05,9.0996223004626952e-06
144,0,0.98999999999999999,5,6,1.05,1.2,nm^-1,False,5.4843231115438984,0.4998549055664091,5.5973153539462821,0.53827978582717506,-0.1129922424023837,0.11516243835499133,-3.3072828996975841e-06,1.1338947117333219e-05
144,0,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,3.453247356861282,0.13904952360361306,3.3574876123285122,0.11801772769451234,0.095759744532769364,0.10107442375671452,8.0241624025758028e-06,1.7407093651359638e-05
144,0,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,1.8571755326923125,0.10274496941395178,1.8916321220320675,0.12035317687117748,-0.034456589339755171,0.030586774601204219,1.1735390779939446e-05,8.2494028401862662e-06
144,1,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,True,521.17337799420648,18.903892817496217,515.5388496226708,19.801921093549819,5.6345283715357368,1.3943726187555407,0.0010562662445049698,0.00014091532526683026
144,1,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,50.327238499952237,9.2610396119175338,51.986988496623688,10.441680440155835,-1.6597499966714473,1.4505842123287553,-0.00034651358450577907,0.00017394849189633727
144,1,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,16.081807143989302,1.6852767612975248,16.683155647430794,2.3014566484016803,-0.60134850344149304,0.83064620369773312,-1.4239139877076231e-05,0.00010350859542393771
144,1,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,5.2322321081276462,0.87457378705733491,5.2192897315834257,0.87673762957977153,0.012942376544220036,0.038671609397717951,-1.4308761727481541e-05,6.9740867855167999e-06
144,1,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,1.8758354793565473,0.13104935196785891,1.9042247808124415,0.11897664886844755,-0.028389301455894422,0.12615453086001874,3.2190971938266191e-06,7.5739819801095325e-06
144,1,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,False,1.5792691562881105,0.15876383070900005,1.6230656094571141,0.17960495225383022,-0.04379645316900347,0.077736842196396053,-8.2412927309181472e-06,9.2278990894070084e-06
144,1,0.98999999999999999,5,6,1.05,1.2,nm^-1,False,0.73201889511145313,0.021928378900561363,0.74441870436514834,0.024066659249036958,-0.012399809253695281,0.015259344529791571,-2.0371485119715907e-06,2.6521597387724081e-06
144,1,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,0.42489328280789651,0.02280095950033344,0.42729588905195925,0.016973396675865143,-0.0024026062440627217,0.015951783758440898,-1.0595291763869273e-06,3.493150984602364e-06
144,1,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,0.26962955745268619,0.0077304947264972687,0.27556884495205403,0.012599465854937946,-0.0059392874993678454,0.007584633659252769,1.1627196608543014e-06,1.2798725827626421e-06
288,0,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,False,0.40729084062313675,0.06557547991120509,0.37688446685522969,0.055922685822266831,0.030406373767907093,0.019272115820496979,1.1373137463384967e-05,3.1274658579355333e-06
288,0,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,0.78484458773686028,0.17565903759756679,0.76410743805148795,0.16410402281102282,0.020737149685372269,0.030590953130302027,8.9700237797383142e-06,8.3359497990730456e-06
288,0,0.98999999999999999,5,2,0.45000000000000001,0.59999999999999998,nm^-1,False,1.0507760194781257,0.25055450227678105,0.98507202079453116,0.22867048056890349,0.065703998683594542,0.033044985845254157,1.1640308630140582e-05,6.6482795729599225e-06
288,0,0.98999999999999999,5,3,0.59999999999999998,0.75,nm^-1,False,1.6388180494715692,0.47609222942417712,1.6002118631341269,0.46972375973944497,0.038606186337442047,0.040837877972434954,-7.4760918829599614e-06,9.446355091923834e-06
288,0,0.98999999999999999,5,4,0.75,0.90000000000000002,nm^-1,False,2.7328904059777259,0.91139445777370254,2.6569382667833876,0.90261532108209297,0.075952139194338311,0.036129449525906278,6.4326002592248434e-06,6.1054429675638738e-06
288,0,0.98999999999999999,5,5,0.90000000000000002,1.05,nm^-1,False,3.5563100499791531,1.2425361539412612,3.5355330436867911,1.2513019080126677,0.020777006292362166,0.057562536940998062,-1.0587764952667231e-05,8.2041545012641533e-06
288,0,0.98999999999999999,5,6,1.05,1.2,nm^-1,True,3.5883769565003982,1.2751366364213594,3.6035700106907385,1.2738756181773123,-0.015193054190339972,0.054466135851663135,-3.6786351938882101e-06,1.4880978860775762e-05
288,0,0.98999999999999999,5,7,1.2,1.3500000000000001,nm^-1,False,2.3512730967957451,0.7514913564115544,2.319045795352547,0.75050291214068288,0.032227301443198395,0.056037874383481651,-8.5347600231136984e-06,1.3435552475649237e-05
288,0,0.98999999999999999,5,8,1.3500000000000001,1.5,nm^-1,False,1.233705019804717,0.29759621203573944,1.317825173210375,0.33597332006902164,-0.084120153405657941,0.049098440028473883,-1.6241420785463615e-06,3.2465283860963394e-06
288,1,0.98999999999999999,5,0,0.14999999999999999,0.29999999999999999,nm^-1,True,399.47393964476299,201.11270162923105,389.06376538882319,197.45057843901546,10.410174255939841,4.3531661907417387,0.00074045135705656426,0.00038007510784925357
288,1,0.98999999999999999,5,1,0.29999999999999999,0.45000000000000001,nm^-1,False,103.24386859583986,53.909056008860723,106.71386622155528,55.118505103696272,-3.4699976257154268,1.4040004686131335,-0.00036086983623192641,0.00016452288970234235
