epsilon,ensemble,A,nu,nu_lo,nu_hi,R2
0.0,iid,0.004407687636902607,1.1555427506367426,0.5875938319956959,1.5747410383673548,0.899800320542044
0.0,correlated,0.004407687636902607,1.1555427506367426,0.5875938319956959,1.5747410383673548,0.899800320542044
3.0,iid,0.0011774942136596953,1.4447029186652878,0.9453398030245524,1.8100219214274866,0.9485216344015347
3.0,correlated,0.00229347621783885,1.2880909824051012,0.7091329900327309,1.7387307089181745,0.9456066947785658
6.0,iid,0.0012293941731208924,1.4846970132307988,0.6677700318002494,2.595082963474162,0.8610805630858631
6.0,correlated,0.002102620910361012,1.3562837951212872,0.5820177774779832,1.9572260741042964,0.9241692841569918
