ensemble,epsilon,kappa,pi,tw,tau_0p80,censored_0p80,tau_0p60,censored_0p60,tau_0p37,censored_0p37
correlated,0.0,0.7,0.9,0,3.8571428571427715,False,9.071428571428337,False,26.82547157930667,False
correlated,0.0,0.7,0.9,100,8.894915254237281,False,37.12173913043451,False,537.5077103242987,False
correlated,0.0,0.7,0.9,300,13.839999999999963,False,96.3893805309729,False,897.154688405222,False
correlated,0.0,0.7,0.9,1000,26.49265536723158,False,161.17461300309563,False,941.6068170068189,False
correlated,0.0,0.7,0.9,3000,45.04263565891477,False,252.75529865125216,False,1145.0230646875123,False
correlated,0.0,0.7,0.9,10000,52.68679245283013,False,282.2397260273972,False,1215.347971823562,False
correlated,3.0,0.7,0.9,0,4.282352941176332,False,11.168421052631341,False,26.7017652651125,False
correlated,3.0,0.7,0.9,100,13.179999999999973,False,83.83728813559286,False,10000.0,True
correlated,3.0,0.7,0.9,300,35.42718446601931,False,556.3999999999933,False,10000.0,True
correlated,3.0,0.7,0.9,1000,65.68662420382147,False,878.982978723403,False,10000.0,True
correlated,3.0,0.7,0.9,3000,143.12631578947347,False,1705.8536585365853,False,10000.0,True
correlated,3.0,0.7,0.9,10000,245.52191235059712,False,3801.658988764044,False,10000.0,True
correlated,6.0,0.7,0.9,0,3.4599999999998916,False,9.270588235293863,False,30.331366914671825,False
correlated,6.0,0.7,0.9,100,14.006060606060398,False,677.9411764705528,False,10000.0,True
correlated,6.0,0.7,0.9,300,42.176237623762354,False,1833.3999999999846,False,10000.0,True
correlated,6.0,0.7,0.9,1000,135.08421052631545,False,3663.335593220335,False,10000.0,True
correlated,6.0,0.7,0.9,3000,358.1685106382976,False,6973.810650887566,False,10000.0,True
correlated,6.0,0.7,0.9,10000,789.7883817427364,False,10000.0,True,10000.0,True
iid,0.0,0.0,0.0,0,3.8571428571427715,False,9.071428571428337,False,26.82547157930667,False
iid,0.0,0.0,0.0,100,8.894915254237281,False,37.12173913043451,False,537.5077103242987,False
iid,0.0,0.0,0.0,300,13.839999999999963,False,96.3893805309729,False,897.154688405222,False
iid,0.0,0.0,0.0,1000,26.49265536723158,False,161.17461300309563,False,941.6068170068189,False
iid,0.0,0.0,0.0,3000,45.04263565891477,False,252.75529865125216,False,1145.0230646875123,False
iid,0.0,0.0,0.0,10000,52.68679245283013,False,282.2397260273972,False,1215.347971823562,False
iid,3.0,0.0,0.0,0,3.533333333333249,False,10.008695652173717,False,23.940044022735865,False
iid,3.0,0.0,0.0,100,15.512195121951066,False,234.9999999999946,False,10000.0,True
iid,3.0,0.0,0.0,300,42.19310344827554,False,699.8372093023216,False,10000.0,True
iid,3.0,0.0,0.0,1000,104.86602870813383,False,1857.6897297297269,False,10000.0,True
iid,3.0,0.0,0.0,3000,277.6913580246906,False,3577.1116607773843,False,10000.0,True
iid,3.0,0.0,0.0,10000,721.00716845878,False,9046.142076502727,False,10000.0,True
iid,6.0,0.0,0.0,0,4.444444444444348,False,12.14285714285595,False,29.371499457492177,False
iid,6.0,0.0,0.0,100,25.399999999999842,False,5297.863636363493,False,10000.0,True
iid,6.0,0.0,0.0,300,66.23999999999963,False,3955.1460674157147,False,10000.0,True
iid,6.0,0.0,0.0,1000,273.39175257731944,False,6379.900621118008,False,10000.0,True
iid,6.0,0.0,0.0,3000,694.3560606060581,False,10000.0,True,10000.0,True
iid,6.0,0.0,0.0,10000,2026.9330677290816,False,10000.0,True,10000.0,True
