ensemble,epsilon,tw,t_star_discrete,t_star_discrete_lo,t_star_discrete_hi,t_star_smooth,t_star_smooth_lo,t_star_smooth_hi,chi4_star,chi4_star_lo,chi4_star_hi,n_disorder
correlated,0.0,0,2.0,1.5,5.0,2.090770275176028,1.2463527604699771,4.930028274078985,0.002658683262580881,0.0016804909282037666,0.0036770916044387867,20
correlated,0.0,100,2.5,1.0,6.0,2.1272342160702244,1.0,6.192511829891569,0.0557670501626886,0.04163699539896752,0.07639232112311514,20
correlated,0.0,300,1.5,1.0,4.0,1.2751169984004436,1.0,4.203532889243064,0.2266672837034333,0.1564039408866996,0.2777523586142526,20
correlated,0.0,1000,11.0,4.5,15.0,11.092391602047051,4.2961837042244175,16.391339704988475,0.44050087514715586,0.30731406231068537,0.5213528958986433,20
correlated,0.0,3000,32.5,4.0,84.0,33.98648266760743,4.164429138262862,88.06966757160266,0.36975644594661294,0.31960042860294574,0.44183818568467675,20
correlated,0.0,10000,330.0,49.5,464.0,310.1871559440637,50.6217820945125,483.2441977840263,0.1601611446847303,0.11122946562216152,0.18796265331658302,20
correlated,3.0,0,3.0,1.0,6.0,2.7018632036119294,1.0,6.316233493104585,0.002314306213782814,0.0017553274196438603,0.0027495124553951235,20
correlated,3.0,100,2.0,1.0,4.0,1.7064522043051897,1.0,4.010564409452469,0.03831194012053103,0.032723190566675546,0.06260443500782154,20
correlated,3.0,300,2.0,1.0,5.0,1.7912809312990972,1.0,4.709757412236097,0.22579799574609954,0.14837977216748766,0.3034379268713697,20
correlated,3.0,1000,11.0,4.0,51.5,10.54498327856327,4.369453292757286,51.088050967772226,0.35535165786121037,0.2734838135494197,0.6282272849855376,20
correlated,3.0,3000,84.0,51.5,143.0,91.9059705518965,45.69143629547386,147.13265284704872,0.38826635880869365,0.30325090831574675,0.4993301635526515,20
correlated,3.0,10000,410.0,43.0,918.0,391.96625361090753,37.3418674131693,942.3195219347218,0.2543243141166549,0.18190655629372365,0.36866952032373046,20
correlated,6.0,0,2.0,1.5,4.0,2.127720967861987,1.2312134379648891,4.053002497296717,0.0039062499999999497,0.0024956237125841737,0.004875734542297004,20
correlated,6.0,100,2.5,1.0,4.5,2.5276500142606215,1.0,4.243936218811836,0.03500744269389333,0.023997861216326535,0.04414632852300728,20
correlated,6.0,300,3.0,1.5,18.5,2.716592774421978,1.213904478558443,18.09975499675658,0.16165841630014005,0.10957114762535516,0.204885115975516,20
correlated,6.0,1000,11.5,3.0,22.0,11.175654084496173,2.573865741916989,21.914992612727726,0.4345315949396944,0.2847925751428925,0.49243705846249414,20
correlated,6.0,3000,113.5,26.0,624.0,103.18415416046476,25.244007340569613,622.2771047556926,0.30519903136436993,0.2682159152490695,0.42721272294816365,20
correlated,6.0,10000,972.5,464.0,3594.0,993.972202151352,452.80742245418065,3838.1162849608577,0.24982062797387172,0.1769144724814327,0.3597025229652644,20
iid,0.0,0,2.0,1.5,5.0,2.090770275176028,1.2463527604699771,4.930028274078985,0.002658683262580881,0.0016804909282037666,0.0036770916044387867,20
iid,0.0,100,2.5,1.0,6.0,2.1272342160702244,1.0,6.192511829891569,0.0557670501626886,0.04163699539896752,0.07639232112311514,20
iid,0.0,300,1.5,1.0,4.0,1.2751169984004436,1.0,4.203532889243064,0.2266672837034333,0.1564039408866996,0.2777523586142526,20
iid,0.0,1000,11.0,4.5,15.0,11.092391602047051,4.2961837042244175,16.391339704988475,0.44050087514715586,0.30731406231068537,0.5213528958986433,20
iid,0.0,3000,32.5,4.0,84.0,33.98648266760743,4.164429138262862,88.06966757160266,0.36975644594661294,0.31960042860294574,0.44183818568467675,20
iid,0.0,10000,330.0,49.5,464.0,310.1871559440637,50.6217820945125,483.2441977840263,0.1601611446847303,0.11122946562216152,0.18796265331658302,20
iid,3.0,0,2.0,1.0,5.0,2.0167158983582367,1.0,5.667745876046457,0.002220341816494579,0.0018288435780554543,0.0034444273399014003,20
iid,3.0,100,2.0,1.0,9.5,1.933675371436118,1.0,8.59455781225774,0.03834159629839669,0.026227176740086386,0.0511661022167487,20
iid,3.0,300,2.5,1.0,6.0,1.9908239758303439,1.0,5.548642212084971,0.16619354815860957,0.13034944581280805,0.23069438925830632,20
iid,3.0,1000,22.0,15.0,36.5,22.11956761796202,14.740761792785133,34.075500786884675,0.42914786963497664,0.33749707129092055,0.5006475009333076,20
iid,3.0,3000,101.5,15.0,235.0,96.3525038564126,14.809829749397808,241.3134038578517,0.48266994052236,0.4099065933708207,0.5555536340926244,20
iid,3.0,10000,1105.0,330.0,3594.0,1109.6234891319632,318.59441579041186,3453.266459583724,0.3771556878961948,0.31171721543214304,0.44617044547182516,20
iid,6.0,0,2.0,1.0,3.0,1.6870911950414365,1.0,3.2179896326822544,0.0023681949456648677,0.0018294646407022665,0.0030883391924956607,20
iid,6.0,100,3.5,2.0,7.0,3.3949994008702618,1.4775446362310656,6.204933256186482,0.05703994028843985,0.049814781969522284,0.07934221336271291,20
iid,6.0,300,1.5,1.0,3.0,1.2223390135349055,1.0,2.918784577462162,0.2109380960595159,0.15767089142396673,0.2678338504463539,20
iid,6.0,1000,26.0,4.0,101.5,25.973036921928138,3.6172217905987476,98.60646615265463,0.4298582507629968,0.2938548529736821,0.49242455239358396,20
iid,6.0,3000,464.0,89.5,653.0,474.4711609782094,85.66506065834372,677.5721794362877,0.3528802219575855,0.31773807759220407,0.4466335452717942,20
iid,6.0,10000,918.0,282.5,2555.0,875.4090096758673,265.79281475004376,2315.7651615728255,0.3740358275048088,0.2902113416689911,0.4404979715599473,20
