kappa,pi,shell_norm2,q_sigma,w_tilde_sigma3,chi_bare,D,S0,ideal_composition_stiffness,bare_attraction_composition_stiffness,total_bare_composition_stiffness,composition_channel_stable,S_psipsi_if_density_stable,mode
0.0,0.99,0,0.0,-13.6581128817717,9.499256356539725,40.0,1.0,1.0,-4.749628178269862,-3.7496281782698624,False,,formal_q0_limit
0.0,0.99,1,0.28559933214452665,-13.362302880409866,9.293519659231077,33.64108339391562,1.0,1.0,-4.646759829615538,-3.6467598296155384,False,,accessible_exact_shell
0.0,0.99,2,0.40389844892348786,-13.071928698662035,9.091563589924867,28.725768662380105,1.0,1.0,-4.5457817949624335,-3.5457817949624335,False,,accessible_exact_shell
0.0,0.99,3,0.4946725538820594,-12.786899231692471,8.89332478494872,24.870676668877344,1.0,1.0,-4.44666239247436,-3.4466623924743596,False,,accessible_exact_shell
1.0,0.99,0,0.0,-13.6581128817717,9.499256356539725,40.0,31.098299483991493,0.0321560990984337,-4.749628178269862,-4.717472079171428,False,,formal_q0_limit
1.0,0.99,1,0.28559933214452665,-13.362302880409866,9.293519659231077,33.64108339391562,26.738371522466515,0.037399435457756466,-4.646759829615538,-4.609360394157782,False,,accessible_exact_shell
1.0,0.99,2,0.40389844892348786,-13.071928698662035,9.091563589924867,28.725768662380105,23.295018843854283,0.04292763215616892,-4.5457817949624335,-4.502854162806265,False,,accessible_exact_shell
1.0,0.99,3,0.4946725538820594,-12.786899231692471,8.89332478494872,24.870676668877344,20.537320371006963,0.04869184401543078,-4.44666239247436,-4.397970548458929,False,,accessible_exact_shell
