run_id,sequence_type,n_chains,chain_length,f_A,kappa,pi,step,total_energy,kinetic_energy,mean_Rg,temperature_inst,k_star,xi_AA,S_AA_peak
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,2000,1.9747352916042257e+25,4.831214070224493e+19,1480073543.307275,1397920737912179.5,1.0007844476883685,6.278260340368608,0.0010525373323915076
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,4000,2.2911190308261175e+25,4.856292171235459e+19,1607860121.8420913,1405177132880630.5,0.27294121300591867,23.0202879146849,0.0014711760592289905
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,6000,2.6336967306224726e+25,4.898243377686276e+19,1737820854.0253515,1417315792154593.5,0.27294121300591867,23.0202879146849,0.0014019608510389043
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,8000,3.002081862091717e+25,4.973620177426134e+19,1869663052.259198,1439126208745987.8,0.6368628303471435,9.8658376777221,0.0013219768198412802
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,10000,3.3967275228860788e+25,5.061435532308696e+19,2004576174.5312145,1464535744302284.8,0.27294121300591867,23.0202879146849,0.0011311874056616036
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,12000,3.8178081807106584e+25,5.111354239819029e+19,2143334460.7386484,1478979814762450.5,0.8188236390177561,7.673429304894965,0.0011196844358681366
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,14000,4.266018697446677e+25,5.128640321826272e+19,2282921406.5528812,1483981574602509.2,0.45490202167653115,13.812172748810937,0.0009707813439889611
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,16000,9.482902556494398e+27,5.211327114672236e+19,2424122643.583912,1507907151236179.5,0.45490202167653115,13.812172748810937,0.0011553915678997864
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,18000,5.241975337347439e+25,5.218020061852834e+19,2565948959.816161,1509843767897232.0,0.8188236390177561,7.673429304894965,0.0010319539504332598
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,20000,5.7701653339415e+25,5.226299824214639e+19,2707821235.7401195,1512239532469513.5,0.27294121300591867,23.0202879146849,0.0011307991185605872
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,22000,6.34205241350369e+25,5.229035409144545e+19,2849761579.0349345,1513031079034880.0,0.45490202167653115,13.812172748810937,0.0011786155921591935
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,24000,6.907322655519095e+25,5.3157063923249185e+19,2993813253.6192703,1538109488519941.5,0.27294121300591867,23.0202879146849,0.0016930489861377326
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,26000,7.5173922611359825e+25,5.4615073516284805e+19,3141635278.5800977,1580297266096203.8,0.45490202167653115,13.812172748810937,0.0011635904963034063
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,28000,8.15603778253122e+25,5.49186266864812e+19,3291644755.3759575,1589080633289386.8,0.8188236390177561,7.673429304894965,0.0010220225155431815
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,30000,8.82289098288098e+25,5.525323886113902e+19,3443242005.592221,1598762698528328.2,1.1827452563589809,5.312374134158054,0.0010100625611971555
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,32000,9.518415953452382e+25,5.542079563711906e+19,3596825956.3557568,1603610984870343.0,0.8188236390177561,7.673429304894965,0.0010187784094276109
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,34000,1.024286084650451e+26,5.67696149294235e+19,3752263788.9453073,1642639320874522.5,0.45490202167653115,13.812172748810937,0.0010799060124554714
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,36000,1.0997124783172633e+26,5.699161952121101e+19,3911960573.294281,1649063064849855.5,0.27294121300591867,23.0202879146849,0.0011443860006409303
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,38000,1.1780335754690444e+26,5.737770643223478e+19,4073255768.314131,1660234561117904.5,0.45490202167653115,13.812172748810937,0.001164351603856891
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,40000,1.2593906711577236e+26,5.824275380245732e+19,4235117170.316324,1685264866969251.2,0.27294121300591867,23.0202879146849,0.000978127797177892
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,42000,1.3439211932675927e+26,5.872577805663234e+19,4400296636.568383,1699241263212741.2,0.27294121300591867,23.0202879146849,0.001130403325211343
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,44000,1.4315839782241699e+26,5.881935969029561e+19,4566024334.004334,1701949065112720.2,0.45490202167653115,13.812172748810937,0.0011633362792774864
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,46000,1.52245294842782e+26,5.887461674666112e+19,4731768551.927692,1703547938271444.5,0.8188236390177561,7.673429304894965,0.001110150331940123
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,48000,1.616500964223505e+26,5.919134206615827e+19,4897790738.602561,1712712444043931.5,0.27294121300591867,23.0202879146849,0.0011098160179228906
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,50000,1.7137535615983435e+26,5.939176544371579e+19,5064003847.114393,1718511731588998.5,0.27294121300591867,23.0202879146849,0.0009875610067379712
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,52000,1.8141994775135253e+26,5.953440728621043e+19,5230797968.658892,1722639099716736.8,0.27294121300591867,23.0202879146849,0.0012196486515457367
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,54000,1.917915567410772e+26,6.032244926007004e+19,5399448501.896462,1745441240164063.8,0.27294121300591867,23.0202879146849,0.0011250040880651435
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,56000,2.0247726002860026e+26,6.0340819900346925e+19,5568770452.426485,1745972798042445.8,0.8188236390177561,7.673429304894965,0.0011832797196112453
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,58000,2.1349115176387917e+26,6.059007478831723e+19,5738378000.633892,1753185034384179.0,0.27294121300591867,23.0202879146849,0.001284296952131995
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,60000,2.2481866129774996e+26,6.186620756593266e+19,5909974629.659062,1790110172625366.2,0.6368628303471435,9.8658376777221,0.0010959951094674763
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,62000,2.3649080177216718e+26,6.210726009715976e+19,6084339302.963467,1797085072255780.0,0.27294121300591867,23.0202879146849,0.0015094429433054868
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,64000,2.4851709132118767e+26,6.226310047723422e+19,6259848361.293325,1801594342512564.2,0.8188236390177561,7.673429304894965,0.0010953245903564577
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,66000,2.608917981635555e+26,6.21283091477619e+19,6435592330.767765,1797694130432925.2,1.0007844476883685,6.278260340368608,0.000976772310104211
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,68000,2.7360535257266497e+26,6.337044062779998e+19,6612523477.736408,1833635434832175.5,0.45490202167653115,13.812172748810937,0.0010347497871057642
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,70000,2.8667626453494186e+26,6.3691269324692e+19,6794757051.504432,1842918672589467.5,0.6368628303471435,9.8658376777221,0.0011651364690212689
M0576_N40_kappa1_pi0p990_seed2,correlated,576,40,0.5,1.0,0.99,72000,3.0011763769583793e+26,6.362439262944415e+19,6977120480.644342,1840983583027898.0,0.6368628303471435,9.8658376777221,0.0011732137468629044
