N,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
160,1.0,0.99,3,0.01607409073546069,0.015855928625601458,0.6332032414376203,1.3047633222915334e+19,16577486.166945776
160,1.0,0.9,1,0.4150478612049,0.38118511883069656,0.6332032414376203,-100998.98190307616,5.185039162821429
160,1.0,0.9,2,0.3477052206480757,0.3363781598482423,0.8141184532769403,-101046.7117614746,4.9990963314134715
160,1.0,0.9,3,0.015271842127627522,0.015762846597468495,0.9950336651162605,1.234546373197822e+19,16467573.69330662
16,0.0,0.99,1,0.0008083024560195248,0.002870931914508889,1.3642151721543765,-8988.103756904602,1.7115274102923417
16,0.0,0.99,2,0.0008920709392031437,0.0032796125921564535,1.3642151721543765,-8977.350777626038,1.7026753566827004
16,0.0,0.99,3,0.001000837096328113,0.0034192657810474176,1.3642151721543765,-8894.569926977158,1.6828516369644622
16,0.0,0.99,4,0.0008151202226286853,0.0028557895895364757,0.9744394086816974,-8893.22678565979,1.6905710118070585
16,0.0,0.9,1,0.0009181284167382666,0.003029301032043136,1.3642151721543765,-8999.734753608704,1.7051264793718153
16,0.0,0.9,2,0.0008249345033686606,0.003640846383070428,1.3642151721543765,-8920.15970993042,1.6669049085291476
16,0.0,0.9,3,0.0009409551700013896,0.002834945052762108,1.3642151721543765,-8828.1655960083,1.6958323293386774
16,0.0,0.9,4,0.0008795038512441174,0.0028637660500694896,1.3642151721543765,-8961.638553619385,1.686893341832547
16,0.3,0.99,1,0.000903746852093359,0.0034304437552455506,1.3642151721543765,-9003.359751701355,1.6896313580879363
16,0.3,0.99,2,0.0011981378131647898,0.003925091293485646,0.9744394086816974,-9240.522475242617,1.6913270052106906
16,0.3,0.99,3,0.001007925750268609,0.0027252724988239435,1.3642151721543765,-8922.390749454498,1.7093146594741466
16,0.3,0.99,4,0.0010878509412951994,0.002417916423751017,0.9744394086816974,-9031.979356765749,1.6759094570603577
16,0.3,0.9,1,0.0009557196715328504,0.003136624477096706,0.9744394086816974,-9175.996377944946,1.719998246288066
16,0.3,0.9,2,0.0009239655419389531,0.002739325184505235,1.3642151721543765,-8859.569614887238,1.6763051256947716
