pi,kappa,seed,contrast,SAA,E
0.5,0.0,1,0.004986623790985674,0.007535897605241948,-22662.384029388428
0.5,0.0,2,0.005266785620194157,0.010559238592639537,-22203.90030670166
0.5,0.0,3,0.0055225839292913255,0.01087800167493928,-22249.19834518433
0.5,0.0,4,0.005193935859561843,0.012697813423826199,-22221.376693725582
0.5,0.0,5,0.004486412815426151,0.012210448813555477,-22263.334316253666
0.5,0.3,1,0.005004619206935433,0.008672807932561817,-22595.349296569824
0.5,0.3,2,0.005466008438084598,0.008859007683201244,-22308.52321243286
0.5,0.3,3,0.004654866338208732,0.01178431862104409,-22224.628288269043
0.5,0.3,4,0.005258308177777,0.013712820564713199,-22100.906826019287
0.5,0.3,5,0.004869160746906978,0.011199363735690578,-22066.38584518433
0.5,0.6,1,0.005462795540490435,0.009338368632181656,-22717.806381225582
0.5,0.6,2,0.005671036601911645,0.01116420060125647,-22385.660816192627
0.5,0.6,3,0.0052212725396257546,0.010550557253405262,-22389.534255981445
0.5,0.6,4,0.005411777934256832,0.011713605248819802,-22325.23853302002
0.5,0.6,5,0.004441470684291449,0.013279239506206807,-22012.67422103882
0.5,0.8,1,0.0050676243485303675,0.009982199351859702,-22236.69711303711
0.5,0.8,2,0.005140709455122628,0.010042210815476954,-22475.86750793457
0.5,0.8,3,0.005418450919710971,0.009888629935865327,-22502.77326965332
0.5,0.8,4,0.004905252041315625,0.011926006935196805,-22145.084297180176
0.5,0.8,5,0.004688850247288474,0.013424566201633065,-22001.68204498291
0.5,0.9,1,0.005203287299794775,0.01095103668144078,-22463.554759979248
0.5,0.9,2,0.005073618469876936,0.009269001162718121,-22347.85306930542
0.5,0.9,3,0.005143910158918815,0.011316955784005177,-22308.90154647827
0.5,0.9,4,0.004784422300207102,0.01334844011352603,-22042.87880706787
0.5,0.9,5,0.004700831802121177,0.011898877399726714,-22120.861618041992
0.5,1.0,1,0.005780277674068847,0.009411552258152754,-22143.177543640137
0.5,1.0,2,0.005890257320851659,0.007264225646372813,-22743.854110717773
0.5,1.0,3,0.004965327595822283,0.011457458729369527,-22507.530632019043
0.5,1.0,4,0.004915676935388261,0.011014974878865326,-22454.732452392574
0.5,1.0,5,0.005638427017128902,0.010078667477403387,-22471.928146362305
0.7,0.0,1,0.005065681421181211,0.008130266410191316,-22622.07195663452
0.7,0.0,2,0.004365595705426862,0.010216461109772227,-22175.66656112671
0.7,0.0,3,0.004509747097072519,0.010670890370274794,-22061.44176864624
0.7,0.0,4,0.005367493976239114,0.014866905763270438,-22213.59009552002
0.7,0.0,5,0.0046261468834898345,0.011474119878073268,-22189.82847976685
0.7,0.3,1,0.006177706072203549,0.009715057193202535,-23016.95777130127
0.7,0.3,2,0.004465237118913728,0.012003437100594138,-22060.549823760983
0.7,0.3,3,0.005605268093338852,0.012230476012389581,-22346.688716888428
0.7,0.3,4,0.00597494058221356,0.013368531027308459,-22251.55882835388
0.7,0.3,5,0.005559789605951503,0.010748055584490832,-22017.5626411438
0.7,0.6,1,0.006252290545801748,0.01105566869780003,-22883.453357696533
0.7,0.6,2,0.0057191295809236615,0.010498442123990401,-22671.03890991211
0.7,0.6,3,0.006773738700485012,0.016237603074576223,-22933.10072517395
0.7,0.6,4,0.005491885354011983,0.013962804403791818,-22823.286026000977
0.7,0.6,5,0.006344393616925359,0.012639577878651534,-22811.867588043213
0.7,0.8,1,0.007855846476458827,0.011508282049052118,-23417.633029937744
0.7,0.8,2,0.006802752585694283,0.010301887011844077,-22813.231861114506
0.7,0.8,3,0.007132401407401741,0.01279955751854572,-22917.525100708008
0.7,0.8,4,0.007680322071943076,0.013136137868484388,-22917.505283355713
0.7,0.8,5,0.007849144257680168,0.012618635206486196,-23216.095615386963
0.7,0.9,1,0.009118851345140115,0.010457552135324816,-23707.925441741943
0.7,0.9,2,0.007742513676703953,0.011601301189797332,-23357.702186584473
0.7,0.9,3,0.008092151724714971,0.012883558856484126,-22937.853576660156
0.7,0.9,4,0.008939835057475257,0.014701290959513622,-23282.444480895996
0.7,0.9,5,0.0088676159293312,0.013488542414248572,-23392.477043151855
