pi,kappa,seed,contrast,SAA,E
0.7,1.0,1,0.007535094544129114,0.012554879509719497,-23543.97975921631
0.7,1.0,2,0.009021839508226487,0.011174836575254631,-23956.92395401001
0.7,1.0,3,0.009029438800013577,0.015694719895336436,-23638.902252197266
0.7,1.0,4,0.009114786449773723,0.012077886159659525,-23672.29672241211
0.7,1.0,5,0.010081583029416568,0.010839933243869889,-23459.734142303467
0.85,0.0,1,0.004606254873274018,0.00843234023043177,-22590.838844299316
0.85,0.0,2,0.0042913101591957985,0.010510606113296423,-22211.552570343018
0.85,0.0,3,0.005443981613899645,0.010444719186123717,-22389.704513549805
0.85,0.0,4,0.005206683710090382,0.014942231178133012,-22171.53482055664
0.85,0.0,5,0.004362957068772491,0.01292884814917548,-22209.87532043457
0.85,0.3,1,0.005063678194825234,0.009112866777268067,-22860.337699890137
0.85,0.3,2,0.006350013809227061,0.010658889117660043,-22784.335083007812
0.85,0.3,3,0.005447161874535174,0.013802047468885423,-22171.848232269287
0.85,0.3,4,0.005242351848796529,0.013570711094358933,-22389.14531326294
0.85,0.3,5,0.005208548365700773,0.01381311121986634,-22116.36912918091
0.85,0.6,1,0.007359650762138247,0.009714574553519165,-23778.863513946533
0.85,0.6,2,0.008547306485765106,0.012592497342916398,-23212.690711975098
0.85,0.6,3,0.011067283368610603,0.015993702958630302,-23247.906036376953
0.85,0.6,4,0.008659629065178786,0.018148223447412293,-22935.11410522461
0.85,0.6,5,0.007367005654486044,0.012829033460542783,-22983.103786468502
0.85,0.8,1,0.010190419107416401,0.011622448312042826,-24252.002700805664
0.85,0.8,2,0.010918612562343943,0.012219155763696213,-23422.668479919434
0.85,0.8,3,0.013518690257907568,0.015536562297307738,-24149.543087005615
0.85,0.8,4,0.011317786467066056,0.018750422074127478,-23972.179931640625
0.85,0.8,5,0.013731708428257354,0.017680667178298495,-23930.39842605591
0.85,0.9,1,0.012796930077616304,0.015508715628368263,-24570.36456680298
0.85,0.9,2,0.013974554388696606,0.015120808648963386,-24245.689403533936
0.85,0.9,3,0.018039500338531037,0.01883027929764558,-24663.98379135132
0.85,0.9,4,0.01566653505396287,0.02075016348348782,-24346.672843933105
0.85,0.9,5,0.016350019326573643,0.016448347664364878,-24366.391119003296
0.85,1.0,1,0.013059774516185188,0.01511725991427815,-24303.85859680176
0.85,1.0,2,0.019530457500937806,0.016447470271003184,-25572.61880493164
0.85,1.0,3,0.014844202720911071,0.016728391631484863,-24644.067417144775
0.85,1.0,4,0.016456995128889672,0.019572382139921473,-24722.31971359253
0.85,1.0,5,0.016187557211781896,0.018383530494775372,-24637.91639328003
0.95,0.0,1,0.005677025044466126,0.008111949207021667,-22802.16834640503
0.95,0.0,2,0.004689533195864792,0.010239836591279325,-22296.36492538452
0.95,0.0,3,0.005114358087436118,0.00973415709616593,-22327.462188720703
0.95,0.0,4,0.005865635057730741,0.01202348661076231,-22262.67121887207
0.95,0.0,5,0.004501817589015994,0.011948916855460045,-22078.644134521484
0.95,0.3,1,0.005381486582823809,0.01119960299985837,-22914.294540405273
0.95,0.3,2,0.005506269255068963,0.010529826786652964,-22577.910552978516
0.95,0.3,3,0.0057421081954197395,0.013408525509651872,-22784.715980529785
0.95,0.3,4,0.005608430151691293,0.01449262096081334,-22360.735954284668
0.95,0.3,5,0.005130625892914915,0.011070884102598107,-22524.181953430176
0.95,0.6,1,0.009599786414345909,0.014246469083738117,-24026.53588104248
0.95,0.6,2,0.010454451252116694,0.012564625010022918,-23313.384246826172
0.95,0.6,3,0.012014507028097844,0.013470926572656635,-23751.8245010376
0.95,0.6,4,0.009888183826019645,0.016249761708947312,-23612.731269836426
0.95,0.6,5,0.010848628898394701,0.015857000859257214,-23498.170333862305
0.95,0.8,1,0.015467979492956082,0.01696180096829456,-24762.71933364868
0.95,0.8,2,0.01649224678176509,0.016337243810053664,-24143.363960266113
0.95,0.8,3,0.01396796198794623,0.016007134109452724,-24245.812202453613
0.95,0.8,4,0.016265689075770886,0.020187719699359712,-24251.602336883545
0.95,0.8,5,0.019445557712659434,0.018781570275170873,-24823.507751464844
0.95,0.9,1,0.026512059312774783,0.023126681152834422,-25498.733291625977
0.95,0.9,2,0.027135401696560812,0.022864177601136702,-24980.03366470337
0.95,0.9,3,0.022139126476527347,0.020408674539999762,-25642.571216583252
0.95,0.9,4,0.023316081363115946,0.022464854960476045,-25189.46898651123
0.95,0.9,5,0.029167897585024936,0.024384451231728294,-25109.18128967285
0.95,1.0,1,0.027558693325930597,0.02387037751474788,-25716.444213867188
0.95,1.0,2,0.030817288958907334,0.025498502129419127,-26115.619482040405
0.95,1.0,3,0.026365332468638064,0.022276407495618725,-25505.55762863159
0.95,1.0,4,0.03723293923277193,0.02831510593957328,-26174.610843658447
0.95,1.0,5,0.02832919108324572,0.02577622472328859,-26084.158576965332
0.98,0.0,1,0.004584468880630594,0.007849049651807207,-22820.79225921631
0.98,0.0,2,0.004427043921839456,0.011681839194931536,-22186.96306991577
0.98,0.0,3,0.0050034785140673655,0.011696701462750494,-22129.66971206665
0.98,0.0,4,0.004898702361973262,0.013927094894528171,-21875.7197265625
0.98,0.0,5,0.004930023130476637,0.013213690036544098,-22274.975578308105
0.98,0.3,1,0.005644982086921893,0.00922404945407104,-23094.993812561035
0.98,0.3,2,0.0056775996949063835,0.013724833983050836,-22827.844345092773
0.98,0.3,3,0.00627053038973478,0.012869941186227921,-22863.443431854248
0.98,0.3,4,0.005659702395608504,0.013191537370527653,-22671.81113433838
0.98,0.3,5,0.006735743903270624,0.015365283896322057,-22575.791751861572
0.98,0.6,1,0.011582577535132383,0.010629998628601877,-24236.092945098877
0.98,0.6,2,0.012061903146357373,0.015065010376376076,-23796.40304946899
0.98,0.6,3,0.01246717341094115,0.013717138918009446,-24107.258583068848
0.98,0.6,4,0.010100466476625686,0.013786835510426901,-24096.755989074707
0.98,0.6,5,0.015889501978409524,0.019714100510545965,-24276.11964416504
0.98,0.8,1,0.016491160491001893,0.014901440829427131,-25164.666606903076
0.98,0.8,2,0.018607691405483972,0.01680789120489841,-24911.275007247925
0.98,0.8,3,0.016745608613228293,0.017705675020701542,-24825.447692871097
0.98,0.8,4,0.016004396482675123,0.01893917502059426,-25032.86446762085
0.98,0.8,5,0.030656478174632774,0.02545363282526509,-25333.784461975098
0.98,0.9,1,0.023100697853374805,0.019241177366325177,-26390.93793106079
0.98,0.9,2,0.027516359080695368,0.02451944164273997,-25388.99844455719
0.98,0.9,3,0.02490501316300177,0.020380486472188118,-25774.747444152832
0.98,0.9,4,0.021743100514934475,0.018551805003648537,-25902.05382347107
0.98,0.9,5,0.04685665525527651,0.036953946095337004,-26406.063285827637
0.98,1.0,1,0.02992862011024009,0.02130808891690464,-26421.61480331421
0.98,1.0,2,0.038118351255294065,0.02687889925575021,-27474.38553237915
0.98,1.0,3,0.04512435331459356,0.03541834453603143,-26675.79056930542
0.98,1.0,4,0.04124815776208646,0.028148954834163593,-26714.916221618652
0.98,1.0,5,0.041890427963537216,0.03358307367460763,-27123.24063873291
0.995,0.0,1,0.00501699782112762,0.00793784950046221,-22503.5588760376
0.995,0.0,2,0.004537736315424105,0.010268893577401978,-22035.56516647339
0.995,0.0,3,0.0047967069342651925,0.010287415438663784,-22183.268184661865
0.995,0.0,4,0.004491012532641664,0.01196573315452706,-22083.004306793213
0.995,0.0,5,0.004521666493677941,0.012873804080358906,-22198.318084716797
0.995,0.3,1,0.005737602777143455,0.007903157790103404,-22888.34746932983
0.995,0.3,2,0.006232511917137215,0.011280756799754347,-22650.824600219727
0.995,0.3,3,0.009362708825903194,0.014819989145258117,-22771.70523071289
0.995,0.3,4,0.005779887975380082,0.01584347386113335,-22534.396186828613
0.995,0.3,5,0.005628930595755784,0.014884480011280954,-22616.734375
0.995,0.6,1,0.011766387953590939,0.008031870789511775,-24629.81241798401
0.995,0.6,2,0.014005055225436856,0.01544101912638007,-24199.39096069336
0.995,0.6,3,0.01931242182021039,0.022095469458265717,-24088.23152923584
0.995,0.6,4,0.015960454119962705,0.02080149220361748,-23964.28313446045
0.995,0.6,5,0.012480921614096828,0.017910804490178955,-24067.68815612793
0.995,0.8,1,0.01629012835483138,0.010331677833345274,-26145.048542022705
0.995,0.8,2,0.026061475447040332,0.02253993505559975,-25507.66904449463
0.995,0.8,3,0.03649010475520845,0.03152796931702535,-25399.068733215332
0.995,0.8,4,0.02753867378637733,0.025219420386390228,-25594.549102783203
0.995,0.8,5,0.02194556287299104,0.025350345974675708,-25840.371829986572
0.995,0.9,1,0.01755860657841203,0.013271305390099972,-26414.048233032227
0.995,0.9,2,0.03189559830845974,0.022778186945688485,-26045.58777618408
0.995,0.9,3,0.04044232460307705,0.032833252160151594,-26185.370193481445
0.995,0.9,4,0.036585153962022325,0.0275309663235773,-25968.71513748169
0.995,0.9,5,0.025284140617736775,0.025724618794900882,-26568.729652404785
0.995,1.0,1,0.05419108458563824,0.033872006021406637,-27531.847564697266
0.995,1.0,2,0.044230299507326425,0.027922530549001866,-27862.92374420166
0.995,1.0,3,0.06572022495895495,0.046922249107354465,-27691.437072753903
0.995,1.0,4,0.05298094853231708,0.03840807585494565,-26988.045379638672
0.995,1.0,5,0.04979144250058419,0.037148530257406005,-27699.78957748413
0.999,0.0,1,0.0043785217463193854,0.007940067292315433,-22464.185932159424
0.999,0.0,2,0.004669283113204411,0.011892942752444458,-22325.940620422363
0.999,0.0,3,0.004960404505081051,0.009646244721149297,-22221.76861190796
0.999,0.0,4,0.005633426143625046,0.011965930197394815,-22327.23271560669
0.999,0.0,5,0.004652218538689126,0.012331411073945427,-22162.17961883545
0.999,0.3,1,0.006562906308283179,0.012560606205232427,-23107.793060302734
0.999,0.3,2,0.005273461020170204,0.009359019297859013,-22875.218368530273
0.999,0.3,3,0.006259626185745815,0.013230555780115819,-22702.515922546387
0.999,0.3,4,0.0058519963783659305,0.014806255002074564,-22721.791328430176
0.999,0.3,5,0.0073219805382111845,0.017086304565783052,-22854.108974456787
0.999,0.6,1,0.014489382453638708,0.017557296283197483,-24347.138259887695
0.999,0.6,2,0.01266561630560592,0.014287251705510508,-24536.27153968811
0.999,0.6,3,0.016227871018969,0.018961611313794775,-24282.276962280273
0.999,0.6,4,0.014887733431882325,0.018492633370666957,-23996.873722076416
0.999,0.6,5,0.02191975956959677,0.024968083689549697,-24044.553588867188
0.999,0.8,1,0.021588348398967224,0.02162177496068685,-25599.85626602173
0.999,0.8,2,0.02096197764473588,0.014144560095162411,-26127.95560836792
0.999,0.8,3,0.030934115567818873,0.025585379968989345,-25614.876781463623
0.999,0.8,4,0.023734653797260235,0.023178846032137407,-24818.574726104736
0.999,0.8,5,0.04118481571475536,0.035258779048892505,-25643.862957000732
0.999,0.9,1,0.032922534734906625,0.02739583306147967,-26090.15701675415
0.999,0.9,2,0.0317922632619084,0.020443394041910163,-27277.40037536621
0.999,0.9,3,0.03576503790740481,0.03160960484277676,-26135.791275024418
0.999,0.9,4,0.033411312379399906,0.028109646183674834,-25626.733879089355
0.999,0.9,5,0.04749468088436398,0.03974870392981937,-26572.406705856323
0.999,1.0,1,0.04685930712423403,0.0328708114561877,-27447.75737762451
0.999,1.0,2,0.037822846212666086,0.02208219750092556,-28271.780345916748
0.999,1.0,3,0.04906353385207815,0.03517461118511388,-27854.729866027832
0.999,1.0,4,0.0395608730960876,0.02733517592254031,-27242.931259155273
0.999,1.0,5,0.04157321066158634,0.031058397439876463,-28595.183212280273
0.99,0.0,1,0.00466467077008316,0.008534873224314253,-22452.379638671875
0.99,0.0,2,0.005117025524776357,0.010970723410892114,-22187.026294708252
0.99,0.0,3,0.004279450988607882,0.011971402601840257,-22124.752529144287
0.99,0.0,4,0.0052191044529860285,0.012098955171460939,-22216.412803649902
0.99,0.0,5,0.004418206969213507,0.011998591535883039,-22020.44402694702
0.99,0.3,1,0.006697448252958562,0.012926882903292348,-23307.29040145874
0.99,0.3,2,0.0062256386721770635,0.013246154717929028,-22517.450340270996
0.99,0.3,3,0.006196689630427574,0.012356381811953178,-22772.76970672607
0.99,0.3,4,0.005585419518887662,0.010843081258242137,-22783.922248840332
0.99,0.3,5,0.005692759658284946,0.013019579043508289,-22619.37351036072
0.99,0.6,1,0.021546769778060037,0.019531439905962115,-24899.53254890442
0.99,0.6,2,0.012594839783591985,0.015778951488998848,-23625.253715515137
0.99,0.6,3,0.01544360880064977,0.01604827542643283,-24305.841331481937
0.99,0.6,4,0.01091334762963125,0.014693001614914885,-24123.187828063965
0.99,0.6,5,0.0115904315511277,0.016709631624122735,-23975.06322479248
0.99,0.8,1,0.031664156537595134,0.026989344545974132,-25873.996028900143
0.99,0.8,2,0.022855862263214385,0.022283200465877517,-25275.091567993164
0.99,0.8,3,0.02710264225819657,0.02113080691361366,-25343.61371612549
0.99,0.8,4,0.019953113791476525,0.018342345267580856,-25623.24946975708
0.99,0.8,5,0.02425508757684076,0.022441402385058245,-25218.087162017822
0.99,0.9,1,0.04067069818564402,0.02986279273652818,-26623.01010131836
0.99,0.9,2,0.03327891506720928,0.027120233637231466,-26023.92169952393
0.99,0.9,3,0.03282981856335582,0.02253508561889838,-26000.782070159912
0.99,0.9,4,0.027438563059119358,0.021438445544573016,-26237.12038421631
0.99,0.9,5,0.03200453627447368,0.026107611141268583,-26413.2251663208
0.99,1.0,1,0.049511066825856424,0.03494096504703169,-27652.107948303223
0.99,1.0,2,0.047853076606264464,0.032258390259180036,-27238.08081817627
0.99,1.0,3,0.05189123393989662,0.040125571849309,-27039.437492370605
0.99,1.0,4,0.03163657838150953,0.022654310595554627,-26837.998779296875
0.99,1.0,5,0.04603988494861588,0.03428676752528415,-27504.097551345825
1.0,0.0,1,0.0050809569968429625,0.006933580991676995,-22689.706831932068
1.0,0.0,2,0.004657567567907897,0.009804461147435457,-22340.43910980225
1.0,0.0,3,0.005082700735086634,0.011222814674078398,-22095.9885635376
1.0,0.0,4,0.004853937022344679,0.012717886498336597,-22052.42436981201
1.0,0.0,5,0.004329406249897604,0.012034855556020898,-21929.68283843994
1.0,0.3,1,0.003945620641543798,0.004037031528173208,-23512.920974731445
1.0,0.3,2,0.012227012282994547,0.01970965706268828,-23011.53953933716
1.0,0.3,3,0.012425968220017692,0.018854122061436503,-23526.61456298828
1.0,0.3,4,0.0034954234908983082,0.005612938843778566,-23115.05170440674
1.0,0.3,5,0.0036261147335851264,0.005358643918325247,-22648.896270751953
1.0,0.6,1,0.0017452282772257419,0.0012654342309867711,-26019.323318481445
1.0,0.6,2,0.024692344830859376,0.028983661153373346,-25340.34922027588
1.0,0.6,3,0.024417375680252842,0.027819496858675706,-25688.0991897583
1.0,0.6,4,0.0017782453165691072,0.0019062445042150257,-25625.301887512207
1.0,0.6,5,0.0015448835883699378,0.001450387608860366,-25261.661491394043
1.0,0.8,1,0.0005545140359660445,0.00034310063638194377,-29109.972381591797
1.0,0.8,2,0.02754911511884847,0.02964185361920303,-28009.670643806458
1.0,0.8,3,0.03126215233194625,0.033318614135898976,-28578.785079956055
1.0,0.8,4,0.0005945728670185228,0.0005117602080511004,-28430.104530334473
1.0,0.8,5,0.000612672970782603,0.00044767094747406053,-28068.65867614746
1.0,0.9,1,0.0002445920592362764,0.00014507748120510703,-30945.940307617188
1.0,0.9,2,0.035560129785724974,0.0369824469383472,-30052.849098205566
1.0,0.9,3,0.03569034338621899,0.036508693534566185,-30349.41446685791
1.0,0.9,4,0.00026400027730491137,0.000190579877065307,-29820.55149841309
1.0,0.9,5,0.00024312895173505733,0.000165823949686305,-30029.42744255066
1.0,1.0,1,0.0,0.0,-32493.07900238037
1.0,1.0,2,0.030267282224401244,0.030267282224401244,-33100.966163635254
1.0,1.0,3,0.04743699954307469,0.04743699954307469,-31949.37543487549
1.0,1.0,4,0.0,0.0,-32776.204219818115
1.0,1.0,5,0.0,0.0,-32346.89470672607
