kappa,eps,seed,contrast,SAA,E
0.5,0.005,1,0.005464635386413495,0.016222093432235747,-23316.278476715088
0.5,0.005,2,0.005703199953828895,0.017611487280192004,-23106.24929046631
0.5,0.005,3,0.007567396790136915,0.016758259973187632,-23176.9340133667
0.5,0.005,4,0.005950661497976517,0.019326961697212614,-22531.00717163086
0.5,0.005,5,0.005710819142704701,0.01825243814577471,-22845.191926956177
0.5,0.01,1,0.006206373014635601,0.01418131144493479,-22962.11346054077
0.5,0.01,2,0.007192330814068903,0.013570440270844919,-22733.373905181885
0.5,0.01,3,0.00796502664639136,0.014889854063762791,-22972.384796142574
0.5,0.01,4,0.009149686776298965,0.019542589795894627,-22663.22222137451
0.5,0.01,5,0.006571872943090353,0.016917924243744855,-22333.12424468994
0.5,0.02,1,0.006805305051877143,0.014054290785722076,-22889.370864868164
0.5,0.02,2,0.007625720128189001,0.01247519248423341,-23107.80960083008
0.5,0.02,3,0.00860034218340404,0.014262755401022986,-22861.003479003903
0.5,0.02,4,0.007683260416839692,0.016910067067593473,-22710.32632446289
0.5,0.02,5,0.007301703849213437,0.01410229684813077,-22539.164741516113
0.5,0.03,1,0.006888762567583586,0.013295261542653614,-22969.65831375122
0.5,0.03,2,0.0077408326216656794,0.012097486374172184,-22741.01414489746
0.5,0.03,3,0.008784096827638036,0.014127731330427957,-22940.04355239868
0.5,0.03,4,0.00927555401159269,0.01836505892102517,-22738.46768951416
0.5,0.03,5,0.007728362118054193,0.01369189642994011,-22583.67003250122
0.5,0.04,1,0.007461548733154717,0.014085225196521422,-23184.29931640625
0.5,0.04,2,0.007905532906372652,0.01093447393687037,-23033.550231933594
0.5,0.04,3,0.008254164863448977,0.014868166396656965,-23172.795902252197
0.5,0.04,4,0.007624611244792164,0.016460845439641564,-22780.73289489746
0.5,0.04,5,0.007150362450385321,0.015111227887270684,-22605.20644378662
0.5,0.05,1,0.007994681632132345,0.012719141105468975,-23462.82725906372
0.5,0.05,2,0.008410467888575952,0.010513364631665807,-22863.99877166748
0.5,0.05,3,0.009428313230102778,0.01460176652379185,-23115.32583618164
0.5,0.05,4,0.008243785440178937,0.016815226378190558,-23003.619331359863
0.5,0.05,5,0.007683053071882148,0.011363192382412866,-22819.050979614258
0.5,0.07,1,0.007789631617650006,0.013346762850165218,-23186.40211868286
0.5,0.07,2,0.007611925596881358,0.011285899593913651,-22952.060401916504
0.5,0.07,3,0.008482026442869824,0.013911320373458328,-23078.999660491943
0.5,0.07,4,0.008981123641851545,0.01456559943688939,-23222.093780517574
0.5,0.07,5,0.008087898897870231,0.012260813941629232,-22806.35308074951
0.5,0.1,1,0.006759917057723941,0.013263623622999644,-23313.634956359863
0.5,0.1,2,0.007712071503808426,0.012047354049605967,-23503.96724319458
0.5,0.1,3,0.008479292893904805,0.013010206622364833,-23293.200382232662
0.5,0.1,4,0.008711503908313946,0.016118871911038467,-23284.212841033936
0.5,0.1,5,0.006849688151642943,0.013750477176349626,-22525.59724998474
0.5,0.15,1,0.006108878777934241,0.011774598742924584,-23902.326110839844
0.5,0.15,2,0.006969675789467358,0.01085134661678542,-23549.23733520508
0.5,0.15,3,0.00822970327012127,0.013999717367739745,-23589.170608520508
0.5,0.15,4,0.006522509547421973,0.015321873317250104,-23277.12816619873
0.5,0.15,5,0.006406439708293562,0.013207685045152084,-23326.05214691162
0.7,0.005,1,0.007619062966698349,0.018375177130695693,-23577.08724975586
0.7,0.005,2,0.008567830598739275,0.015382440600074177,-23815.82804107666
0.7,0.005,3,0.009969955317802592,0.022254129961434554,-23376.82462310791
0.7,0.005,4,0.013707714356225552,0.02153763387649749,-23762.523468017574
0.7,0.005,5,0.011569949051807896,0.01660373408370495,-23768.163665771484
0.7,0.01,1,0.009093939281096667,0.013536752938586083,-23407.91628265381
0.7,0.01,2,0.010901571955186908,0.016189153541752856,-23549.875148773193
0.7,0.01,3,0.01240720722477825,0.019586493854140304,-23420.92138671875
0.7,0.01,4,0.015694988465628314,0.01943855418589375,-23752.02166748047
0.7,0.01,5,0.01237669501454425,0.015325398146784597,-23240.714195251465
0.7,0.02,1,0.009932018599993993,0.01419413640650909,-23532.020168304443
0.7,0.02,2,0.012224642999729474,0.012528289619468886,-23924.86096000671
0.7,0.02,3,0.012642757091199282,0.019098044685224577,-23261.09587860107
0.7,0.02,4,0.014866679778654147,0.019944292977176727,-23415.566577911377
0.7,0.02,5,0.012338741528697723,0.012399694477478584,-23487.753303527832
0.7,0.03,1,0.010239459866959611,0.017299354980805964,-23491.0901260376
0.7,0.03,2,0.010824059261083038,0.014569701185475032,-23692.47243499756
0.7,0.03,3,0.015257520542224873,0.018927515044410998,-23721.674278259277
