T_q,kappa,contrast_peak,contrast_std,SAA_peak,SAA_at_kc,SAB_at_kc,E_final,n
0.4,0.0,0.0054919225110677886,0.0005460498891855009,0.012569450316875284,0.0035709268561238336,-0.0019209956549439552,-22780.614837646484,4
0.4,0.1,0.0054667143105839745,0.0004451483798227534,0.013094945816945801,0.0035517652852347635,-0.0019149490253492112,-22809.857523918152,4
0.4,0.2,0.005976306055958717,0.0006732822117431213,0.012459143221067002,0.0038177009982937166,-0.0021586050576649996,-22972.549880981445,4
0.4,0.3,0.006376648249072208,0.0003542722657018018,0.013108210063182243,0.0040091018364435075,-0.0023675464126287,-23195.28076171875,4
0.4,0.4,0.007018178103466063,0.0008382899539207381,0.013716238743812517,0.009065142395802453,0.002046964292336391,-23209.442930221558,4
0.4,0.5,0.008015446603566168,0.00037036422135853467,0.014301606181496937,0.008960453726720205,0.0009450071231540368,-23617.771209716797,4
0.4,0.6,0.010635641146780755,0.0015176148979738945,0.01564330650804963,0.010305408472036426,-0.0003302326747443281,-24035.06774711609,4
0.6,0.0,0.005671368733446761,0.0006990501371897594,0.012218269468005305,0.003667716448556225,-0.0020036522848905364,-22798.967348098755,4
0.6,0.1,0.005483148747199993,0.00030540752492654553,0.012975449481120595,0.003615758317258905,-0.0018673904299410882,-22754.558347702026,4
0.6,0.2,0.005923022516897306,0.0003736838460229301,0.012951419006545294,0.0038088990039495227,-0.002114123512947783,-22936.332109451294,4
0.6,0.3,0.006314930241241488,0.0006925147270386699,0.013194193788717098,0.004423949387452081,-0.0018909808537894064,-23209.867542266846,4
0.6,0.4,0.007151650560853186,0.0010684848590816146,0.013383050354151686,0.007874283339274098,0.0007226327784209117,-23306.53773880005,4
0.6,0.5,0.008604768864341568,0.0008136452626661602,0.015164619455813043,0.009395242409149827,0.0007904735448082591,-23719.06308364868,4
0.6,0.6,0.011440145167439478,0.002166923134901507,0.014885704224396347,0.01097235786770474,-0.0004677872997347367,-24131.544466018677,4
0.7,0.0,0.005716057562704912,0.0004025131102655015,0.01199939734504535,0.0037770865531972894,-0.0019389710095076224,-22687.031744003296,4
0.7,0.1,0.005747497609759309,0.00022703057976938758,0.012846680491451561,0.0037773756388985932,-0.0019701219708607156,-22819.4773273468,4
0.7,0.2,0.005933235128217111,0.0005433923852339704,0.013196768095080727,0.0037774414872059963,-0.0021557936410111136,-22873.816534996033,4
0.7,0.3,0.006681972614871804,0.00018698106131784638,0.01371437084844632,0.004118205240952993,-0.0025637673739188115,-23146.5867729187,4
0.7,0.4,0.007042022346693986,0.0004583737787129723,0.013725527891758942,0.00822796506927973,0.0011859427225857436,-23428.50802898407,4
0.7,0.5,0.008818691925416969,0.0008023470590961018,0.014468480601994588,0.007029758894220358,-0.00178893303119661,-23604.93057346344,4
0.7,0.6,0.01095877542561155,0.002219281418858725,0.015415280188384667,0.010688466179156277,-0.00027030924645527344,-24039.34925842285,4
0.85,0.0,0.005709546117421734,0.0004690018142857649,0.012771905899551536,0.00373033559154769,-0.0019792105258740434,-22762.09481048584,4
0.85,0.1,0.006131734208245821,0.0002402058351918348,0.012212422691671524,0.003928153632283326,-0.0022035805759624957,-22892.957239151,4
0.85,0.2,0.006421272534074168,0.0008545076193137426,0.012787518660562262,0.004054889133634096,-0.0023663834004400727,-22978.50754737854,4
0.85,0.3,0.0063159565741990305,0.0006600674378225075,0.012959611623680872,0.007458274651177451,0.0011423180769784208,-23034.205609321594,4
0.85,0.4,0.007006315255931468,0.0011682309341171089,0.013583655107495988,0.008557379146432249,0.0015510638905007808,-23287.914318084717,4
0.85,0.5,0.009087347417461498,0.0010867892775646329,0.014615108016790791,0.009472652673983839,0.00038530525652234033,-23712.696138381958,4
0.85,0.6,0.010635450753955509,0.002127041063538194,0.014945322410850167,0.01050192700421651,-0.0001335237497389983,-23809.829706192017,4
1.0,0.0,0.005662499397371728,0.0007220626619679063,0.01220937854832798,0.00367838662382171,-0.001984112773550018,-22790.670614242554,4
1.0,0.1,0.005797280722224685,0.00016953088466578256,0.012219602174156637,0.0038131175532421747,-0.00198416316898251,-22843.557844161987,4
1.0,0.2,0.006312606956554362,0.0005573018740809521,0.012871191811791602,0.003937355829552893,-0.0023752511270014685,-23099.436492919922,4
1.0,0.3,0.006493908220926372,0.0009676470572282057,0.012423181029370529,0.004418852645345465,-0.0020750555755809073,-23156.649733543396,4
1.0,0.4,0.007268117265424761,0.0010158399551036318,0.01384082048297712,0.008650167458313505,0.0013820501928887429,-23249.254915237427,4
1.0,0.5,0.008658307414703234,0.0007704373827446523,0.01596273777663084,0.009159370349548085,0.0005010629348448507,-23571.862042427063,4
1.0,0.6,0.01047497597126906,0.001579014114569464,0.015359100322788265,0.010512474911993457,3.7498940724397644e-05,-24112.284197807312,4
1.3,0.0,0.0058582178451186216,0.0002391998265253835,0.012713390660565774,0.0037550790546880173,-0.0021031387904306043,-22822.53143119812,4
1.3,0.1,0.006044863271607045,0.0006240275360744638,0.011606200365710431,0.0038833657422917794,-0.002161497529315266,-22997.032442092896,4
1.3,0.2,0.006317155538107729,0.0004581687698098782,0.012884506753428846,0.003981167862381014,-0.0023359876757267153,-23058.49652671814,4
1.3,0.3,0.006479474212403108,0.000441821748555017,0.012544033117135471,0.004471798647440732,-0.002007675564962377,-23159.144337654114,4
1.3,0.4,0.007415520481283943,0.0013522045517050218,0.01357250638370676,0.008964362162062558,0.0015488416807786145,-23232.21125984192,4
1.3,0.5,0.008121289989340752,0.0008424100084859091,0.01445920305490133,0.006322499085709237,-0.0017987909036315144,-23677.59077835083,4
