kappa,T_q,seed,k_star_contrast,contrast_peak,SAA_peak,SAA_at_kc,SAB_at_kc,E_final,Rg_final
0.0,0.4,1,1.28519699465037,0.0052065103366107,0.015230804211082393,0.003490586143250103,-0.0017159241933605972,-22561.334365844727,1.5205412410696388
0.0,0.4,2,1.28519699465037,0.005648257108902191,0.011569175206727376,0.0036161366898279403,-0.0020321204190742507,-22932.238723754883,1.499409838865858
0.0,0.4,3,1.28519699465037,0.004931849292515378,0.014028722209359582,0.003476386336331464,-0.0014554629561839138,-22294.494972229004,1.4887867486041486
0.0,0.4,4,1.28519699465037,0.006181073306242886,0.009449099640331787,0.003700598255085826,-0.0024804750511570593,-23334.391288757324,1.5005113828855978
0.0,0.6,1,1.28519699465037,0.005322095719222169,0.013517030339743349,0.003478346388884004,-0.001843749330338164,-22617.500915527344,1.5066602671509828
0.0,0.6,2,1.28519699465037,0.00526315968811048,0.00844373162164538,0.003460025426914113,-0.0018031342611963673,-22808.40468597412,1.513865481475135
0.0,0.6,3,1.28519699465037,0.005382840145877178,0.01516741654095701,0.0034967918209544064,-0.0018860483249227723,-22800.93514251709,1.501293190831837
0.0,0.6,4,1.28519699465037,0.006717379380577217,0.011744899369675479,0.004235702157472376,-0.002481677223104841,-22969.028648376465,1.5001114621895104
0.0,0.7,1,1.28519699465037,0.005408818578038391,0.014516316498056837,0.0035271162239305523,-0.001881702354107838,-22611.4926071167,1.505690321296551
0.0,0.7,2,1.28519699465037,0.006020564595499439,0.010191511467785241,0.004014869344381024,-0.0020056952511184147,-22721.31820678711,1.5112633779041489
0.0,0.7,3,1.28519699465037,0.00533081886115623,0.014477519565140404,0.0035408099792808554,-0.0017900088818753744,-22541.72521972656,1.5014768286488314
0.0,0.7,4,1.28519699465037,0.006104028216125589,0.008812241849198916,0.004025550665196726,-0.002078477550928863,-22873.590942382812,1.5055775326373666
0.0,0.85,1,1.28519699465037,0.005746004098189638,0.014492624043820807,0.0038375706520985264,-0.0019084334460911113,-22577.591102600098,1.503252575129184
0.0,0.85,2,1.28519699465037,0.0053252336021658315,0.008234902877027217,0.00359985699439246,-0.0017253766077733718,-22847.394737243652,1.49558425277156
0.0,0.85,3,1.28519699465037,0.0054089412871822775,0.016098438703405153,0.0035351094225916243,-0.0018738318645906533,-22580.260734558105,1.4951009709968752
0.0,0.85,4,1.28519699465037,0.0063580054821491885,0.012261657973952967,0.00394880529710815,-0.0024092001850410383,-23043.132667541504,1.5117173813552285
0.0,1.0,1,1.28519699465037,0.004579449946646958,0.01377102847311299,0.0031053276420041145,-0.001474122304642843,-22404.33381652832,1.5005121481334835
0.0,1.0,2,1.28519699465037,0.006014808876411731,0.008844536509400754,0.003832966046773416,-0.002181842829638315,-22880.536460876465,1.5050940317806387
