eps,kappa,pi,seed,contrast,SAA,k_star_c,E,Rg
0.0001,0.5,0.99,1,0.006949207332038345,0.021481336212320304,0.7139983303613167,-27831.828155517574,2.374170171946319
0.0001,0.5,0.99,2,0.004806374188023287,0.023074667420929472,0.7139983303613167,-27172.665824890137,2.3894880082998995
0.0001,0.5,0.99,3,0.00759065653964207,0.021783473167257768,0.7139983303613167,-27935.453491210938,2.363598279327125
0.0001,0.5,0.99,4,0.002808834541022381,0.02190043280105313,0.9995976625058433,-27321.06698989868,2.294893624788523
0.0001,0.5,0.9,1,0.002096596714421266,0.020761066652128887,0.9995976625058433,-28311.46800994873,2.3810528397839565
0.0001,0.5,0.9,2,0.0038607093404359402,0.02449154226099145,0.7139983303613167,-27284.230953216553,2.409095243318604
0.0001,0.5,0.9,3,0.003109684748102975,0.02452623723616048,0.9995976625058433,-27332.793949127197,2.3764519837503255
0.0001,0.5,0.9,4,0.0027070575333180795,0.024097138523034793,0.7139983303613167,-28210.02833557129,2.3340346508562706
0.0001,0.7,0.99,1,0.012496861088199997,0.02554575238194732,0.7139983303613167,-28024.62724685669,2.4087920519579846
0.0001,0.7,0.99,2,0.01255669889983527,0.031015701609247253,0.7139983303613167,-27132.95472717285,2.3769125735323184
0.0001,0.7,0.99,3,0.011547566277526735,0.025799983007800353,0.7139983303613167,-27244.079399108887,2.358628075911951
0.0001,0.7,0.99,4,0.005182574515557116,0.016515605740972793,0.9995976625058433,-27652.341598510742,2.309680649901308
0.0001,0.7,0.9,1,0.002830126320807906,0.021176995818772276,0.9995976625058433,-28413.482612609863,2.3708560119017292
0.0001,0.7,0.9,2,0.006658254803333749,0.025955909006783677,0.7139983303613167,-27329.64647102356,2.3852506538694
0.0001,0.7,0.9,3,0.009129468284087946,0.028803294122876955,0.7139983303613167,-27380.98964691162,2.3314383938249117
0.0001,0.7,0.9,4,0.006533118118222332,0.026264152530786556,0.7139983303613167,-27251.22045135498,2.326087858751724
0.0001,0.95,0.99,1,0.028286706774013435,0.027938993433617172,0.7139983303613167,-28574.83047103882,2.4088652112492404
0.0001,0.95,0.99,2,0.022898418846137206,0.028248411958690166,0.7139983303613167,-27713.97038269043,2.4272282975985107
0.0001,0.95,0.99,3,0.027007740747207267,0.028272170874721187,0.7139983303613167,-27542.9754486084,2.379758135884226
0.0001,0.95,0.99,4,0.01757535724309732,0.02178540274988176,0.7139983303613167,-27615.310539245605,2.3150970770869304
0.0001,0.95,0.9,1,0.005176181093788385,0.02435694513988672,0.7139983303613167,-28243.037704467773,2.379828961715621
0.0001,0.95,0.9,2,0.008465942299530151,0.024174468495403632,0.7139983303613167,-27313.15008163452,2.4067700224026947
0.0001,0.95,0.9,3,0.014142468313861636,0.03126005772795506,0.7139983303613167,-27636.374111175537,2.4045438045333967
0.0001,0.95,0.9,4,0.011676244686723798,0.025159146137046916,0.7139983303613167,-26965.15293121338,2.3993177192748028
0.0001,0.9,0.99,1,0.024362008206594836,0.027020319645248363,0.7139983303613167,-28572.680938720703,2.3883828096650817
0.0001,0.9,0.99,2,0.022963820292690527,0.03364172178215974,0.7139983303613167,-27254.15929222107,2.4195792169656167
0.0001,0.9,0.99,3,0.024794742611420072,0.027099148027473947,0.7139983303613167,-27503.103260040283,2.390220234192879
0.0001,0.9,0.99,4,0.01245596446837665,0.01940391425383861,0.7139983303613167,-27784.11580657959,2.3366983616291543
0.0001,0.9,0.9,1,0.005698729401588571,0.026157886115449436,0.7139983303613167,-27996.56739807129,2.40894235076619
0.0001,0.9,0.9,2,0.008679542939635014,0.023509309023509666,0.7139983303613167,-27437.49240875244,2.443108371296427
0.0001,0.9,0.9,3,0.01054542074761956,0.028405391824624038,0.7139983303613167,-27423.04875946045,2.4015619206472008
0.0001,0.9,0.9,4,0.010678043499697441,0.025713197723489945,0.7139983303613167,-27763.115898132324,2.367537518172734
0.0001,1.0,0.99,1,0.03659878273656258,0.0343721546981518,0.7139983303613167,-28881.91328430176,2.4239292597628377
0.0001,1.0,0.99,2,0.031631887690953604,0.029275657786302665,0.7139983303613167,-28431.67348480225,2.320179246901753
0.0001,1.0,0.99,3,0.041347310106379875,0.04107085588700334,0.7139983303613167,-28674.91428375244,2.3651203930717597
0.0001,1.0,0.99,4,0.037000096020437925,0.03437477307761801,0.7139983303613167,-28207.4983291626,2.433575275973986
0.0001,1.0,0.9,1,0.00870271541083439,0.024224209061190254,0.7139983303613167,-27428.52708053589,2.3743123165855957
0.0001,1.0,0.9,2,0.0183456874467683,0.027086104255161114,0.7139983303613167,-28322.63084411621,2.359455971707591
0.0001,1.0,0.9,3,0.011923848478784829,0.022216304344571038,0.7139983303613167,-27104.294136047363,2.4211884010791938
0.0001,1.0,0.9,4,0.009250742769922878,0.02631248579790498,0.7139983303613167,-27610.72959136963,2.482599807684859
0.0005,0.5,0.99,1,0.009463046297411536,0.024459194728424286,0.7139983303613167,-26348.299072265625,2.3881726902219538
0.0005,0.5,0.99,2,0.008949435471021467,0.025968564904283137,0.7139983303613167,-25834.934364318848,2.4108338127078404
0.0005,0.5,0.99,3,0.007361777868238325,0.020207362163143484,0.7139983303613167,-26345.76298904419,2.38399090669356
0.0005,0.5,0.99,4,0.003366293379860022,0.016274872080824388,0.9995976625058433,-25857.647762298584,2.354993429522829
0.0005,0.5,0.9,1,0.0024755315365089636,0.01666218732483607,0.9995976625058433,-26723.463760375977,2.432603428517762
0.0005,0.5,0.9,2,0.0043003679963608335,0.02565603683357427,0.7139983303613167,-25911.17559432983,2.379567081594052
0.0005,0.5,0.9,3,0.0038221031681873185,0.024647694865001256,0.7139983303613167,-25936.54264831543,2.397546736677368
0.0005,0.5,0.9,4,0.00320220200133211,0.020695979818362506,0.9995976625058433,-26161.155128479004,2.327704534007174
0.0005,0.7,0.99,1,0.017437551496057406,0.026874427058437095,0.7139983303613167,-26294.91770172119,2.4335806797507376
0.0005,0.7,0.99,2,0.014041889630705233,0.025240966856148912,0.7139983303613167,-25802.13409423828,2.4122899650825484
0.0005,0.7,0.99,3,0.013944830441592988,0.02154526044953114,0.7139983303613167,-26199.04180908203,2.3845317054194055
0.0005,0.7,0.99,4,0.0075421038220244326,0.018279070071246538,0.7139983303613167,-26411.055545806885,2.2972914524558714
0.0005,0.7,0.9,1,0.0038484357425869874,0.02101907549658121,0.9995976625058433,-26493.618869781498,2.405079364595915
0.0005,0.7,0.9,2,0.004475721090009432,0.02259104770711064,0.7139983303613167,-26195.905475616455,2.409349959776201
0.0005,0.7,0.9,3,0.009825939278247403,0.028590410856949217,0.7139983303613167,-25874.260372161865,2.397492474638279
0.0005,0.7,0.9,4,0.005111162557459376,0.023071026611389798,0.7139983303613167,-25857.461540222168,2.395324343075234
0.0005,0.95,0.99,1,0.03946039415215532,0.032931087800931444,0.7139983303613167,-27834.7938041687,2.434794042147535
0.0005,0.95,0.99,2,0.0313979437784755,0.03399020958423744,0.7139983303613167,-27107.50745201111,2.453594583538992
0.0005,0.95,0.99,3,0.03266331501515423,0.02896712134549172,0.7139983303613167,-27066.23252105713,2.39434670358934
0.0005,0.95,0.99,4,0.026083604705772305,0.02458229159987231,0.7139983303613167,-27213.706693649292,2.3223122905074627
0.0005,0.95,0.9,1,0.0074906031409068975,0.018906416745038644,0.9995976625058433,-26715.323989868164,2.449949281084864
0.0005,0.95,0.9,2,0.00958804911471613,0.019297767396659293,0.9995976625058433,-26191.36243057251,2.430835468476952
0.0005,0.95,0.9,3,0.015739058830827803,0.026696976141905825,0.7139983303613167,-26451.559112548828,2.467603580305869
0.0005,0.95,0.9,4,0.014721321778403216,0.023382789942728487,0.7139983303613167,-26064.225875854492,2.413692927920869
0.0005,0.9,0.99,1,0.03135463232181852,0.028961749137322884,0.7139983303613167,-27676.142204284668,2.4382724118072283
0.0005,0.9,0.99,2,0.026627218322791236,0.02970763832868415,0.7139983303613167,-26688.12351989746,2.441636169294811
0.0005,0.9,0.99,3,0.029483442836061212,0.02767180870486769,0.7139983303613167,-26826.122604370117,2.398248777471105
0.0005,0.9,0.99,4,0.020193559865190128,0.02209887365171332,0.7139983303613167,-26640.80929946899,2.3470078638702856
0.0005,0.9,0.9,1,0.0071230630059063785,0.020101368829443945,0.9995976625058433,-26576.126953125,2.4546891011083876
0.0005,0.9,0.9,2,0.008288108703617927,0.0185122344777889,0.9995976625058433,-25999.19192790985,2.447309902135554
0.0005,0.9,0.9,3,0.014399464778970165,0.02612486541508317,0.7139983303613167,-26337.73124694824,2.4265326228084447
0.0005,0.9,0.9,4,0.011843543750997217,0.023609634183409556,0.7139983303613167,-25892.949954986572,2.437704458410784
0.0005,1.0,0.99,1,0.0436118960174732,0.03621118651030848,0.7139983303613167,-28279.94354629517,2.441683330692124
0.0005,1.0,0.99,2,0.04284489412186354,0.033377737832479604,0.7139983303613167,-28083.624897003177,2.3666525443763544
0.0005,1.0,0.99,3,0.04701789176972099,0.0398694500151044,0.7139983303613167,-28248.80583190918,2.3929645161054705
0.0005,1.0,0.99,4,0.03869204745288483,0.031717901783165345,0.7139983303613167,-27934.543991088867,2.478656442972877
0.0005,1.0,0.9,1,0.010664755853358826,0.025061426825442445,0.7139983303613167,-25712.33576202393,2.450378686681624
0.0005,1.0,0.9,2,0.023268642896412787,0.028933393011537155,0.7139983303613167,-26559.67134475708,2.4129926950519747
0.0005,1.0,0.9,3,0.01386565367365825,0.02438361339698699,0.7139983303613167,-25782.24082183838,2.421413236488942
0.0005,1.0,0.9,4,0.010940763322021419,0.025689949019952786,0.7139983303613167,-26117.087368011475,2.5315487424196945
0.001,0.5,0.99,1,0.011714714735701764,0.02436589055124935,0.7139983303613167,-25613.449825286865,2.4247736033154235
0.001,0.5,0.99,2,0.008829853363176196,0.022576493701203636,0.7139983303613167,-25022.288120269775,2.4219511386693693
0.001,0.5,0.99,3,0.008559437740387355,0.019669811456365878,0.7139983303613167,-25443.609783172607,2.396215178307778
0.001,0.5,0.99,4,0.004448421273774885,0.01573499817982347,0.9995976625058433,-25299.189609527588,2.353620737026807
0.001,0.5,0.9,1,0.003583900910988449,0.015159866717126524,0.7139983303613167,-26107.57855415344,2.4342080183807147
0.001,0.5,0.9,2,0.00386076440651454,0.020897100738570977,0.7139983303613167,-24872.31111907959,2.401796286952261
0.001,0.5,0.9,3,0.004842188373522732,0.018632732280081627,0.9995976625058433,-25195.6083984375,2.388355792268081
0.001,0.5,0.9,4,0.004994648647520198,0.023243043420153566,0.7139983303613167,-25065.68377685547,2.3631666296590894
0.001,0.7,0.99,1,0.020389656761937092,0.0272214362283216,0.7139983303613167,-26149.069786071777,2.4225865756818425
0.001,0.7,0.99,2,0.015846383539286017,0.024319906147726545,0.7139983303613167,-25405.65956878662,2.4399934344105247
0.001,0.7,0.99,3,0.016021226991904086,0.02079746829208643,0.7139983303613167,-26074.79319000244,2.415513781618634
0.001,0.7,0.99,4,0.00820268224728412,0.016036574235383155,0.9995976625058433,-25379.874309539795,2.3249091241561666
0.001,0.7,0.9,1,0.00540374910956545,0.01691717559694835,0.7139983303613167,-25410.43537139893,2.4635746062624215
0.001,0.7,0.9,2,0.00570300524333964,0.02047620738368832,0.9995976625058433,-24774.52569580078,2.4438279968833223
0.001,0.7,0.9,3,0.008501188284367992,0.02332308532784701,0.7139983303613167,-25129.431121826172,2.3522590393494744
0.001,0.7,0.9,4,0.008769726417007852,0.023883652398622966,0.7139983303613167,-25442.679237365723,2.368905049307126
0.001,0.95,0.99,1,0.039723728200282395,0.03235689344409955,0.7139983303613167,-27647.237144470215,2.436845148324745
0.001,0.95,0.99,2,0.03136264243134322,0.029825677107087927,0.7139983303613167,-27019.099292755127,2.4367785845262326
0.001,0.95,0.99,3,0.03706048248787831,0.028650814760110783,0.7139983303613167,-27088.322618484497,2.422315608463066
0.001,0.95,0.99,4,0.03164843431548697,0.028461839351854052,0.7139983303613167,-26695.13712310791,2.37818838333016
0.001,0.95,0.9,1,0.008713230199667745,0.01924298027818184,0.9995976625058433,-25670.44854736328,2.4837785059560855
0.001,0.95,0.9,2,0.013409678413159973,0.019359341800856873,0.7139983303613167,-25296.212966918945,2.477150101775641
0.001,0.95,0.9,3,0.018097201420174756,0.03041058404275294,0.7139983303613167,-25433.97301864624,2.426575413996807
0.001,0.95,0.9,4,0.020169961410642,0.026514825935887543,0.7139983303613167,-25576.30930328369,2.450829358714623
0.001,0.9,0.99,1,0.03610429526224853,0.03179281448370759,0.7139983303613167,-27425.400146484375,2.4485704854253587
0.001,0.9,0.99,2,0.027482438313071334,0.029555558648922807,0.7139983303613167,-26214.92060470581,2.4599389924028765
0.001,0.9,0.99,3,0.029923568815266283,0.027797263319787536,0.7139983303613167,-26638.852252960205,2.3925205656584487
0.001,0.9,0.99,4,0.0226722789926499,0.023568907964723045,0.7139983303613167,-26251.790725708008,2.367621798441698
0.001,0.9,0.9,1,0.0084342578574286,0.020441156222937913,0.9995976625058433,-25687.296390533447,2.4778020152743263
0.001,0.9,0.9,2,0.009339392097853694,0.018980038368588248,0.9995976625058433,-25099.336025238037,2.458513493233931
0.001,0.9,0.9,3,0.016512904129616,0.02581664103792477,0.7139983303613167,-25738.804363250732,2.437325222863533
0.001,0.9,0.9,4,0.01659572505327152,0.02575810695119681,0.7139983303613167,-25465.132648468018,2.4243539097787146
0.001,1.0,0.99,1,0.044346079764553105,0.035355027627973115,0.7139983303613167,-28212.13877105713,2.4464522904217274
0.001,1.0,0.99,2,0.04469100203923276,0.03440115401868175,0.7139983303613167,-27626.19870376587,2.3807628639394585
0.001,1.0,0.99,3,0.052324108440433295,0.041521509334330894,0.7139983303613167,-28300.37607574463,2.4410005185087247
0.001,1.0,0.99,4,0.03310092951992984,0.026808602124979947,0.7139983303613167,-27573.44738006592,2.4939236748554205
0.001,1.0,0.9,1,0.012272675537547337,0.024615307328141635,0.7139983303613167,-25019.69692230225,2.444392728173641
0.001,1.0,0.9,2,0.0256460054747726,0.027937858925452815,0.7139983303613167,-26420.65383529663,2.458940542922889
0.001,1.0,0.9,3,0.015959697892140426,0.026182097282598304,0.7139983303613167,-25771.032554626465,2.4582407476936727
0.001,1.0,0.9,4,0.014119667695975578,0.025613169174513416,0.7139983303613167,-25944.488037109375,2.536059694134673
0.002,0.5,0.99,1,0.011640083731382195,0.021805667641750834,0.7139983303613167,-24888.23959350586,2.4374591672010033
0.002,0.5,0.99,2,0.00835949204337674,0.020395867698417627,0.7139983303613167,-24034.2999420166,2.4187780925313302
0.002,0.5,0.99,3,0.009683992038702094,0.02123739631177395,0.7139983303613167,-24202.19358062744,2.4280609880883244
0.002,0.5,0.99,4,0.0049756929003784865,0.015627780110610168,0.9995976625058433,-24217.536761283875,2.332428350383646
0.002,0.5,0.9,1,0.004237881442284567,0.01811712368553032,0.7139983303613167,-24194.542778015137,2.4756889181454205
0.002,0.5,0.9,2,0.005043464757398921,0.019771930512775086,0.7139983303613167,-24083.298900604248,2.464815933880856
0.002,0.5,0.9,3,0.006135937519045483,0.017369434176424718,0.9995976625058433,-24240.59551620483,2.429457541662488
0.002,0.5,0.9,4,0.00492630913835106,0.021331181904989886,0.7139983303613167,-23543.537796020508,2.4082955963843387
0.002,0.7,0.99,1,0.022200164025211914,0.02445357014358368,0.7139983303613167,-25512.80477142334,2.449341998540101
0.002,0.7,0.99,2,0.017796724352370986,0.02474805196929739,0.7139983303613167,-24809.79480743408,2.463740833062359
0.002,0.7,0.99,3,0.01868275575576531,0.022119293998163387,0.7139983303613167,-25158.940105438232,2.438184908813051
0.002,0.7,0.99,4,0.010347051717402972,0.019296647790711517,0.7139983303613167,-24916.597591400143,2.354897804569127
0.002,0.7,0.9,1,0.007836541214598999,0.021257434181422934,0.7139983303613167,-24696.334630966187,2.4694187697905345
0.002,0.7,0.9,2,0.007070152310731017,0.018401266208362792,0.7139983303613167,-24405.9732131958,2.428623730132971
0.002,0.7,0.9,3,0.008900416364091715,0.020197599225562718,0.7139983303613167,-24124.98544120789,2.3943341603753705
0.002,0.7,0.9,4,0.009566263986440953,0.021750907991362343,0.7139983303613167,-24233.180740356445,2.425032979187021
0.002,0.95,0.99,1,0.04791462050737405,0.03587969810322762,0.7139983303613167,-27785.81504058838,2.4978315659792876
0.002,0.95,0.99,2,0.03300351330585784,0.026994272933318474,0.7139983303613167,-26769.94118118286,2.4563423534774316
0.002,0.95,0.99,3,0.030889317388360385,0.024405171580827143,0.7139983303613167,-27025.253059387207,2.427818212886409
0.002,0.95,0.99,4,0.034092690481348074,0.028673073279650053,0.7139983303613167,-26601.636920928955,2.4245727282346152
0.002,0.95,0.9,1,0.01201815109231689,0.02038145857534796,0.7139983303613167,-25231.627265930176,2.528762235190042
0.002,0.95,0.9,2,0.0157891427593465,0.01993884182857881,0.7139983303613167,-25316.52227783203,2.499472599235765
0.002,0.95,0.9,3,0.01870582526017634,0.0270261080532564,0.7139983303613167,-24965.92056655884,2.448901659270881
0.002,0.95,0.9,4,0.02201365085058644,0.025794244167302284,0.7139983303613167,-25206.510425567627,2.4949731387155327
0.002,0.9,0.99,1,0.03679343616121113,0.030430636058231587,0.7139983303613167,-26884.71209716797,2.4846841787720937
0.002,0.9,0.99,2,0.02764625960787475,0.029502970588120254,0.7139983303613167,-25767.116304397583,2.4938979549264397
0.002,0.9,0.99,3,0.0363417015870401,0.02794403172440435,0.7139983303613167,-26813.14808654785,2.437462420439177
0.002,0.9,0.99,4,0.027371527723126964,0.02448033857924897,0.7139983303613167,-26631.789463043213,2.3606760561928204
0.002,0.9,0.9,1,0.01016794654897916,0.018953652568116937,0.9995976625058433,-24851.41441726685,2.5029414251259174
0.002,0.9,0.9,2,0.012034245758471677,0.018494972471001812,0.9995976625058433,-24541.66460418701,2.4798247132420297
0.002,0.9,0.9,3,0.017880761505906183,0.027858638168611664,0.7139983303613167,-24662.67139816284,2.4852390853013837
0.002,0.9,0.9,4,0.019379683970768308,0.02586725054403311,0.7139983303613167,-24854.73373413086,2.4555957392939667
0.002,1.0,0.99,1,0.04792077070332793,0.03794099691512354,0.7139983303613167,-27880.573844909668,2.4466004515578623
0.002,1.0,0.99,2,0.04406901524387284,0.030958362664068557,0.7139983303613167,-27432.76856994629,2.4027407330554715
0.002,1.0,0.99,3,0.04982765552828152,0.041467687438530146,0.7139983303613167,-27847.30983734131,2.4174762633176443
0.002,1.0,0.99,4,0.039233130740884005,0.028485526794827947,0.7139983303613167,-27733.48796081543,2.507290597357676
0.002,1.0,0.9,1,0.014505935468117244,0.02113213977783086,0.7139983303613167,-24983.813535690308,2.497973692335106
0.002,1.0,0.9,2,0.02870666337504122,0.029381011934184815,0.7139983303613167,-25940.13796234131,2.4697933501632936
0.002,1.0,0.9,3,0.017716970727514714,0.025142611630465418,0.7139983303613167,-25035.457328796387,2.485690000437622
0.002,1.0,0.9,4,0.016482273437780755,0.023813341375671548,0.7139983303613167,-25442.93692779541,2.5789312213959468
0.003,0.5,0.99,1,0.012901263670081601,0.02084702463236681,0.7139983303613167,-24464.90895843506,2.441894271837086
0.003,0.5,0.99,2,0.010112931436183175,0.021414919179632976,0.7139983303613167,-23622.48853302002,2.471117072191213
0.003,0.5,0.99,3,0.01126724775246098,0.02037053431992037,0.7139983303613167,-23870.527420043945,2.449475101658049
0.003,0.5,0.99,4,0.005567392703923431,0.01918923262486722,0.7139983303613167,-23388.33470916748,2.362517068673717
0.003,0.5,0.9,1,0.004205665125102228,0.016474902292833177,0.9995976625058433,-23809.578926086426,2.4813333769057344
0.003,0.5,0.9,2,0.005086476753398709,0.01625762744202374,0.9995976625058433,-23323.225414276123,2.46042851319274
0.003,0.5,0.9,3,0.006242371472031747,0.019609776293054042,0.9995976625058433,-23499.104133605957,2.4566153680870144
0.003,0.5,0.9,4,0.005604289877693607,0.021526876129219878,0.7139983303613167,-23469.3851852417,2.421039945563881
0.003,0.7,0.99,1,0.025099579603999132,0.025844807619753586,0.7139983303613167,-25167.86281967163,2.4767220454317904
0.003,0.7,0.99,2,0.01794594167023226,0.02398564468466121,0.7139983303613167,-24557.263313293457,2.4846438115310994
0.003,0.7,0.99,3,0.0198948979036852,0.021448131435112303,0.7139983303613167,-25086.19199371338,2.4286898681987603
0.003,0.7,0.99,4,0.011325955347411445,0.016588265632993912,0.7139983303613167,-24876.107666015625,2.373256590440231
0.003,0.7,0.9,1,0.006651902674874961,0.019054033992515745,0.9995976625058433,-24048.278259277344,2.5055457592378243
