T_q,kappa,contrast_peak,contrast_std,SAA_peak,SAA_at_kc,SAB_at_kc,E_final,n
0.4,0.0,0.004677767434397706,0.0003321899590232491,0.01095828412189055,0.0031528069370612404,-0.001524960497336466,-8841.308824062347,4
0.4,0.1,0.004576998086375747,0.0003283452678794212,0.010599501202941114,0.003011908080805421,-0.0015650900055703258,-8875.57068490982,4
0.4,0.2,0.005013992970021236,0.0003826347098427826,0.011083562882494569,0.0033296729585148253,-0.001684320011506411,-8925.104166030884,4
0.4,0.3,0.005353952175528984,0.000462370094372292,0.010927810770828715,0.0035178208582914696,-0.0018361313172375144,-9017.136985301971,4
0.4,0.4,0.006240322745539826,0.0004241820439923863,0.011537956447636513,0.00707974883297764,0.0008394260874378149,-9081.491960525513,4
0.4,0.5,0.007514715818008617,0.0007303213367661188,0.013417600843420656,0.008152907895011935,0.0006381920770033179,-9199.870813369751,4
0.4,0.6,0.008727323359411374,0.0012239797899953608,0.014231587919664774,0.011032406841133604,0.0023050834817222293,-9360.528562784195,4
0.6,0.0,0.00458654193581,0.00042385025089306715,0.011040731394239873,0.0029562554795393757,-0.001630286456270624,-8818.592168807983,4
0.6,0.1,0.004572189630229148,0.0002372552779548103,0.010615458611850743,0.0029379965007314836,-0.0016341931294976647,-8851.408709049225,4
0.6,0.2,0.005484088884022143,0.00024640676902098834,0.011249162473554421,0.0035330293039726865,-0.0019510595800494557,-9000.58489227295,4
0.6,0.3,0.005381274547353512,0.0004029368360004831,0.01133618157473406,0.0034435999168066127,-0.0019376746305468985,-9011.266505241394,4
0.6,0.4,0.00607860135997242,0.0003919065943745074,0.011327298685384032,0.008234852737726445,0.0021562513777540243,-9015.244135260582,4
0.6,0.5,0.0077610863402083966,0.001090169328989918,0.013779643691203065,0.011727384809108043,0.003966298468899647,-9264.802583694458,4
0.6,0.6,0.00939937495289377,0.0017124822074187618,0.014170001736366249,0.011517328919993276,0.0021179539670995065,-9337.843252182007,4
0.7,0.0,0.004581037534853906,0.0003061062291980097,0.01094061762787197,0.0031327090731035736,-0.0014483284617503327,-8858.857939243317,4
0.7,0.1,0.004771041917244172,0.0005810780056653995,0.010402585578283413,0.0033019479713973774,-0.0014690939458467946,-8893.01911520958,4
0.7,0.2,0.005220545602533264,0.000583953261767397,0.011519230264097279,0.0033399826788341174,-0.001880562923699146,-8966.24201631546,4
0.7,0.3,0.005621294671658984,0.00023978121794215155,0.01150783392543799,0.0041059738782086444,-0.00151532079345034,-9010.964195251465,4
0.7,0.4,0.006199507652647398,0.00035278060400238513,0.011100787221214308,0.006878472373711461,0.0006789647210640641,-9043.103001117706,4
0.7,0.5,0.007109237038688066,0.00036966495939279927,0.013060448934020294,0.00795858111904102,0.0008493440803529536,-9189.6092710495,4
0.7,0.6,0.008589300541249746,0.0012620776517001896,0.013305767729635997,0.011901627920392248,0.0033123273791425024,-9316.527920246122,4
0.85,0.0,0.0047013136075112144,0.0004969464976093664,0.010588457715811536,0.003096605144116471,-0.001604708463394743,-8893.988134384155,4
0.85,0.1,0.004803455030078469,0.0007789421112149859,0.010380256989174403,0.0032724894204857365,-0.0015309656095927324,-8896.092839241028,4
0.85,0.2,0.005280477522861618,0.00028350031400401025,0.011286662139847763,0.003448478662773407,-0.0018319988600882116,-9012.468177318573,4
0.85,0.3,0.005342508729978912,0.000479873534457014,0.011465447325351763,0.0068153803206438,0.0014728715906648883,-9003.098175525665,4
0.85,0.4,0.006573339707476139,0.000666526847756832,0.01138028928003913,0.008605624155855633,0.0020322844483794938,-9079.85137796402,4
0.85,0.5,0.007438902112561029,0.0008429374013315636,0.013418220338396484,0.008210583905677245,0.0007716817931162174,-9215.55484199524,4
0.85,0.6,0.009141258771795824,0.0015047912399438446,0.013828976529943306,0.010997152014340948,0.0018558932425451241,-9329.555859565735,4
1.0,0.0,0.004630606210603596,0.00023384338037635673,0.010650286406726963,0.0030981174398599094,-0.0015324887707436861,-8864.528786420822,4
1.0,0.1,0.004586500734353748,0.0004517140311286154,0.011071088836946219,0.0035282864369628785,-0.0010582142973908702,-8866.620665073395,4
1.0,0.2,0.0053331040495069,0.0005422707267104143,0.011660632442401574,0.0034819305816210376,-0.0018511734678858627,-8952.546764850616,4
1.0,0.3,0.0054701013244912375,0.0004968934308792686,0.011325890668672952,0.0039545407187198435,-0.0015155606057713944,-9001.796475887299,4
1.0,0.4,0.0060836108611808555,0.00013986284513481677,0.011556150205252512,0.006875443732736486,0.0007918328715556312,-9095.14270734787,4
1.0,0.5,0.007520285888583283,0.0010954001533820283,0.012995374436622614,0.009545845238539526,0.0020255593499562416,-9169.76327753067,4
1.0,0.6,0.009361653324542297,0.0015885480620983275,0.014357567907158026,0.011267504513077807,0.0019058511885355117,-9327.754621267319,4
1.3,0.0,0.004969776522085656,0.00023333396830225835,0.010565483639130673,0.0032759474569152105,-0.0016938290651704452,-8862.612249135971,4
1.3,0.1,0.004661448445372359,0.00022029474167112878,0.009961355743626655,0.003109755766548113,-0.0015516926788242465,-8887.483486652374,4
1.3,0.2,0.0053837960010133905,0.0008180875775218873,0.010642138109519706,0.0034725686060957522,-0.0019112273949176378,-8985.742826461792,4
1.3,0.3,0.005416356112247375,0.0004049269227955431,0.010849431715876243,0.003935572245009561,-0.001480783867237814,-9047.699320316315,4
1.3,0.4,0.00646741047389623,0.0007264173195151363,0.0116269949999383,0.00900634562586265,0.0025389351519664208,-9158.689116954803,4
1.3,0.5,0.007564508330313161,0.0007151432680648134,0.0130557239756567,0.008386373992796238,0.0008218656624830773,-9255.73995256424,4
1.3,0.6,0.007778404255229068,0.000840216698713225,0.013141329665546455,0.009334916400891888,0.0015565121456628203,-9280.501527786255,2
