T_q,kappa,contrast_peak,contrast_std,SAA_peak,E_final,n
0.2,0.0,0.0031545534139067904,0.00046671233789135323,0.012877172649661428,-11340.47517379125,3
0.2,0.05,0.003247793349944021,0.0003270179851198209,0.01307850968117903,-11414.416598320007,3
0.2,0.1,0.0032690177980036505,6.876576554321616e-05,0.013412269974459422,-11398.390534718832,3
0.2,0.15,0.003129436419309964,6.359293748044216e-05,0.013093441503364014,-11310.08159383138,3
0.2,0.2,0.0030557588408836895,0.0002653661443446113,0.013556380922097993,-11341.274398485819,3
0.2,0.25,0.002958100170622423,0.00035298962920157605,0.013398071399770442,-11383.773118019104,3
0.2,0.3,0.003249849483046794,0.0004503671302361088,0.013024339329093153,-11302.099430878958,3
0.2,0.35,0.0033496664281818882,9.549013549394519e-05,0.013736022944621435,-11503.276189804077,3
0.2,0.4,0.003716126413736847,0.000384126872723756,0.012890824205790229,-11520.267803430557,3
0.2,0.45,0.003853785248967828,0.0003657026776111936,0.013465213650029997,-11684.798855781555,3
0.2,0.5,0.004471230649358245,0.0003232084530577496,0.013488552461080786,-11743.388716697693,3
0.2,0.55,0.0047914252850510064,0.0008532724320693062,0.013153507049845364,-11785.856143315634,3
0.2,0.6,0.00542956671269839,0.0009109891860856784,0.014111809059079938,-12035.354711850485,3
0.2,0.65,0.005796689380430867,0.0007064749052673334,0.01360516412737125,-11931.793389956156,3
0.2,0.7,0.00633380075994584,0.0005547695458376413,0.014016850320136746,-12052.618958393732,3
0.2,0.75,0.00714706018214687,0.0006559548954968372,0.014409933471141334,-12156.70237716039,3
0.2,0.8,0.007519244430020424,0.0002328647910197781,0.015338089729240107,-12224.446372350058,3
0.2,0.85,0.007447935274523803,0.001093860607862657,0.01507820644486448,-12233.573653856913,3
0.2,0.9,0.010152587062011621,0.0007097782902647353,0.016902578073636834,-12525.213048934937,3
0.2,0.95,0.009601151940404942,0.000561147034972211,0.016403702740057723,-12526.796700795492,3
