condition,kappa,Rg_full,Rg_A,Rg_B,Rg_A_ratio,intra_glob_var,enhancement,n_globules
M_high_density,0.0,2.8730921745300293,2.8546876907348633,2.8230738639831543,0.9935941895779321,,,0
M_high_density,0.5,2.898444175720215,2.827188730239868,2.8042168617248535,0.9754159676155775,,,0
M_high_density,1.0,2.8197622299194336,2.435755729675293,2.4363853931427,0.8638159997429598,,,0
N_soft_LJ,0.0,2.6632323265075684,2.6361656188964844,2.6195521354675293,0.9898368958120233,0.11102391830153184,2.229393898875169,61
N_soft_LJ,0.5,2.664484739303589,2.585620880126953,2.5764243602752686,0.9704018349164018,0.09339719313878371,1.8860551528154128,67
N_soft_LJ,1.0,2.6366758346557617,2.253711462020874,2.2105510234832764,0.8547548516957199,0.1712241426611797,3.485530639182869,45
O_short_chains,0.0,1.501391053199768,1.3730266094207764,1.385508418083191,0.9145029914055894,0.110084,2.21210931754629,50
O_short_chains,0.5,1.4874813556671143,1.2999423742294312,1.3186652660369873,0.8739217935584984,0.12475227903289735,2.5054869782062212,58
O_short_chains,1.0,1.5160791873931885,1.1828469038009644,1.1535903215408325,0.7802012676097757,0.17827727036459493,3.5976491624118747,67
