T_q,kappa,contrast_peak,contrast_std,SAA_peak,E_final,n
0.4,0.0,0.0011249204205124451,0.00011535645282507209,0.0005682535891480124,-23404.091192245483,4
0.4,0.1,0.0011348437595675785,4.228942405026487e-05,0.0005761429780793421,-23393.113567113876,4
0.4,0.2,0.0012961063781516298,0.00013467176239077632,0.0006484515611134153,-23461.300855636597,4
0.4,0.3,0.0014798115638360388,5.9479950104260895e-05,0.0007460581215571151,-23587.45863342285,4
0.4,0.4,0.0016592269501813474,0.0001166007790302493,0.0008398983303533449,-23747.30596780777,4
0.4,0.5,0.002043838458893131,0.00014028720734843465,0.0010203819055453424,-24001.50322341919,4
0.4,0.6,0.0023910562766242677,0.00025857472550624424,0.0012037466278709142,-24319.421550750732,4
0.4,0.7,0.0029637806844737555,0.0004237451968046253,0.0014844581488021157,-24433.224714756012,4
0.4,0.8,0.003862385888727527,0.00036053061238460507,0.0019328328821064682,-24776.729546308517,4
0.4,0.9,0.004032793616385107,0.0005406759332504296,0.0020119599233994027,-24760.864866256714,4
0.4,1.0,0.00540518960199402,0.00028824623809713275,0.0027043611437610996,-25324.839104652405,4
0.6,0.0,0.0010593929593315848,0.00010338058862348481,0.0005318841381085392,-23273.656851291656,4
0.6,0.1,0.001165229737461256,4.358910738003804e-05,0.0005844164859745481,-23416.563131809235,4
0.6,0.2,0.0012559759769405249,9.493764031767554e-05,0.0006307522769116553,-23417.463459849358,4
0.6,0.3,0.0014573550017522813,6.923661664048314e-05,0.0007334746229607522,-23625.95019340515,4
0.6,0.4,0.0016157136674977504,9.024679909804433e-05,0.0008108758478825918,-23723.841492176056,4
0.6,0.5,0.0020291673637023114,0.00012039610783440614,0.001019718853678671,-23953.513913154602,4
0.6,0.6,0.002460270400650425,0.0002686305794773064,0.0012326126089295833,-24200.859060049057,4
0.6,0.7,0.0030800450020864595,0.00033485135976237126,0.0015448045482980188,-24520.670580863953,4
0.6,0.8,0.0033671643291316956,0.0006276061095456842,0.0016896049615858046,-24613.00549840927,4
0.6,0.9,0.004314288957784203,0.0005086746785755361,0.002139855680603815,-24930.01212322712,4
0.6,1.0,0.0051856673915915835,0.00039508780922738277,0.0025896122487689592,-25299.72374367714,4
0.7,0.0,0.0010281088225620135,6.65891517326927e-05,0.0005174020587852371,-23304.266558408737,4
0.7,0.1,0.0011495758386056696,5.0970630448486874e-05,0.0005797451060797212,-23361.226477622986,4
0.7,0.2,0.001247768790397352,0.0001249184041458451,0.0006258764295612743,-23447.70456123352,4
0.7,0.3,0.0014915837997734264,9.255706966181282e-05,0.0007535553585028046,-23587.97713661194,4
0.7,0.4,0.0016162393086397943,5.829314626531839e-05,0.0008163029892329962,-23802.5977499485,4
0.7,0.5,0.002066805667846276,0.00017781927558614563,0.0010380494046670725,-23933.194530010223,4
0.7,0.6,0.0023397291525268115,0.00020543632695293993,0.001167861495863378,-24111.86866593361,4
0.7,0.7,0.0030958680882667297,0.00041036668146322906,0.0015556794802742704,-24322.878425121307,4
0.7,0.8,0.003644177794203715,0.000816698230966181,0.001817689774853385,-24576.209854602814,4
0.7,0.9,0.00442029631628117,0.0005758549325773496,0.002205721396073735,-24935.76767873764,4
