kappa,pi,tw,seed,contrast,SAA,k_star_c,E,Rg
0.0,0.995,1000000,1,0.005304147743369934,0.007862997847695022,1.28519699465037,-23022.23178100586,2.6644630896099475
0.0,0.995,1000000,2,0.005178224253036748,0.011928956949130803,1.28519699465037,-22445.428565979004,2.631332168872647
0.0,0.995,1000000,3,0.005878707893645911,0.012771702669816924,1.28519699465037,-22486.353515625,2.6175587177263773
0.0,0.995,100000,1,0.005211674167044288,0.008109286540291328,1.28519699465037,-22638.971935272217,2.6365262732945447
0.0,0.995,100000,2,0.004789869488140777,0.011498266315799565,1.28519699465037,-22279.785202026367,2.630695149583946
0.0,0.995,100000,3,0.005709165420973143,0.011551428886038221,1.28519699465037,-22480.101692199707,2.6043960425862593
0.0,0.995,3000000,1,0.005730727378841685,0.007004858607612914,1.28519699465037,-23301.085605621334,2.653034064914179
0.0,0.995,3000000,2,0.0057293694670912405,0.010456417985586042,1.28519699465037,-22758.425552368164,2.646604412786184
0.0,0.995,3000000,3,0.005780037255026563,0.00986641244497537,1.28519699465037,-22754.02194595337,2.632433060121838
0.0,0.995,300000,1,0.005136462368707715,0.00776258345279055,1.28519699465037,-22738.251846313477,2.6600230013384576
0.0,0.995,300000,2,0.004899297664498597,0.012522655953910892,1.28519699465037,-22116.727241516113,2.6122225194496327
0.0,0.995,300000,3,0.005697956632669804,0.012016102386374438,1.28519699465037,-22491.94216156006,2.6186370665236867
0.0,0.995,30000,1,0.0048481282300588445,0.008725481331503887,1.28519699465037,-22255.93453979492,2.6287747615183954
0.0,0.995,30000,2,0.004377714802532637,0.010705601158733372,1.28519699465037,-21799.27191925049,2.614975435041243
0.0,0.995,30000,3,0.004668450449274993,0.010931576525448973,1.28519699465037,-22098.94101333618,2.603257743622117
0.0,0.9,1000000,1,0.005878396383728439,0.008275245375684677,1.28519699465037,-22891.10026550293,2.6778536889901674
0.0,0.9,1000000,2,0.0055495552895838095,0.011243858041303928,1.28519699465037,-22788.775680541992,2.6506434924384568
0.0,0.9,1000000,3,0.0059852836447284,0.01041167198739917,1.28519699465037,-22901.867641448975,2.6156072640511803
0.0,0.9,100000,1,0.0053104898030603065,0.007383722399264341,1.28519699465037,-22619.872943878177,2.634695877944824
0.0,0.9,100000,2,0.004957615552587175,0.010898197931915786,1.28519699465037,-22264.726009368896,2.5956649490594748
0.0,0.9,100000,3,0.004821648963125516,0.01102104509733789,1.28519699465037,-22303.945846557617,2.5963869535538673
0.0,0.9,3000000,1,0.006630730256281277,0.007292731142814713,1.28519699465037,-23250.729667663574,2.7051097150587946
0.0,0.9,3000000,2,0.005388759521398913,0.013069321897014097,1.28519699465037,-22615.16241836548,2.583652470198484
0.0,0.9,3000000,3,0.006191310248712792,0.010973445845409636,1.28519699465037,-23067.01271057129,2.653039539303533
0.0,0.9,300000,1,0.005766302235429706,0.007415571076743356,1.28519699465037,-22906.16477203369,2.653381569906074
0.0,0.9,300000,2,0.005364133369974933,0.012378446911877115,1.28519699465037,-22629.4744682312,2.650122389490662
0.0,0.9,300000,3,0.005999333535992551,0.011829002302683562,1.28519699465037,-22638.75171852112,2.6084283051806096
0.0,0.9,30000,1,0.004439436857035862,0.008738802867036726,1.28519699465037,-22161.926677703857,2.6492042237444897
0.0,0.9,30000,2,0.004746409169689327,0.011411327614890197,1.28519699465037,-22051.346229553223,2.618259336150554
0.0,0.9,30000,3,0.0052458099187837025,0.010498920846633687,1.28519699465037,-22042.951976776123,2.5877762604870767
0.5,0.995,1000000,1,0.009932632729075682,0.008880283154032656,0.9995976625058433,-24551.59809112549,2.6225865680585176
0.5,0.995,1000000,2,0.013216413441922533,0.014985864950485627,0.7139983303613167,-24670.588996887207,2.572609509033483
0.5,0.995,1000000,3,0.017798072572555862,0.022940910977093665,0.7139983303613167,-24114.06559753418,2.584567794556866
0.5,0.995,100000,1,0.010191041395390002,0.009625354335016609,0.9995976625058433,-24302.179023742676,2.6172529008822716
0.5,0.995,100000,2,0.010650759110986431,0.012451992426935081,0.9995976625058433,-23610.770027160645,2.5556761561431225
0.5,0.995,100000,3,0.017765025088163945,0.023069241792174715,0.7139983303613167,-23959.02442550659,2.5890699503707166
0.5,0.995,3000000,1,0.010315782198213611,0.00799627405520122,0.9995976625058433,-24840.83176422119,2.6348667646326884
0.5,0.995,3000000,2,0.013563091689639505,0.014743657525313281,0.7139983303613167,-24565.08106613159,2.5775050388802447
0.5,0.995,3000000,3,0.020643076753542402,0.02395591008032976,0.7139983303613167,-24216.387031555176,2.5686443802574517
0.5,0.995,300000,1,0.011842947229093435,0.009302589051398982,0.9995976625058433,-24293.256114959717,2.5703174404357387
0.5,0.995,300000,2,0.011372186699373376,0.012425629847731759,0.9995976625058433,-23984.759735107426,2.5616740115745262
0.5,0.995,300000,3,0.019560045120748486,0.02225577577120586,0.7139983303613167,-24275.47093963623,2.608364527315596
0.5,0.995,30000,1,0.009558474182805088,0.008670919472957032,0.9995976625058433,-23825.034606933594,2.603813221331521
0.5,0.995,30000,2,0.010615312622561244,0.013157792658331151,0.7139983303613167,-23688.379165649418,2.5650255623205416
0.5,0.995,30000,3,0.01822591933517142,0.022153230464829025,0.7139983303613167,-23508.737773895264,2.571794207081896
0.5,0.9,1000000,1,0.0088841990218569,0.013015183583106668,0.9995976625058433,-24058.585441589355,2.6532087449733037
0.5,0.9,1000000,2,0.009057567115920144,0.010216098888856627,0.9995976625058433,-23719.636615753177,2.622895162652853
0.5,0.9,1000000,3,0.009536195442671824,0.014767937875525022,0.9995976625058433,-23808.160202026367,2.6662123112376586
0.5,0.9,100000,1,0.007633305073662222,0.012311234363770268,0.9995976625058433,-23500.91513824463,2.665727192691366
