kappa,T_q,seed,k_star_contrast,contrast_peak,SAA_peak,SAA_at_kc,SAB_at_kc,E_final,Rg_final
0.0,0.4,1,1.2935969750075618,0.0009775469635948497,0.0004928873186614807,0.0004928873186614807,-0.000484659644933369,-23317.76610183716,2.8746521490702737
0.0,0.4,2,1.2935969750075618,0.0012592140870817132,0.0006373986137194025,0.0006373986137194025,-0.0006218154733623106,-23566.498790740967,2.7997931323110503
0.0,0.4,3,1.2935969750075618,0.0011378661131744739,0.0005709678553129556,0.0005709678553129556,-0.0005668982578615183,-23284.63419342041,2.7204000354516205
0.0,0.4,4,1.2935969750075618,0.0011250545181987436,0.0005717605688982108,0.0005717605688982108,-0.0005532939493005328,-23447.4656829834,2.748164422316746
0.0,0.6,1,1.2935969750075618,0.0010543888330887827,0.000526930850334227,0.000526930850334227,-0.0005274579827545557,-23102.387210845947,2.8954616839485547
0.0,0.6,2,1.2935969750075618,0.001023800833085671,0.0005125084161879773,0.0005125084161879773,-0.0005112924168976938,-23280.98342514038,2.7787718552979572
0.0,0.6,3,1.6631961107240079,0.0009573253025232612,0.0004799142161837402,0.0004799142161837402,-0.00047741108633952094,-23154.268535614017,2.7220303245673567
0.0,0.6,4,1.2935969750075618,0.0012020568686286243,0.0006081830697282124,0.0006081830697282124,-0.0005938737989004119,-23556.988233566284,2.744684092509262
0.0,0.7,1,1.6631961107240079,0.0009294812313317489,0.0004728374519939064,0.0004728374519939064,-0.0004566437793378426,-23154.075770378113,2.877950801254366
0.0,0.7,2,1.2935969750075618,0.0010602589774266276,0.0005308643005749213,0.0005308643005749213,-0.0005293946768517064,-23281.57748413086,2.7731038111090975
0.0,0.7,3,1.6631961107240079,0.001048469528420312,0.0005297225565226436,0.0005297225565226436,-0.0005187469718976685,-23383.088417053223,2.73523712921664
0.0,0.7,4,1.2935969750075618,0.0010742255530693653,0.0005361839260494773,0.0005361839260494773,-0.0005380416270198881,-23398.32456207275,2.770220589851529
0.0,0.85,1,1.2935969750075618,0.001115583749958501,0.0005600131447541991,0.0005600131447541991,-0.000555570605204302,-23329.52734375,2.8810062952107587
0.0,0.85,2,1.2935969750075618,0.0011607634138035474,0.0005852732424218597,0.0005852732424218597,-0.0005754901713816878,-23433.25,2.78017418308643
0.0,0.85,3,1.2935969750075618,0.0011794700019553816,0.0005892706545441166,0.0005892706545441166,-0.0005901993474112649,-23395.02948379517,2.7199166788637226
0.0,0.85,4,1.2935969750075618,0.001115366575508596,0.000560130322829266,0.000560130322829266,-0.0005552362526793301,-23456.56488418579,2.7387078174497015
0.0,1.0,1,1.2935969750075618,0.0010060407059079982,0.0005087707443688002,0.0005087707443688002,-0.000497269961539198,-23263.703983306885,2.8978140281270313
0.0,1.0,2,1.6631961107240079,0.0011006919528324449,0.0005555933437165312,0.0005555933437165312,-0.0005450986091159136,-23393.555326461792,2.7798304702235885
0.0,1.0,3,1.6631961107240079,0.0011880044317975225,0.0005980714894687114,0.0005980714894687114,-0.0005899329423288112,-23267.970211029053,2.707935696028263
0.0,1.0,4,1.2935969750075618,0.001094145051283388,0.0005512607153691728,0.0005512607153691728,-0.0005428843359142153,-23409.418182373047,2.7396253291430503
0.0,1.3,1,1.2935969750075618,0.0010964164974215326,0.0005503762787925549,0.0005503762787925549,-0.0005460402186289777,-23400.361377716064,2.897069466816922
0.0,1.3,2,1.2935969750075618,0.0010018316180085197,0.0005081337228916001,0.0005081337228916001,-0.0004936978951169197,-23136.968257904053,2.7729687456867143
0.0,1.3,3,1.6631961107240079,0.0012022110864245072,0.0006070466836022211,0.0006070466836022211,-0.0005951644028222861,-23333.25888824463,2.7137735435429993
0.0,1.3,4,1.2935969750075618,0.00114660097221131,0.0005808039348008815,0.0005808039348008815,-0.0005657970374104284,-23422.35303878784,2.753646017551433
0.1,0.4,1,1.2935969750075618,0.0010861129310924754,0.0005521007413575024,0.0005521007413575024,-0.000534012189734973,-23428.040859222412,2.908696091954239
0.1,0.4,2,0.5543987035746694,0.0011128006933971125,0.0005702242302134036,0.0005702242302134036,-0.000542576463183709,-23234.77336025238,2.7764155392035437
0.1,0.4,3,1.2935969750075618,0.0011704793711146211,0.0005907075674923864,0.0005907075674923864,-0.0005797718036222347,-23429.60924911499,2.706617239146776
0.1,0.4,4,1.2935969750075618,0.001169982042666105,0.0005915393732540758,0.0005915393732540758,-0.0005784426694120293,-23480.030799865723,2.7480950925268193
0.1,0.6,1,1.2935969750075618,0.0011576573390123378,0.0005802255171753377,0.0005802255171753377,-0.0005774318218370001,-23370.132251739506,2.894327319267657
0.1,0.6,2,1.2935969750075618,0.001107089785756913,0.0005579382637982988,0.0005579382637982988,-0.0005491515219586141,-23431.891040802,2.7699400083403978
0.1,0.6,3,1.6631961107240079,0.0011908963658630082,0.0005941384839642975,0.0005941384839642975,-0.0005967578818987107,-23473.374340057373,2.7214966426120513
