fA,kappa,seed,contrast,SAA,k_star,E
0.2,0.0,1,0.0017844402903666595,0.0011995016946592589,1.28519699465037,-25934.10370254517
0.2,0.0,2,0.0014300451258645944,0.0012378711036058112,1.5707963267948966,-25663.04051208496
0.2,0.0,3,0.0014735014133226343,0.001551319239748408,1.5707963267948966,-25590.59257507324
0.2,0.0,4,0.0016187862715808664,0.002139261696475853,1.28519699465037,-25556.239658355713
0.2,0.3,1,0.0019851770600279855,0.0016297353093984712,1.28519699465037,-25936.921298980713
0.2,0.3,2,0.001727147945775768,0.001946661617405623,1.5707963267948966,-26178.869888305664
0.2,0.3,3,0.002009082246021658,0.0016544522380930685,1.5707963267948966,-25451.847034454346
0.2,0.3,4,0.00172642206280392,0.002258679293062046,1.28519699465037,-26012.293392181396
0.2,0.5,1,0.003492577248139914,0.002212945820780842,0.9995976625058433,-26256.811847686768
0.2,0.5,2,0.002273584285462568,0.0021624791333307697,1.28519699465037,-26352.64864730835
0.2,0.5,3,0.0027966521399411136,0.002218757232103718,1.28519699465037,-26060.71401977539
0.2,0.5,4,0.002316989510647373,0.002729738075020875,0.9995976625058433,-26625.35870361328
0.2,0.7,1,0.005654963903546079,0.0034245357718810225,0.9995976625058433,-26864.456924438477
0.2,0.7,2,0.004219579699398825,0.0031985512160294946,0.9995976625058433,-27475.31826400757
0.2,0.7,3,0.0044576468111339525,0.003836558965403996,0.9995976625058433,-26559.619941711426
0.2,0.7,4,0.003584829496053074,0.0040785575321836045,0.9995976625058433,-27408.637336730957
0.2,0.9,1,0.008857009291088874,0.005175407961847863,0.9995976625058433,-27702.01953125
0.2,0.9,2,0.007318096105647475,0.005156762484475158,0.9995976625058433,-28345.723014831543
0.2,0.9,3,0.009813859586257452,0.006698773005221462,0.7139983303613167,-27455.22898864746
0.2,0.9,4,0.006011353617929425,0.004839176677569753,0.9995976625058433,-28193.27841949463
0.2,1.0,1,0.01627756407628965,0.009945909515062884,0.7139983303613167,-28024.613830566406
0.2,1.0,2,0.010333928508456724,0.007102082699212082,0.7139983303613167,-28928.83250427246
0.2,1.0,3,0.011309363678059708,0.007177882167646195,0.7139983303613167,-26985.773849487305
0.2,1.0,4,0.009301287716898098,0.005114659114943186,0.7139983303613167,-28259.219234466553
0.3,0.0,1,0.0027738250442251836,0.0031069889049259104,1.5707963267948966,-24056.355884552
0.3,0.0,2,0.0027733225257189093,0.0031827078967465007,1.5707963267948966,-23872.918051719666
0.3,0.0,3,0.0027534060845695665,0.0028637203167236345,1.28519699465037,-23653.62767028809
0.3,0.0,4,0.0030706767671166684,0.004581641576649843,1.28519699465037,-23614.490633010864
0.3,0.3,1,0.003200254387247935,0.003486493809661223,1.28519699465037,-24164.80047607422
0.3,0.3,2,0.0028455442966345123,0.002784503761960394,1.28519699465037,-24174.900230407715
0.3,0.3,3,0.003803291046675736,0.00461535905177979,1.28519699465037,-24292.979026794434
0.3,0.3,4,0.003152010065679658,0.004470448803042067,1.28519699465037,-23577.169101715088
0.3,0.5,1,0.005334465259099145,0.004736306953069582,0.9995976625058433,-24864.74813079834
0.3,0.5,2,0.004303826521663846,0.004093369382444692,1.28519699465037,-25016.220169067383
0.3,0.5,3,0.004955741717604606,0.0057080309931513565,0.9995976625058433,-24565.06134414673
0.3,0.5,4,0.0038160765185751037,0.00518822070765211,0.9995976625058433,-24315.00686264038
0.3,0.7,1,0.007787089221845297,0.006205882895454931,0.9995976625058433,-25524.94256591797
0.3,0.7,2,0.0062943961249222816,0.00501533195686007,0.9995976625058433,-25931.52094268799
0.3,0.7,3,0.008396993676597438,0.008029937248537853,0.9995976625058433,-25142.448570251465
0.3,0.7,4,0.00531653093544312,0.006520432120382304,0.9995976625058433,-24689.797470092773
0.3,0.9,1,0.011159112074253342,0.009633084138535603,0.9995976625058433,-26271.47431373596
0.3,0.9,2,0.011757906774501371,0.007938887004204758,0.7139983303613167,-27044.855094909668
0.3,0.9,3,0.01632922886433928,0.013417440098382555,0.7139983303613167,-26209.295783996586
0.3,0.9,4,0.009840984168263896,0.006579950730635972,0.9995976625058433,-25904.260932922363
0.3,1.0,1,0.020369757661001943,0.013797640116043324,0.7139983303613167,-26701.538869857788
0.3,1.0,2,0.014745080537314954,0.009506893979392993,0.7139983303613167,-27535.731426239017
0.3,1.0,3,0.020695543488040823,0.017010320152333065,0.7139983303613167,-26414.871955871586
0.3,1.0,4,0.01605896956780364,0.010624313381236402,0.7139983303613167,-27040.062831878666
0.4,0.0,1,0.003951264279782191,0.00650695156748206,1.28519699465037,-22815.257289886475
0.4,0.0,2,0.004125042962436914,0.006806746141760492,1.28519699465037,-22841.79261398315
0.4,0.0,3,0.004364752798465297,0.005809282802203184,1.28519699465037,-22740.942462921143
0.4,0.0,4,0.004167951995619328,0.007749929782353594,1.28519699465037,-22805.68561553955
0.4,0.3,1,0.0048775837618956555,0.00892672720897392,1.28519699465037,-23295.44403076172
0.4,0.3,2,0.0045990147644098065,0.008034935576886303,1.28519699465037,-22935.485359191895
0.4,0.3,3,0.004889591277133121,0.007405272381508797,1.28519699465037,-22937.00760269165
0.4,0.3,4,0.004827108775914224,0.007568850060205352,1.28519699465037,-23063.994438171387
0.4,0.5,1,0.008173103791141691,0.009695967613578296,0.9995976625058433,-23503.973442077637
0.4,0.5,2,0.006616533240020062,0.007935585497454442,1.28519699465037,-23698.30463409424
0.4,0.5,3,0.00823068610774429,0.008399523728232636,0.9995976625058433,-23626.461624145508
0.4,0.5,4,0.005540531233291482,0.008118251014413066,1.28519699465037,-23497.50496673584
0.4,0.7,1,0.012549944686814602,0.013017518382369706,0.9995976625058433,-24269.792835235596
0.4,0.7,2,0.009973904037220073,0.009734282128751905,0.9995976625058433,-24064.23582458496
0.4,0.7,3,0.011088638127160547,0.010628422744741984,0.9995976625058433,-24341.12464904785
0.4,0.7,4,0.008920122051132793,0.010277016659818092,0.9995976625058433,-24393.748374938965
0.4,0.9,1,0.01939566871394382,0.016507565017728244,0.7139983303613167,-25688.99184036255
0.4,0.9,2,0.014613369347574876,0.0127870747554459,0.7139983303613167,-25412.84220123291
0.4,0.9,3,0.017356022409175526,0.013846741122530943,0.9995976625058433,-25248.54793548584
0.4,0.9,4,0.015594037286629704,0.01249762414139069,0.9995976625058433,-25792.980194091797
0.4,1.0,1,0.037985263337687696,0.027743310074190747,0.7139983303613167,-25910.69396972656
0.4,1.0,2,0.022470094459724907,0.014380415397805843,0.7139983303613167,-26572.939502716064
0.4,1.0,3,0.026437947443703542,0.019101652469976166,0.7139983303613167,-25422.69842147827
