N,bl,seed,contrast,SAA,E
60,12,1,0.8172114419375973,2.6360428796904785,-26211.56725692749
60,12,2,0.8234800918952081,2.608554060971722,-26263.33053970337
60,12,3,0.8355650860135668,2.3817999032280164,-25960.3239402771
60,12,4,0.11040004264182625,0.10977937853736504,7.891845008671304e+16
60,16,1,0.7590320769114312,2.359773442232504,-25833.20302796364
60,16,2,0.8104281157049683,2.4693446550470584,-25857.04260993004
60,16,3,0.7801922669768901,2.296077953389505,-25598.596110343933
60,16,4,0.10793576801786554,0.10878820459220413,7.487281935948603e+16
60,24,1,0.9981493691215395,2.579610295241766,-26785.468830108643
60,24,2,1.182363207172521,2.746389782210208,-26891.988023757935
60,24,3,1.1814008389014767,2.690327429365478,-26868.65643310547
60,24,4,0.10845914975677719,0.11056786085253603,7.984727368590483e+16
60,32,1,1.2926739404656002,2.4733081181932306,-27366.603088855743
60,32,2,1.2530499692389032,2.666056694454256,-27013.38611292839
60,32,3,1.1939171963190125,2.646150510384467,-26746.231221556664
60,32,4,0.11015465109188241,0.11133618040521662,7.318401383649837e+16
60,40,1,1.6430637490774864,2.8886944408625013,-28111.540882110596
60,40,2,1.618660483226995,2.8742789916607836,-28250.80805778503
60,40,3,1.6578578178057155,2.949531662900225,-28080.496097564697
60,40,4,1.6745977393652796,3.0271426234084053,-28183.355966567993
60,4,1,0.36212626748229026,2.5093845788624045,-24582.214345932007
60,4,2,0.3279552346734658,2.4235079075263806,-24389.031539916992
60,4,3,0.3352769711775637,2.317171750859269,-24356.36332321167
60,4,4,0.10615966451200894,0.10744823174895164,3.4447494926284e+24
60,8,1,0.5590375806170025,2.3755125318215575,-25534.467491149902
60,8,2,0.5880015854231567,2.4136807787424197,-25337.992389678955
60,8,3,0.5586207809374716,2.4393441300209178,-25030.655767440796
60,8,4,0.10876417583467232,0.10841008177852236,7.330888473657192e+16
80,12,1,1.3371781934573248,5.705856541989034,-35648.27788543701
80,12,2,1.4804421517086854,5.916400269113561,-35763.72819519043
80,12,3,1.3679741209345442,5.632636982556315,-35622.579277038574
80,12,4,1.4408729845608503,5.5935817264961205,-35540.1763381958
80,16,1,1.8773267486484686,6.018955564317719,-36322.44680786133
80,16,2,1.7748778212974952,5.931029426074262,-36131.48225402832
80,16,3,1.8702147307588761,6.400715530484298,-36676.90266418457
80,16,4,1.9351567640032634,5.5660917948414195,-36410.610763549805
80,24,1,1.8558509839147594,5.728480978370323,-36196.567878723145
80,24,2,2.15204891637148,6.191899469666215,-36554.38649749756
80,24,3,2.091140657753403,5.557041048043214,-37170.57273101807
80,24,4,2.09533825855915,5.774587504045677,-36632.84706115723
80,32,1,2.7586777371233295,6.022275053376456,-38174.585357666016
80,32,2,2.6745265568107626,6.433616769809379,-37824.88269042969
80,32,3,2.8652450632004274,6.106009380992775,-38134.75048828125
80,32,4,2.7029999482208744,5.440006956774121,-37728.38047027588
80,40,1,4.457938241401819,7.167581497781886,-40208.74501037598
80,40,2,3.940696239733603,6.927847104110613,-39325.907791137695
80,40,3,3.6520032151616126,6.836329337066173,-39580.99320983887
80,40,4,4.192450210286252,6.870103744862986,-39393.418395996094
80,4,1,0.6291383239950662,5.698691051357207,-34203.124420166016
80,4,2,0.5643448350858847,5.823107422597749,-33818.73973083496
80,4,3,0.5784478289068812,5.526064766708106,-33849.31866455078
80,4,4,0.5993205501562973,5.412274289455999,-33768.5322265625
80,8,1,1.189769677142637,5.609101268471461,-35726.84566497803
80,8,2,1.1186911331225171,5.715750198747869,-34726.44673919678
80,8,3,1.2219269068453602,5.853970490977572,-35439.313385009766
80,8,4,1.086410888651391,5.323420269283295,-35042.08497619629
