condition,description,n_runs,n_kappas,SAA_at_k0,SAA_at_k1,SAA_growth_x,contrast_at_k0,contrast_at_k1,contrast_growth_x,E_at_k0,E_at_k1,E_drop_pct
D_baseline,"Baseline: ρ≈0.54, ε_AA=ε_BB=1.0, N=40",63,21,0.013970585041250332,0.014310283171820155,1.0243152401683115,0.003115160572908631,0.010953538782417338,3.516203587601906,-11379.91111866633,-12516.716179211935,-9.989577675004131
M_high_density,M (a): True melt ρ≈1.0,28,7,0.0005174020587852371,0.001167861495863378,2.2571643773611907,0.0010281088225620135,0.0023397291525268115,2.275760212519413,-23304.266558408737,-24111.86866593361,-3.4654688895732253
N_soft_LJ,N (b): Soft LJ ε_AA=ε_BB=0.4,28,7,0.01094061762787197,0.013305767729635997,1.2161806748221093,0.004581037534853906,0.008589300541249746,1.874968383450206,-8858.857939243317,-9316.527920246122,-5.166241338800584
O_short_chains,O (c): Short chains N=12 (480 chains),28,7,0.01199939734504535,0.015415280188384667,1.2846712001540446,0.005716057562704912,0.01095877542561155,1.9171912293384457,-22687.031744003296,-24039.34925842285,-5.960751188956238
