fA,kappa,seed,contrast,SAA,k_star,E
0.3,0.0,1,0.0029347240329846503,0.0029743195470478363,1.28519699465037,-23752.435081481937
0.3,0.0,2,0.0027909685685390878,0.0032946612867932054,1.5707963267948966,-23255.510528564453
0.3,0.0,3,0.0027552719499541606,0.0036316553247108577,1.28519699465037,-23619.09259033203
0.3,0.0,4,0.003181112535793993,0.004460035669283288,1.28519699465037,-23300.44418334961
0.3,0.5,1,0.0039809130769077015,0.006502659899010827,1.28519699465037,-25348.92974090576
0.3,0.5,2,0.0039964163339192525,0.005532886245297745,1.28519699465037,-24669.965270996097
0.3,0.5,3,0.0070259102297367555,0.007034731284869025,0.9995976625058433,-24286.438926696777
0.3,0.5,4,0.005078352601500374,0.006128181710288246,0.9995976625058433,-24943.92803001404
0.3,1.0,1,0.02042376803080926,0.013836472527447597,0.7139983303613167,-29208.596061706543
0.3,1.0,2,0.023693307064948762,0.01330797993214326,0.7139983303613167,-28895.18563079834
0.3,1.0,3,0.045171964758502624,0.02909077802552922,0.7139983303613167,-28106.081901550293
0.3,1.0,4,0.026685422292835905,0.01786956833071815,0.7139983303613167,-28493.942863464355
0.5,0.0,1,0.005483776192594166,0.008587609199505143,1.28519699465037,-22152.173416137695
0.5,0.0,2,0.0043810266841801315,0.01052002315882441,1.28519699465037,-21856.75315093994
0.5,0.0,3,0.004540308669077792,0.012015722841483733,1.28519699465037,-21826.058925628666
0.5,0.0,4,0.005573279598709144,0.014398293487766833,1.28519699465037,-21806.91674041748
0.5,0.5,1,0.015052079381717804,0.017248519767434772,0.7139983303613167,-23977.45694732666
0.5,0.5,2,0.011488316083408171,0.014631647019597885,0.7139983303613167,-23443.760314941406
0.5,0.5,3,0.012156397059678803,0.016046141513867213,0.7139983303613167,-23211.63615989685
0.5,0.5,4,0.009326405023304292,0.01461398102890812,0.9995976625058433,-23207.22776031494
0.5,1.0,1,0.051986712703084914,0.03669912234338947,0.7139983303613167,-27971.80475616455
0.5,1.0,2,0.05166623477816146,0.03323126719067415,0.7139983303613167,-27452.084426879883
0.5,1.0,3,0.05077957574043998,0.03996125645615072,0.7139983303613167,-27256.628044128414
0.5,1.0,4,0.03834326716540098,0.025506787824943884,0.7139983303613167,-27405.21169281006
0.7,0.0,1,0.01448052150111893,0.021954222918869067,0.7139983303613167,-23836.11095046997
0.7,0.0,2,0.015324639320196001,0.021416495671515007,0.7139983303613167,-23410.448932647705
0.7,0.0,3,0.01691907461658559,0.022646477068738423,0.7139983303613167,-23547.854598999023
0.7,0.0,4,0.02022776663322429,0.027383807210542593,0.7139983303613167,-23721.461948394775
0.7,0.5,1,0.0198441899449543,0.02448430371092144,0.7139983303613167,-25359.654167175293
0.7,0.5,2,0.02611694124755259,0.028394585039029908,0.7139983303613167,-25108.051361083984
0.7,0.5,3,0.02367133670945124,0.026753078852099616,0.7139983303613167,-24327.578704833984
0.7,0.5,4,0.019417711890706915,0.024211037409199665,0.7139983303613167,-24813.445343017574
0.7,1.0,1,0.03685098100538388,0.029026840560665068,0.7139983303613167,-29360.16303253174
0.7,1.0,2,0.038243493360491265,0.03197015579645661,0.7139983303613167,-29060.958379745483
0.7,1.0,3,0.057607394729006084,0.04017660178379247,0.7139983303613167,-27424.833671569824
0.7,1.0,4,0.04657958025201428,0.03632839813257073,0.7139983303613167,-28405.17205810547
