kappa,T_q,seed,k_star_contrast,contrast_peak,SAA_peak,SAA_at_kc,SAB_at_kc,E_final,Rg_final
0.05,0.2,1,1.2935969750075618,0.003080136078775836,0.013245271645897283,0.0019844373333714922,-0.0010956987454043437,-11549.605684280396,2.331281972450283
0.05,0.2,2,1.2935969750075618,0.0030386048492371523,0.015238748648298878,0.00195396761973553,-0.0010846372295016226,-11398.34813117981,2.341466446722739
0.05,0.2,3,1.2935969750075618,0.0036246391218190746,0.010751508749340928,0.00256889011694753,-0.0010557490048715447,-11295.295979499817,2.2645449336692223
0.05,0.3,1,1.2935969750075618,0.0032480183035520603,0.013356126871424557,0.0019966236297277854,-0.0012513946738242749,-11516.902987480164,2.304523789471268
0.05,0.3,2,1.2935969750075618,0.0030720883576795237,0.015672031292561867,0.002040409516164323,-0.0010316788415152007,-11291.760345935822,2.3381458254843523
0.05,0.3,3,1.2935969750075618,0.0030638839214179193,0.012575426325421584,0.0020756174762159734,-0.0009882664452019459,-11327.857723236084,2.264616458994461
0.05,0.4,1,1.2935969750075618,0.0029125316124815935,0.012876168050388544,0.0019316179610750633,-0.0009809136514065304,-11290.563188552856,2.2934464472615654
0.05,0.4,2,1.2935969750075618,0.0031741337685323653,0.015531857683885491,0.0020943530018980743,-0.001079780766634291,-11292.338680267334,2.340983314288013
0.05,0.4,3,1.2935969750075618,0.0034876041684576255,0.011786213254850214,0.002447757730332277,-0.0010398464381253484,-11280.87142086029,2.2721819351516745
0.05,0.5,1,1.2935969750075618,0.002949586257944584,0.01349080262764231,0.001917518758108213,-0.0010320674998363707,-11428.497918128967,2.3209361251608605
0.05,0.5,2,1.2935969750075618,0.003378390197032453,0.01624375993440181,0.002194940754254487,-0.0011834494427779662,-11481.506484031675,2.3392726668631787
0.05,0.5,3,1.2935969750075618,0.003739282098965226,0.011192557051704282,0.0024742051361741125,-0.001265076962791113,-11368.93114709854,2.255905715441876
0.05,0.6,1,1.2935969750075618,0.0031516835637243274,0.012502140302947332,0.002042353183636385,-0.0011093303800879422,-11463.409103393557,2.3150066445566497
0.05,0.6,2,1.2935969750075618,0.0033037708858258746,0.015197172150631683,0.0021619860803542093,-0.0011417848054716653,-11392.37463092804,2.3395966555018433
0.05,0.6,3,1.2935969750075618,0.003459379597399512,0.013358078336796789,0.002200786546651115,-0.001258593050748397,-11399.254815101624,2.2638501655086465
0.05,0.7,1,1.2935969750075618,0.00316795980938161,0.013215602324227188,0.0019913101458800377,-0.0011766496635015726,-11399.97384262085,2.3103138264212757
0.05,0.7,2,1.2935969750075618,0.00327447211141971,0.01634439080232378,0.0021261661941727053,-0.0011483059172470046,-11457.711805820463,2.320725327865
0.05,0.7,3,1.2935969750075618,0.003918498251029417,0.010569831973434326,0.002628642068036486,-0.0012898561829929305,-11254.716292381288,2.2570832894334156
0.05,0.8,1,1.2935969750075618,0.003454948718275868,0.012886023312848516,0.0021567512580242,-0.0012981974602516682,-11504.373217582704,2.304670890168317
0.05,0.8,2,1.2935969750075618,0.0028827737495327028,0.015472909982271013,0.0019244654315003589,-0.0009583083180323439,-11251.258712768557,2.343761799129584
0.05,0.8,3,1.2935969750075618,0.0031731759236911326,0.011921509836433041,0.002264856459278216,-0.0009083194644129166,-11235.928285598757,2.235620724180439
0.05,0.9,1,1.2935969750075618,0.0031456073797265986,0.01356289649800392,0.002018064855399613,-0.0011275425243269855,-11454.269551753998,2.306124954983789
0.05,0.9,2,1.2935969750075618,0.0030006568348544234,0.01584125856739655,0.0019464419052593052,-0.0010542149295951185,-11355.171869277954,2.316381053173051
0.05,0.9,3,1.2935969750075618,0.0034323008180818103,0.012263671453347984,0.0024230381120196156,-0.0010092627060621947,-11276.2098903656,2.2700150464371283
0.05,1.0,1,1.2935969750075618,0.0029971885086167915,0.013893464352750018,0.0018894120560193517,-0.00110777645259744,-11480.140937805176,2.302959305506685
0.05,1.0,2,1.2935969750075618,0.003060370955337914,0.016168480503355974,0.001919103567876004,-0.00114126738746191,-11334.377960205078,2.3398666869938705
0.05,1.0,3,1.2935969750075618,0.003647387494321955,0.012931712218084432,0.002451184271033544,-0.0011962032232884113,-11437.671871185305,2.270137867613854
0.05,1.2,1,1.2935969750075618,0.0026260593094491603,0.013287618303682022,0.0017264039767233078,-0.0008996553327258525,-11364.271821975708,2.331559848201204
0.05,1.2,2,1.2935969750075618,0.0033940072718875985,0.016324266884678664,0.0021830985902182463,-0.001210908681669352,-11426.674774169922,2.3755531750610577
0.05,1.2,3,1.2935969750075618,0.0033601959937323896,0.012444299199424271,0.002367285749831121,-0.0009929102439012688,-11229.898898124697,2.2655915003643305
0.05,1.4,1,1.2935969750075618,0.0030158530446225806,0.014278337590677911,0.0018820730098159568,-0.0011337800348066238,-11392.631708145142,2.3242836652123304
0.05,1.4,2,1.2935969750075618,0.003428843822148309,0.01666481603044817,0.002222642731372934,-0.0012062010907753751,-11578.692843437197,2.3558792032665288
0.05,1.4,3,1.2935969750075618,0.0036687337828814827,0.010888332816617902,0.0023980074981028755,-0.0012707262847786072,-11234.267644882202,2.241871849313824
0.05,1.6,1,1.2935969750075618,0.003206743786282047,0.013057048598161739,0.002026880510103818,-0.001179863276178229,-11418.976832389832,2.280723255605428
0.05,1.6,2,1.2935969750075618,0.002842578410983749,0.015826893516025908,0.001787978585698262,-0.001054599825285487,-11282.063559532166,2.3268150171511084
0.05,1.6,3,1.2935969750075618,0.0035682932213561185,0.011326621686196508,0.002351218812476176,-0.0012170744088799423,-11272.150833129885,2.2669662639036905
0.05,1.8,1,1.2935969750075618,0.0028525538508881844,0.01354287436847311,0.001739033673357105,-0.0011135201775310797,-11516.76076078415,2.288847324381439
0.05,1.8,2,1.2935969750075618,0.0032173253823801744,0.015408613666616642,0.002165313836614263,-0.0010520115457659115,-11331.576354026794,2.356976313215965
0.05,1.8,3,1.2935969750075618,0.0033462974850638483,0.011518210890436444,0.002221771491342002,-0.0011245259937218463,-11338.210552215576,2.2372180275111764
0.05,2.0,1,1.2935969750075618,0.0027594126181165863,0.01304278682072473,0.0017652347783814303,-0.000994177839735156,-11414.309871673584,2.314309611201565
0.05,2.0,2,1.2935969750075618,0.0030945679932117528,0.014257841723004655,0.002029211819937993,-0.0010653561732737599,-11335.162957191467,2.332888221616009
0.05,2.0,3,1.2935969750075618,0.003807019552472147,0.012544860285149792,0.002484192405964646,-0.001322827146507501,-11324.190599441528,2.2690423612394226
0.05,2.5,1,1.2935969750075618,0.00325743295870081,0.014667704107628557,0.002065596638096229,-0.001191836320604581,-11552.20310163498,2.2738451258001247
0.05,2.5,2,1.2935969750075618,0.0029950121317079146,0.016009313824403383,0.0019684420421605844,-0.0010265700895473301,-11295.75321340561,2.371357013777646
0.05,2.5,3,1.2935969750075618,0.003234199493739411,0.011245840572653262,0.002289561134219913,-0.0009446383595194981,-11180.850471019745,2.236173918884741
0.0,0.2,1,1.2935969750075618,0.00261688245230777,0.012212210689113677,0.0017584671309594936,-0.0008584153213482762,-11429.616570949554,2.309297971352473
0.0,0.2,2,1.2935969750075618,0.0033917209435584722,0.01384045081490723,0.002230913075317535,-0.0011608078682409373,-11327.418285369871,2.3482736023457327
0.0,0.2,3,1.2935969750075618,0.0034550568458541287,0.012578856444963381,0.0023254173165838483,-0.0011296395292702804,-11264.39066505432,2.2650195824803068
0.0,0.3,1,1.2935969750075618,0.002900906263710616,0.013848783784293484,0.0018361233078828866,-0.0010647829558277293,-11513.052995681765,2.3111618804519316
0.0,0.3,2,1.2935969750075618,0.0031206011512233617,0.013953720809374815,0.002037242087384798,-0.0010833590638385634,-11405.776052951813,2.353077503369239
0.0,0.3,3,1.2935969750075618,0.0031663352902578266,0.011344388917243134,0.002114135619290687,-0.0010521996709671397,-11158.475958824158,2.237068998282972
0.0,0.4,1,1.2935969750075618,0.00268577383865719,0.013531810597054333,0.001739336528888595,-0.000946437309768595,-11500.126972198486,2.3192968634349267
0.0,0.4,2,1.2935969750075618,0.0031896621633582195,0.014699801779489718,0.002075368297803494,-0.001114293865554726,-11308.51574230194,2.3406484259109015
0.0,0.4,3,1.2935969750075618,0.0035294970377623856,0.011629813357173904,0.0023326230205994248,-0.0011968740171629608,-11244.660409927368,2.235158118051966
0.0,0.5,1,1.2935969750075618,0.0026150535671679584,0.012987455393429173,0.0018098109783999366,-0.0008052425887680219,-11219.948499679564,2.281568267205083
0.0,0.5,2,1.2935969750075618,0.003277992546811075,0.014224631983262482,0.0021734546945058075,-0.0011045378523052679,-11386.669609069824,2.3412800719795497
0.0,0.5,3,1.2935969750075618,0.0032441264031872396,0.012825919025467657,0.002226254406795984,-0.0010178719963912556,-11233.756563425064,2.2375339819342392
0.0,0.6,1,1.2935969750075618,0.0028514521587655987,0.01398304285599759,0.0018562214099735086,-0.0009952307487920901,-11415.72285413742,2.3243395597880987
0.0,0.6,2,1.2935969750075618,0.0033857320187139993,0.014464805993637003,0.002242305665337173,-0.0011434263533768264,-11316.221249580383,2.3682789136098616
