kappa,pi,tw,seed,contrast,SAA,k_star
0.0,0.99,100000000,1,0.006921722233263252,0.007053636811485431,1.28519699465037
0.0,0.99,10000000,1,0.0061216522749004045,0.008790784425937294,1.28519699465037
0.0,0.99,10000000,2,0.005697890470218578,0.011332548375286087,1.28519699465037
0.0,0.99,1000000,1,0.00587495800002686,0.0071639789220230305,1.28519699465037
0.0,0.99,1000000,2,0.005301677784567903,0.011720095892712258,1.28519699465037
0.0,0.99,30000000,1,0.005555141230262099,0.007196328588548513,1.28519699465037
0.0,0.99,3000000,1,0.005609915588631532,0.009063188536923025,1.28519699465037
0.0,0.99,3000000,2,0.00491142681082882,0.010933165851627444,1.28519699465037
0.5,0.99,100000000,1,0.015671489819918463,0.015768082185875734,0.7139983303613167
0.5,0.99,10000000,1,0.014109165792094099,0.015779585082313658,0.7139983303613167
0.5,0.99,10000000,2,0.011323741793862224,0.013284162297518156,0.9995976625058433
0.5,0.99,1000000,1,0.01648634070626787,0.01682440209296589,0.7139983303613167
0.5,0.99,1000000,2,0.015116367454381894,0.016785918307912387,0.7139983303613167
0.5,0.99,30000000,1,0.016521380578352056,0.017010298103815612,0.7139983303613167
0.5,0.99,3000000,1,0.016929093316012684,0.016538131330299015,0.7139983303613167
0.5,0.99,3000000,2,0.013486512450410635,0.016948236480566745,0.7139983303613167
1.0,0.99,100000000,1,0.06032038350316818,0.03957351041543552,0.7139983303613167
1.0,0.99,10000000,1,0.05521221939806384,0.03787733705711901,0.7139983303613167
1.0,0.99,10000000,2,0.04849225701517554,0.03212246840556242,0.7139983303613167
1.0,0.99,1000000,1,0.054970209179023344,0.03848591152396461,0.7139983303613167
1.0,0.99,1000000,2,0.05420157377462934,0.036737135551994995,0.7139983303613167
1.0,0.99,30000000,1,0.05898648658940704,0.03802272096193609,0.7139983303613167
1.0,0.99,3000000,1,0.059711607418300755,0.04012855381847129,0.7139983303613167
1.0,0.99,3000000,2,0.05382431040394374,0.03554789413130436,0.7139983303613167
