bk,kappa,seq,seed,contrast,SAA,E
1000.0,0.0,block,1,0.010254720144624738,0.010871242117177087,-22959.748832702637
1000.0,0.0,block,2,0.01046595296106342,0.011566292636435613,-23341.129425048828
1000.0,0.0,block,3,0.009320637693828238,0.015279967904215536,-22913.72385406494
1000.0,0.0,block,4,0.008715664073150229,0.01162853601658932,-22880.996742248535
1000.0,0.0,correlated,1,0.004257499208614993,0.008701720430877241,-22000.11157989502
1000.0,0.0,correlated,2,0.004835012105333178,0.010295913512697957,-22087.958854675293
1000.0,0.0,correlated,3,0.0049927698957745684,0.011153936735529724,-21885.51499938965
1000.0,0.0,correlated,4,0.004665529104019522,0.012982166709680842,-21660.41845703125
1000.0,0.0,random,1,0.004570374147682874,0.01119833464314596,-21580.7159576416
1000.0,0.0,random,2,0.0045871443917548434,0.00735127870376726,-21603.458152770996
1000.0,0.0,random,3,0.004238949684929581,0.011596273637936928,-21688.31911468506
1000.0,0.0,random,4,0.003947809532608762,0.012807875515536915,-21831.803901672363
1000.0,0.3,block,1,0.00928960494238904,0.01120996812289066,-22672.088249206543
1000.0,0.3,block,2,0.007786689416450693,0.013909640621633874,-22831.71182250977
1000.0,0.3,block,3,0.009777081736382441,0.014482417507482076,-22767.95962524414
1000.0,0.3,block,4,0.009381554967054777,0.011690260754475518,-23211.91334533691
1000.0,0.3,correlated,1,0.005096176851734657,0.010528846585127958,-22172.124088287354
1000.0,0.3,correlated,2,0.0049275352095896245,0.011022961595782447,-22222.42538833618
1000.0,0.3,correlated,3,0.005223062052056081,0.012248904381389845,-21837.551445007324
1000.0,0.3,correlated,4,0.00461006936204831,0.013011092957319361,-22188.365608215332
1000.0,0.3,random,1,0.005035661466021139,0.010541843986530977,-21686.697845458984
1000.0,0.3,random,2,0.004602814222451068,0.007210878993874181,-22012.586669921875
1000.0,0.3,random,3,0.004177166484829643,0.012339354975965852,-21765.200492858887
1000.0,0.3,random,4,0.0045766200201368115,0.012352920844448567,-21814.29808807373
1000.0,0.5,block,1,0.009226285309990909,0.011434140102523433,-22686.543258666992
1000.0,0.5,block,2,0.009784267947987091,0.01543356172683572,-23247.61902618408
1000.0,0.5,block,3,0.009015389169740193,0.015420449306166779,-22879.63809967041
1000.0,0.5,block,4,0.009250716060140898,0.009862754969255979,-23009.873680114742
1000.0,0.5,correlated,1,0.006340072796404223,0.011661088854878963,-22635.38466835022
1000.0,0.5,correlated,2,0.005917603944096793,0.010113173693543002,-22598.68842315674
1000.0,0.5,correlated,3,0.007505339563590211,0.014470097295973667,-22327.93558883667
1000.0,0.5,correlated,4,0.008147460455634992,0.017048562975113556,-22278.433214187626
1000.0,0.5,random,1,0.00405487724348169,0.011143498653838568,-21060.78032684326
1000.0,0.5,random,2,0.004438672796350098,0.009035189853855468,-21789.709957122803
1000.0,0.5,random,3,0.004439413037562562,0.013633337026624948,-21788.57738494873
1000.0,0.5,random,4,0.004619424166650534,0.012372000424582193,-22081.953857421875
1000.0,0.7,block,1,0.009124698510415995,0.008486108289010022,-22586.908157348633
1000.0,0.7,block,2,0.008392416159770148,0.012886306446075807,-23153.98740386963
1000.0,0.7,block,3,0.009008465608280038,0.01598060569430298,-22753.275234222412
1000.0,0.7,block,4,0.008610641075329117,0.009855641440045523,-23222.435035705566
1000.0,0.7,correlated,1,0.008934122538186186,0.01209167903786417,-23026.25595474243
1000.0,0.7,correlated,2,0.00982888915271024,0.012265035244533245,-23229.753004074097
1000.0,0.7,correlated,3,0.011095027231855587,0.013994431352602848,-22875.99494743347
1000.0,0.7,correlated,4,0.016149182977335752,0.021031724937557582,-22989.320819854736
1000.0,0.7,random,1,0.00424141955386696,0.012294920178961586,-21431.64305114746
1000.0,0.7,random,2,0.004262838438655535,0.007223169864799482,-22022.645204544067
1000.0,0.7,random,3,0.004313473280865905,0.012759189724916676,-21721.993118286133
1000.0,0.7,random,4,0.004820676910101594,0.012440162951552276,-21985.377059936523
1000.0,1.0,block,1,0.00893729136299988,0.009547549205386866,-22607.96605682373
1000.0,1.0,block,2,0.008380616707188223,0.013961256317325957,-23217.994590759277
1000.0,1.0,block,3,0.009359902296023376,0.014678259716033823,-22861.932861328125
1000.0,1.0,block,4,0.009419510787517214,0.009135720262600662,-23106.859970092773
1000.0,1.0,correlated,1,0.018409328085058452,0.020371276974457807,-24187.922985076904
1000.0,1.0,correlated,2,0.02541703393641952,0.019999840536983858,-24747.94031906128
1000.0,1.0,correlated,3,0.023242402576411955,0.023889473648887986,-24923.160804748535
1000.0,1.0,correlated,4,0.017220321942901125,0.017552438731969815,-24663.95099258423
1000.0,1.0,random,1,0.004134033205173101,0.012615339227999817,-21399.494995117188
1000.0,1.0,random,2,0.004440855859941845,0.007914910855281723,-21885.109210968018
1000.0,1.0,random,3,0.004429980303030167,0.012971407289425807,-21772.25202178955
1000.0,1.0,random,4,0.004056029344591167,0.012971254176504174,-21912.31453704834
100.0,0.0,block,1,0.01054102251555196,0.011976975527039881,-23482.806953430176
100.0,0.0,block,2,0.009616791976596581,0.014806499530700023,-23558.84581756592
100.0,0.0,block,3,0.009691715797241526,0.014266533809989695,-22977.65509033203
100.0,0.0,block,4,0.009649180931996716,0.011917063616867346,-23501.125999450684
100.0,0.0,correlated,1,0.005027675813187413,0.008376254352630442,-22628.686683654785
100.0,0.0,correlated,2,0.004831527069185561,0.011369841397838623,-22016.135036468502
100.0,0.0,correlated,3,0.004988127127310116,0.01207895116987906,-22134.194038391113
100.0,0.0,correlated,4,0.004555707106367633,0.013739769764077259,-22178.25817489624
100.0,0.0,random,1,0.004572793258810469,0.012638436387642931,-22217.53784942627
100.0,0.0,random,2,0.004774690523872792,0.008016834123184862,-22684.003482818604
100.0,0.0,random,3,0.005134397751017476,0.01339806202169742,-22048.5040435791
100.0,0.0,random,4,0.004780737740361206,0.01380236258261403,-22464.670658111572
100.0,0.3,block,1,0.009548355812584735,0.010927439807069585,-23267.16271972656
100.0,0.3,block,2,0.009700118723571552,0.014155453167353874,-23603.103515625
100.0,0.3,block,3,0.009109373376940854,0.0143461952070364,-23064.49869155884
100.0,0.3,block,4,0.00916009480098125,0.012267894001640698,-23128.70454025269
100.0,0.3,correlated,1,0.005285595120018926,0.010462082552929778,-22598.09257507324
100.0,0.3,correlated,2,0.0065298232316000375,0.008812734628119583,-23071.54232788086
100.0,0.3,correlated,3,0.005419573753189263,0.011815453761316453,-22518.577236175537
100.0,0.3,correlated,4,0.005090896062323545,0.014827541693456426,-22400.194522857662
100.0,0.3,random,1,0.004867636671892265,0.01227142566080509,-22159.863109588623
100.0,0.3,random,2,0.004837585533294216,0.008322062191543128,-22775.01527404785
100.0,0.3,random,3,0.0049454851898734255,0.01438292835668319,-21971.428428649902
100.0,0.3,random,4,0.004576375585105168,0.012945297733587643,-22370.85482788086
100.0,0.5,block,1,0.009793210231276923,0.012298699472488265,-23220.33692932129
100.0,0.5,block,2,0.009736814030347835,0.012712960043450638,-23589.055656433105
100.0,0.5,block,3,0.00884242157386161,0.014983335222117316,-23058.679889678955
100.0,0.5,block,4,0.009976976804384589,0.010768888967440673,-23488.048164367676
100.0,0.5,correlated,1,0.0072047712758902555,0.012251744230205551,-23537.735904693604
100.0,0.5,correlated,2,0.007782752161671843,0.011190393552187223,-23342.802764892574
100.0,0.5,correlated,3,0.007720312606652036,0.013472167601733342,-23314.30216217041
100.0,0.5,correlated,4,0.006860414253024732,0.01537199050141003,-23225.13124847412
100.0,0.5,random,1,0.004289493260383487,0.013442743753746109,-21948.609004974365
100.0,0.5,random,2,0.004957433085623489,0.007841513843804455,-22619.05274963379
