eps_AB,delta_eps,time,S_peak_mean,S_peak_sem,q_peak_mean,q_peak_sem,S_kmin_mean,S_kmin_sem,n_seeds
0.8,0.19999999999999996,22.246805791727958,11.060453129804653,1.135246863383788,0.4462440080875373,0.022746308729397702,7.557963374878522,1.9628472745499026,4
0.8,0.19999999999999996,27.52599326954347,,,,,,,4
0.8,0.19999999999999996,34.05793679183736,,,,,,,4
0.8,0.19999999999999996,42.13991652029593,11.703130831477203,1.227569677661543,0.46923145835696306,0.02159988601261634,7.910482207041115,2.049184471573645,4
0.8,0.19999999999999996,52.13975747242291,,,,,,,4
0.8,0.19999999999999996,64.51256988071484,12.884602516058559,1.3253931771492837,0.49346867521113214,0.028551169039146878,7.875867062579092,1.8849996783987732,4
0.8,0.19999999999999996,79.82146205446695,13.765845427059537,0.556912230766915,0.5758572021824757,0.08106953922589191,7.958368193161146,1.8214333396847153,4
0.8,0.19999999999999996,98.7631684227382,14.535993029258151,0.8495837126335404,0.5797444125608925,0.08064580857772335,8.03684370571018,1.3999346323172863,4
0.8,0.19999999999999996,122.19975913548548,14.228097836148509,0.8186855721194938,0.572922255486639,0.07738440985409682,8.327395170645119,1.4534758250464215,4
0.8,0.19999999999999996,151.1978743822145,14.237223725788589,0.5535528212819368,0.5943852796251634,0.08321552766106255,8.644910347564064,1.7003843598566806,4
0.8,0.19999999999999996,187.07726905053607,14.985334756349786,1.255163462685135,0.6130832599908577,0.04961258091153661,8.316501687497398,1.6886736442543007,4
0.8,0.19999999999999996,231.47087707685054,14.72925406286001,0.6602216206897681,0.6218462560328274,0.06688974111601935,8.556573386846265,1.701147310789493,4
0.8,0.19999999999999996,286.3991291226993,15.468790354468362,0.591611113958798,0.634100758151367,0.07764648571524185,8.925491037310424,1.8708004821485142,4
0.8,0.19999999999999996,354.3619059040748,15.356851851171323,0.9926829028610683,0.6150234981650735,0.06455761259102355,9.116220459789247,1.7247043443406047,4
0.8,0.19999999999999996,438.4523121303576,17.68805276273491,1.7716761535336658,0.5956325885677007,0.0310410062797322,9.351893292892836,1.9492675850971464,4
0.8,0.19999999999999996,542.4974491036172,18.758149548530564,2.1166803126631724,0.5745886552435342,0.057265736032957586,9.999937527582432,2.418720094467779,4
0.8,0.19999999999999996,671.2325927852138,20.689422148256412,2.7365862725397445,0.5821669683793624,0.03969036495320386,10.20786664673495,2.3933269782514914,4
0.8,0.19999999999999996,830.516704477821,22.061756040592773,3.10725489728497,0.5886360779822788,0.024298658437013378,10.560125600262857,2.5786657779904347,4
0.8,0.19999999999999996,1027.5990823905274,23.205751641931272,4.1426524670441776,0.542958683258352,0.041992905073881814,13.287828563933996,3.532681602312202,4
